codice;regione;denominazione;anno;contributi;valoreProduzione;costiProduzione;costoPersonale;ammortamenti;risultatoEsercizio;totaleAttivo;patrimonioNetto;debiti
010201;Piemonte;"AZIENDA SANITARIA LOCALE TO 1";2012;863722000;1025345000;1016625000;138603000;7837000;-4629000;489401000;76285000;400845000
010201;Piemonte;"AZIENDA SANITARIA LOCALE TO 1";2013;818464000;955134000;946870000;133862000;7763000;-4788000;445836000;68991000;365002000
010201;Piemonte;"AZIENDA SANITARIA LOCALE TO 1";2014;815402000;937408000;926766000;130689000;7577000;2000;465297000;74566000;373678000
010201;Piemonte;"AZIENDA SANITARIA LOCALE TO 1";2015;806007000;932716000;926241000;129711000;7292000;-3286000;470714000;140489000;314369000
010201;Piemonte;"AZIENDA SANITARIA LOCALE TO 1";2016;813607000;937169000;924719000;125975000;6731000;2415000;430820000;143037000;266024000
010202;Piemonte;"AZIENDA SANITARIA LOCALE TO 2";2012;793006000;1008452000;1004777000;175155000;12557000;-9339000;762359000;61702000;680037000
010202;Piemonte;"AZIENDA SANITARIA LOCALE TO 2";2013;766791000;971430000;967948000;172202000;11100000;-11249000;706140000;68899000;611392000
010202;Piemonte;"AZIENDA SANITARIA LOCALE TO 2";2014;766493000;961976000;957612000;171513000;9724000;-5666000;674836000;67075000;574581000
010202;Piemonte;"AZIENDA SANITARIA LOCALE TO 2";2015;759098000;972667000;965655000;171001000;8958000;-2301000;592974000;187986000;367252000
010202;Piemonte;"AZIENDA SANITARIA LOCALE TO 2";2016;765713000;965651000;954892000;168429000;7967000;566000;612404000;194194000;378575000
010203;Piemonte;"AZIENDA SANITARIA LOCALE TO3";2012;936470000;1008100000;988106000;200776000;12013000;-5000;551990000;151366000;385023000
010203;Piemonte;"AZIENDA SANITARIA LOCALE TO3";2013;900671000;972056000;949128000;195628000;10225000;3000;568039000;150049000;403193000
010203;Piemonte;"AZIENDA SANITARIA LOCALE TO3";2014;906128000;972770000;954145000;193528000;10318000;-5000;538346000;144999000;374224000
010203;Piemonte;"AZIENDA SANITARIA LOCALE TO3";2015;902436000;974663000;960120000;189771000;10421000;-2274000;537370000;225551000;293893000
010203;Piemonte;"AZIENDA SANITARIA LOCALE TO3";2016;905310000;969304000;947769000;186775000;10983000;7320000;541330000;228728000;292413000
010203;Piemonte;"AZIENDA SANITARIA LOCALE TO3";2017;917213000;986976000;967026000;186351000;10849000;7529000;472296000;229952000;216055000
