# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE TO4 (ANAC)
# 1670 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A01FC76932;2023-11-06;FORNITURA DEI SERVIZI CLOUD NELL`AMBITO DELLA CONCESSIONE PER LA REALIZZAZIONE E GESTIONE DI UNA NUOVA INFRASTRUTTURA INFORMATICA AL SERVIZIO DELLA PUBBLICA AMMINISTRAZIONE DENOMINATA POLO STRATEGICO NAZIONALE (``PSN``), DI CUI AL COMMA 1 DELL`ARTICOLO 33- SEPTIES DEL D.L. N. 179 DEL 2012 - CUP: J51;19850000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROVIDER;
B309EB5A9E;2024-09-13;AUTOVETTURE;15257648;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;FCA FLEET & TENDERS S.R.L. O BREVEMENTE FCA F&T S.R.L.
970164638C;2023-05-11;PROGRAMMAZIONE CLINICA E REALIZZAZIONE DI PROGETTI RIABILITATIVI E PSICO RIABILITATIVI;13952420;PROCEDURA APERTA;SERVIZI PSICHIATRICI O PSICOLOGICI;
992956369A;2023-07-01;SERVIZI DI PULIZIA E SERVIZI ACCESSORI A RIDOTTO IMPATTO AMBIENTALE;13823844;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;C.M. SERVICE S.R.L. SIGLABILE C.M.S. S.R.L.
B31C8AEFAF;2024-09-19;ACQUISTO DI N. 9 PEUGEOT NUOVA 208 BENZINA PURE TECH 75 S&S 5P ACTIVE;11246832;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;FCA FLEET & TENDERS S.R.L. O BREVEMENTE FCA F&T S.R.L.
A0571F553B;2024-04-17;FORNITURA DI MEDICINALI E EMODERIVATI - ADESIONE AL VII APPALTO SCR PIEMONTE - DITTA VERTEX;10965155;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
A0571E3660;2024-04-16;FORNITURA DI MEDICINALI E EMODERIVATI - ADESIONE AL VII APPALTO SCR PIEMONTE - DITTA ABVIE;10495088;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
A0571DAEF0;2024-04-16;FORNITURA DI MEDICINALI E EMODERIVATI - ADESIONE AL VII APPALTO SCR PIEMONTE - DITTAJANSSEN GILAG;10487343;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
95812200DF;2023-01-04;FORNITURA DI AUSILI PER INCONTINENZA EROGATI IN DISTRIBUZIONE PER CONTO - DITTA SERENITY;10400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;SERENITY S.P.A.
97015758F3;2023-05-11;ASSISTENZA RESIDENZIALE;10095009;PROCEDURA APERTA;SERVIZI PSICHIATRICI O PSICOLOGICI;
9701618C6E;2023-05-11;SOSTEGNO DOMICILIARE, SERVIZIO ASSISTENZA DOMICILIARE PSICHIATRICA, INSERIMENTI ETERO FAMILIARI SUPPORTATI PER ADULTI;9763604;PROCEDURA APERTA;SERVIZI PSICHIATRICI O PSICOLOGICI;
A0571DE241;2024-04-16;FORNITURA DI MEDICINALI E EMODERIVATI - ADESIONE AL VII APPALTO SCR PIEMONTE - DITTA NOVARTIS;9115475;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
B6F9C50FE3;2025-05-22;SERVIZI DI VIGILANZA ARMATA E SERVIZI FIDUCIARI;8391951;PROCEDURA RISTRETTA;SERVIZI DI PORTINERIA;
B514B279A1;2025-01-03;SERVIZIO TESORERIA E CASSA;6376000;PROCEDURA APERTA;SERVIZI DI TESORERIA;
B8AED303DF;2025-10-16;AFFIDAMENTO FORNITURA SERVIZI DI ASSISTENZA TECNICA, AGGIORNAMENTO HARDWARE E SOFTWARE E DELLA GESTIONE SISTEMISTICA DEGLI APPLICATIVI PACS-RIS-CIS;6266000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;APPARECCHI RADIOLOGICI;
B8D16E3133;2025-10-27;ADESIONE SCR NOLEGGIO E MANUTENZIONE PC E STAMPANTI – PER N.5 ANNI DITTA R1 SPA;5946365;AFFIDAMENTO DIRETTO;APPARECCHIATURE INFORMATICHE E FORNITURE;R1 S.P.A.
