# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE CN2 (ANAC)
# 4940 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B8A24315DC;2025-10-15;APPALTO INTEGRATO DI PROGETTAZIONE ESECUTIVA E LAVORI PER LA RIQUALIFICAZIONE DELL'EX OSPEDALE SAN LAZZARO;24755416;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;
9928791986;2024-04-02;APPALTO INTEGRATO PER LA PROGETTAZIONE ESECUTIVA E L'ESECUZIONE DELLE OPERE DI REALIZZAZIONE DELL'OSPEDALE DI COMUNITÀ E DELLA CASA DI COMUNITÀ DI ALBA;24649175;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;
B7BBD30937;2025-08-29;APPALTO CONGIUNTO DELLA PROGETTAZIONE ESECUTIVA ED ESECUZIONE DEI LAVORI DI REALIZZAZIONE DELLA CASA E DELL'OSPEDALE DI COMUNITÀ DI BRA, PER CONTO E NELL'INTERESSE DELL'ASL CN2;21694574;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;
99286125D0;2024-04-02;APPALTO INTEGRATO PER LA PROGETTAZIONE ESECUTIVA E L'ESECUZIONE DELLE OPERE DI REALIZZAZIONE DELL'OSPEDALE DI COMUNITÀ E DELLA CASA DI COMUNITÀ DI BRA;19480581;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;
B339B38FBD;2024-09-27;ACQUISTO APPARATI DI RETE;6246375;AFFIDAMENTO DIRETTO;APPARECCHIATURE DI RETE;VODAFONE ITALIA S.P.A.
B7AD1F5AEC;2025-07-17;SERVIZI DI PULIZIA, SANIFICAZIONE E SERVIZI ACCESSORI IN AMBITO SANITARIO A RIDOTTO IMPATTO AMBIENTALE . GARA SCR 137-2018. LOTTO 4.;4491100;AFFIDAMENTO DIRETTO;SERVIZI DI PULIZIA;MARKAS S.R.L.
B3EB8A4D8B;2024-10-23;SERVIZIO CHIAVI IN MANO PER LA GESTIONE E LA TRACCIABILITA' DEI DISPOSITIVI MEDICI MONOUSO ED IMPIANTABILI, PER UN PERIODO DI 9 ANNI OCCORRENTE ALL'ASL CN2 ALBA-BRA;4277700;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
B8CAA1DDF0;2025-10-24;LOTTO 2 - TRATTAMENTI DI DIALISI PERITONEALE AUTOMATIZZATA (APD);3295440;AFFIDAMENTO DIRETTO;APPARECCHI PER EMODIALISI;VANTIVE - SOCIETA' A RESPONSABILITA' LIMITATA
B1825B60D1;2024-05-03;ADESIONE SCR(GARA 131-2023 FARMACI ED EMODERIVATI 2024/2026;3241130;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;JANSSEN CILAG S.P.A.
B5C48896EE;2025-04-09;FORNITURA DI N. 1 TOMOGRAFO COMPUTERIZZATO COMPRENSIVO DI LAVORI PER ADEGUAMENTO LOCALI, ASSISTENZA TECNICA E MANUTENZIONE FULL RISK PER 108 MESI (9 ANNI), OCCORRENTE AL P.O. MICHELE E PIETRO FERRERO DELL'ASL CN2 ALBA-BRA;2722700;PROCEDURA APERTA;APPARECCHI PER TOMOGRAFIA;SIEMENS HEALTHCARE S.R.L.
B2884DB522;2024-07-23;FORNITURA DEL SERVIZIO DI MENSA DIFFUSA MEDIANTE UTILIZZO DI BUONI PASTO ELETTRONICI, NON CUMULABILI, PER UN PERIODO DI MESI 36, OCCORRENTE AI DIPENDENTI DELL'A.S.L. CN2 ALBA-BRA;2494800;PROCEDURA APERTA;BUONI PASTO;E.P. - SOCIETA' PER AZIONI
B2BD2E94DB;2024-08-07;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;2268791;AFFIDAMENTO DIRETTO;MEDICINALI VARI;JANSSEN CILAG S.P.A.
B18DBB2E6F;2024-05-07;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;2260420;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MSD ITALIA S.R.L.
B9CC54AB54;2025-12-24;ACCORDO QUADRO PER L'AFFIDAMENTO DI UN SERVIZIO DIOSSIGENOTERAPIA DOMICILIARE E SERVIZI CONNESSI PER LA GESTIONE DEI PAZIENTI DELLE AZIENDE DEL SERVIZIO SANITARIO DELLA REGIONE PIEMONTE – ASL CN1 E ASL CN2;2230000;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;MEDIGAS ITALIA S.R.L.
B17E27835F;2024-05-02;ADESIONE SCR8GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;2209314;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B16EF8459B;2024-04-26;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;2138400;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;CSL BEHRING SPA
B17E1BFAB2;2024-05-02;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;2090080;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
A04CAB1D0A;2024-01-30;ADESIONE SCR GARA 75-2022 MICROINFUSORI LOTTO 1;2013181;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI E STRUMENTI PER INFUSIONE;MOVI SPA
9714063A5F;2023-10-12;VENTILATORE PRESSOMETRICO/VOLUMETRICO A VENTILAZIONE INVASIVA >16 ORE - LOTTO 9 - AIC4 (ASL CN1 E ASL CN2);1965600;PROCEDURA APERTA;APPARECCHI RESPIRATORI PER USO MEDICO;MEDICAIR ITALIA S.R.L.
A04A1480D5;2024-01-17;FORNITURA DI AUSILI MONOUSO PER INCOTINENZA LOTTO 1 - GARA 64/2022;1875000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;FATER S.P.A.
9713696B83;2023-10-12;VENTILATORE BILEVEL AD ALTE PRESTAZIONI - LOTTO 4 - AIC4 (ASL CN1 E ASL CN2);1798290;PROCEDURA APERTA;APPARECCHI RESPIRATORI PER USO MEDICO;NIPPON GASES PHARMA S.R.L.
B5DAAB5C86;2025-04-09;SERVIZIO DI COPERTURA ASSICURATIVA ALL RISKS DEL PATRIMONIO IMMOBILIARE E MOBILIARE PER L'AIC 4CN (ASL CN1-ASL CN2 E A.O. S.CROCE E CARLE);1794650;PROCEDURA APERTA;SERVIZI DI ASSICURAZIONE CONTRO DANNI O PERDITE;
B18DF2EE89;2024-05-07;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;1777630;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
A01FFE2C17;2023-10-20;ADESIONE ALLA CONVENZIONE TRA IL DIPARTIMENTO PER LA TRASFORMAZIONE DIGITALE DELLA PRESIDENZA DEL CONSIGLIO DEI MINISTRI (DTM) E LA SOCIETA' POLO STRATEGICO NAZIONALE S.P.A. (PSN) PER LA REALIZZAZIONE E GESTIONE DI UNA NUOVA INFRASTRUTTURA INFORMATICA IN CLOUD AL SERVIZIO DELLA PUBBLICA AMMINISTRAZI;1717770;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROVIDER;TIM S.P.A.
9713404A8C;2023-10-12;VENTILATORE PER CPAP - LOTTO 1 - AIC4 (ASLCN1 E ASL CN2);1659294;PROCEDURA APERTA;APPARECCHI RESPIRATORI PER USO MEDICO;RESPIRAIRE SRL
B1DF313384;2024-05-28;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;1567530;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B17E419B7B;2024-05-02;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;1532815;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
B1A01EFE97;2024-05-10;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;1489804;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B183949804;2024-05-03;ADESIONE SCR8GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;1433208;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B187401CCF;2024-05-06;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;1340322;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ABBVIE S.R.L.
976293225B;2023-04-21;REALIZZAZIONE DEL PROGETTO DI FATTIBILITÀ TECNICO ECONOMICA E PROGETTAZIONE DEFINITIVA NONCHÈ L'EVENTUALE DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI ESECUZIONE DEI LAVORI PER LA REALIZZAZIONE DELL'OSPEDALE DI COMUNITÀ E DELLA CASA DI COMUNITÀ DI ALBA;1324286;PROCEDURA APERTA;SERVIZI DI PROGETTAZIONE DI EDIFICI;
B186E18C3E;2024-05-06;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;1215240;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B18FF9F40D;2024-05-07;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;1209060;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B16EE8D9C5;2024-04-26;ADESIONE SCR(GARA 131-2023) FARMACI ED EMODERIVATI 2024/2026;1167420;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
