# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERA ORDINE MAURIZIANO DI TORINO (ANAC)
# 4460 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A0550F8C30;2024-04-02;LOTTO 2555-ALUTARD VESPULA INIZIO-ALK-ABELLO' SPA;28194099;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B8E09839A2;2025-10-31;SERVIZIO DI STERILIZZAZIONE CON FORNITURA IN NOLEGGIO DI STRUMENTARIO ED ATTIVITÀ CONNESSE;21395401;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
B313A10EAE;2024-09-18;GARA COAGULAZIONE 2024;10245779;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;INSTRUMENTATION LABORATORY S.P.A.
B292C1FD4E;2024-07-24;SKYRIZI 360 MG SOLUZIONE INIETTABILE IN CARTUCCIA;6992304;AFFIDAMENTO DIRETTO;MEDICINALI PER USO DERMATOLOGICO E IL SISTEMA MUSCOLOSCHELETRICO;ABBVIE S.R.L.
B2A019CA64;2024-07-29;PRALUENT 300 MG SOLUZIONE INIETTABILE IN PENNA PRERIEMPITA;6922424;AFFIDAMENTO DIRETTO;MEDICINALI VARI;SANOFI S.R.L.
96722343FF;2023-04-21;LOTTO 26 CAMICE CHIRURGICO DPI PER MANIPOLAZIONE FARMACI ANTIBLASTICI;5456320;PROCEDURA APERTA;TESSUTI NON TESSUTI;BERICAH S.P.A.
B2A019DB37;2024-07-29;ZYNLONTA*10MG EV 1FL;5280899;AFFIDAMENTO DIRETTO;MEDICINALI VARI;SWEDISH ORPHAN BIOVITRUM S.R.L.
9677032B6C;2023-04-21;LOTTO 55 LENZUOLINO POLITENATO;5276960;PROCEDURA APERTA;TESSUTI NON TESSUTI;3 M.C. - SOCIETA' PER AZIONI
9672166BDF;2023-04-21;LOTTO 21 MASCHERINA CHIRURGICA TRE STRATI CON ELASTICI;5256160;PROCEDURA APERTA;TESSUTI NON TESSUTI;BERICAH S.P.A.
B292C1EC7B;2024-07-24;SKYRIZI 600 MG CONCENTRATO PER SOLUZIONE PER INFUSIONE;5244228;AFFIDAMENTO DIRETTO;MEDICINALI PER USO DERMATOLOGICO E IL SISTEMA MUSCOLOSCHELETRICO;ABBVIE S.R.L.
