# Ospedali Trasparenti — contratti pubblici di AZIENDA USL DELLA VALLE D'AOSTA (ANAC)
# 4291 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B41DBB0F86;2024-11-06;SERVIZIO DI FORNITURA DELL'INCARICO DI SOMMINISTRAZIONE;45071903;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;SYNERGIE ITALIA - AGENZIA PER IL LAVORO - S.P.A.
A03FA4E5B6;2023-12-20;FORNITURA DI UN SERVICE PER LABORATORIO ANALISI;9774765;DIALOGO COMPETITIVO;SISTEMI DIAGNOSTICI;
B95E213E4A;2025-12-02;FORNITURA CHIAVI IN MANO DI UN SISTEMA INTEGRATO DI RADIOTERAPIA AD INTENSITA' MODULATA (IMRT) E GUIDATA DA IMMAGINI (IGRT) E SERVIZI CONNESSI;9683875;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
B9586C98C3;2025-12-01;FORNITURA CHIAVI IN MANO DI UN SISTEMA INTEGRATO DI RADIOTERAPIA AD INTENSITA' MODULATA (IMRT) E GUIDATA DA IMMAGINI (IGRT) E SERVIZI CONNESSI;9683875;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
B73CB94934;2025-07-17;POLIZZA RCT/O;7976813;PROCEDURA APERTA;SERVIZI ASSICURATIVI;Operatore individuale (persona fisica)
B44E79AA86;2024-11-18;SERVICE DI CARDIOLOGIA E CHIRURGIA VASCOLARE. LOTTO 1.;5963600;AFFIDAMENTO DIRETTO;;MED ITALIA BIOMEDICA SOCIETA' A RESPONSABILITA' LIMITATA
B48E96E4CF;2024-12-02;FORNITURA ENERGIA ELETTRICA 2024 - 2026;4000000;AFFIDAMENTO DIRETTO;;CVA ENERGIE SRL
B31B79EB1A;2024-09-19;ACQUISTO PC WORK STATION GRAFICHE;2998076;AFFIDAMENTO DIRETTO;COMPUTER MODELLO DESKTOP;ITALWARE - S.R.L.
B36123EC6B;2024-10-09;GARA SARDEGNA – LOTTO 4 - MICROINFUSORI CON SISTEMA DI GESTIONE TELECOMANDATO (PATCH PUMP) ASSOCIABILE/INTEGRABILE CON SISTEMA CGM DESTINATI AI PAZIENTI DELLA REGIONE AUTONOMA DELLA VALLE D'AOSTA;2941500;AFFIDAMENTO DIRETTO;PRESIDI DIAGNOSTICI;BIOCHEMICAL SYSTEMS INTERNATIONAL S.P.A.
9470010379;2023-01-10;MISSIONE 6, COMPONENT 2, INTEVENTO 1.1 AMMODERNAMENTO DEL PARCO TECNOLOGICO GRANDI APPARECCHIATURE (PNRR) - ACCORDO QUADRO AVENTE AD OGGETTO LA FORNITURA DI TOMOGRAFI PET/CT, SERVIZI CONNESSI, DISPOSITIVI E SERVIZI OPZIONALI PER LE PUBBLICHE AMMINISTRAZIONI - ID2489;2500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER TOMOGRAFIA;SIEMENS HEALTHCARE S.R.L.
B698D22CF4;2025-04-24;FORNITURA DI ENDOPROTESI VASCOLARI AORTICHE CUTOM MADE (IMPIANTO COMPLETO);2385000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;COOK ITALIA S.R.L.
B698D21C21;2025-04-24;FORNITURA DI CLIP MITRALICHE E CLIP TRICUSPIDALICHE TRAMITE LA FORMULA DEL CONTO VISIONE;2332000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;ABBOTT MEDICAL ITALIA S.R.L.
B9A60416D3;2025-12-18;SISTEMA DIAGNOSTICO PER EMATOLOGIA;2133470;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B67A5F76E3;2025-05-12;SERVICE ENDO DIGESTIVA;2011360;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;MEDICAL CONCEPT LAB - SOCIETA' PER AZIONI
A0375068FE;2023-12-04;ENERGIA ELETTRICA 2024;2000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;EROGAZIONE DI ENERGIA ELETTRICA;
977974982D;2023-04-28;GESTIONE PRONTO SOCCORSO ORTOPEDICO, BASSA E MEDIA INTENSITA' E STRKE UNIT;1870108;PROCEDURA APERTA;SERVIZI DI ASSISTENZA OSPEDALIERA;
B88169AADB;2025-10-06;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO DI GARA, PER LA FORNITURA DI UN SERVIZIO DI ASSISTENZA TECNICA MANUTENTIVA FULL RISK PER LA PET/CT SIEMENS;1738500;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
B4EB8276B0;2024-12-20;PIATTAFORMA COSTITUITA DA STRUMENTI MO-DULARI PER LA DIAGNOSI RAPIDA AUTOMATICA PER IL MONITORAGGIO DELLE INFEZIONI RESPIRATORIE;1734971;PROCEDURA APERTA;REATTIVI PER LABORATORIO;BIOMERIEUX ITALIA SPA
B0FB404DA0;2024-03-26;PEMBROLIZUMAB 100G/4ML EV - 1 FL;1711138;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MERCK SHARP & DOHME ITALIA S.P.A.
B057AA3FB2;2024-02-12;ADESIONE ALL’ACCORDO QUADRO DENOMINATO DIALISI 4;1677404;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;FRESENIUS MEDICAL CARE ITALIA SPA
B9347A59C5;2025-11-20;FORNITURA DI PLUVICTO;1624770;AFFIDAMENTO DIRETTO;;NOVARTIS FARMA SPA
