# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE DI BRESCIA (ANAC)
# 478 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B2338E0791;2024-06-21;ENERGIA ELETTRICA;30000000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;A2A ENERGIA S.P.A.
B0CA7EDD7F;2024-03-13;CONTRATTO SUBLOCAZIONE TEMPORANEA;11243520;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;
A027500208;2023-11-20;POLIZZA RCT/O ATS CITTÀ METROPOLITANA DI MILANO;6175000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;AMTRUST ASSICURAZIONI S.P.A.
A0274E6C90;2023-11-20;POLIZZA RCT/O ATS BRESCIA;4875000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;Operatore individuale (persona fisica)
B73CC13204;2025-06-13;ESTERNALIZZAZIONE DEL MAGAZZINO PER FARMACI E DISPOSITIVI MEDICI ASST GARDA NEI LOCALI DI ASST;4386000;PROCEDURA APERTA;SERVIZI DI MAGAZZINAGGIO;
A0275120E3;2023-11-20;POLIZZA RCT/O ATS INSUBRIA;4095000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;Operatore individuale (persona fisica)
A02750AA46;2023-11-20;POLIZZA RCT/O ATS VAL PADANA;4030000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;AMTRUST ASSICURAZIONI S.P.A.
B73CC142D7;2025-06-13;ESTERNALIZZAZIONE DEL MAGAZZINO PER MATERIALE NON SANITARIO ASST GARDA;3391500;PROCEDURA APERTA;SERVIZI DI MAGAZZINAGGIO;
9950135727;2023-06-30;SERVIZIO DI MENSA DIFFUSA: RINNOVO DEL CONTRATTO STIPULATO CON LA DITTA BLUBE SRL PER IL PERIODO 01/07/2023 - 30/06/2026;3386460;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI GESTIONE MENSA;360 WELFARE S.R.L.
A0274EF400;2023-11-20;POLIZZA RCT/O ATS BRIANZA;2925000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;AMTRUST ASSICURAZIONI S.P.A.
973870271F;2023-03-31;LAVORI DI RISTRUTTURAZIONE EDIFICIO 10 PRESSO LA SEDE LEGALE DI VIALE DUCA DEGLI ABRUZZI 15, BRESCIA;2031154;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SANITARI;AFLUTEC S.R.L.
A04464343C;2023-12-29;POLIZZA RCT/O ATS BRESCIA 31.12.2023 - 31.12.2026;2001000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ASSICURATIVI;Operatore individuale (persona fisica)
A02750ED92;2023-11-20;POLIZZA RCT/O ATS BERGAMO;1950000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;AMTRUST ASSICURAZIONI S.P.A.
A02751A77B;2023-11-20;POLIZZA RCT/O ATS PAVIA;1950000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;AMTRUST ASSICURAZIONI S.P.A.
B72E1F0AC7;2025-06-06;FACILITY MANAGEMENT;1933771;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE;RENOVIT PUBLIC SOLUTIONS S.P.A.
A0274F2679;2023-11-20;POLIZZA RCT/O ATS MONTAGNA;1625000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;BERKSHIRE HATHAWAY INTERNATIONAL INSURANCE LIMITED
B9BD817D1F;2025-12-22;ARIA_2025_055 SANGUE OCCULTO;1618200;AFFIDAMENTO DIRETTO;SISTEMI DIAGNOSTICI;DASIT SPA
A01DFB8131;2023-09-11;SERVIZIO DI ABBATTIMENTO DI CIRCA 17.604 SUINI E CARICO CARCASSE PER CONTO DELL'ATS DI PAVIA;1584100;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI ZOOLOGICI;Operatore individuale (persona fisica)
B0828F1AFA;2024-02-22;CONVENZIONE ARIA_2023_052 LOTTO 1 RECAPITO POSTA MASSIVA;923909;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;POSTE ITALIANE SPA
B5B9E73AEE;2025-02-20;ARIA_2023_048 (LOTTO7);808110;AFFIDAMENTO DIRETTO;SERVIZI DI PREPARAZIONE PASTI;VIVENDA S.P.A.
A02160A4C8;2023-11-13;LOTTO 10 POLIZZA LIBRO MATRICOLA RCAUTO ATS DELLA CITTÀ METROPOLITANA DI MILANO;780000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;ASPEVI MILANO S.R.L.
9866712C4F;2023-06-30;LOTTO 5 - VESTIARIO;726138;PROCEDURA APERTA;PRODOTTI ANIMALI E PRODOTTI AFFINI;O.PI.VI. S.R.L.
A00B4E4763;2023-09-01;SERVIZIO DI ABBATTIMENTO DI SUINI E CARICO CARCASSE A CONTENIMENTO DELLA PSA PER CONTO DELL'ATS DI PAVIA;645000;AFFIDAMENTO DIRETTO;SERVIZI ZOOLOGICI;Operatore individuale (persona fisica)
A0493331E4;2024-01-11;ADESIONE ALL'ACCORDO QUADRO CONSIP 'SANITÀ DIGITALE - SISTEMI INFORMATIVI GESTIONALI' LOTTO 1, ID SIGEF 2366- 2024-2027;618837;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;
A05C589DC2;2024-06-01;GLOBAL SERVICE MANUTENZIONI LABORATORIO DI PREVENZIONE ATS BRESCIA - DAL 01.06.24 AL 31.05.27;538317;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI APPARECCHIATURE DI MISURAZIONE, COLLAUDO E PROVA;H.C. HOSPITAL CONSULTING SOCIETA' PER AZIONI CHIAMATA ANCHE H.C. SPA OPPURE HOSPITAL CONSULTING SPA
B431085ABB;2024-11-08;FORNITURA DI CARBURANTE PER AUTOTRAZIONE;500000;AFFIDAMENTO DIRETTO;BENZINA;Operatore individuale (persona fisica)
A029453B82;2023-09-08;SMALTIMENTO CARCASSE CONTENIMENTO PSA PER CONTO ATS DI PAVIA;478070;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI ZOOLOGICI;DIUSA RENDERING S.R.L.
B0C118A321;2024-03-11;ADESIONE ACCORDO QUADRO SANITÀ DIGITALE 3;468943;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B10F87499C;2024-04-02;ADESIONE ACCORDO QUADRO SD3 - GESTIONE DOCUMENTALE;468837;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
9872218C01;2023-06-30;LOTTO 13 - TOSATRICI E MATERIALE VARIO;467055;PROCEDURA APERTA;PRODOTTI ANIMALI E PRODOTTI AFFINI;O.PI.VI. S.R.L.
B911F60A7A;2025-11-12;SERVIZIO LAVANOLO PSAL;455520;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;ADAPTA PROCESSI INDUSTRIALI PER L'IGIENE E LA STERILIZZAZIONE SPA
B7E1EFE345;2025-08-04;SERVIZI DI SICUREZZA DA REMOTO, DI COMPLIANCE E CONTROLLO;430024;AFFIDAMENTO DIRETTO;SERVIZI DI CONSULENZA E ASSISTENZA INFORMATICA;ACCENTURE S.P.A.
A026EE25B9;2023-11-01;ADESIONE A ACCORDO QUADRO -SERVIZI APPLICATIVI SANITÀ DIGITALE - LOTTO 3 DIOTTA GPI (RTI);427601;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;GPI S.P.A.
9736921964;2023-03-27;ADESIONE A GARA ARIA_2019_149R LOTTO 81 GPI 2023-2026;426000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PACCHETTI SOFTWARE IT;GPI S.P.A.
9871295255;2023-06-30;LOTTO 11 - FILI DI SUTURA;392537;PROCEDURA APERTA;PRODOTTI ANIMALI E PRODOTTI AFFINI;ELEMED S.R.L.
9620689BB5;2023-01-25;NOLEGGIO VEICOLI IN ADESIONE A ACCORDO QUADRO NOLEGGIO VEICOLI 2 LOTTO 3;350703;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;AUTOVETTURE PER TRASPORTO PASSEGGERI;ALD AUTOMOTIVE ITALIA S.R.L.
A0412BDF7D;2024-01-01;ADESIONE POSTUMA ALLA PROCEDURA APERTA SOPRA SOGLIA COMUNITARIA, PER L'ACQUISIZIONE DI UN APPLICATIVO WEB PER LA GESTIONE INFORMATIZZATA DELLE ATTIVITÀ DI CONTROLLO DELLE PRESTAZIONI SANITARIE E ANNESSI SERVIZI, IN UNIONE DI ACQUISTO CON L'ATS DELLA CITTÀ METROPOLITANA DI MILANO CAPOFILA E L'ATS DI ;350000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PACCHETTI SOFTWARE DI SVILUPPO;
B7219B3CDC;2025-06-04;ENERGIA ELETTRICA;350000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;A2A ENERGIA S.P.A.
B72231C0D8;2025-06-04;ENERGIA ELETTRICA;350000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;A2A ENERGIA S.P.A.
B08232FA98;2024-02-22;CONVENZIONE ARIA_2023_052 LOTTO 2 RECAPITO POSTA NON MASSIVA;343470;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;POSTEL SPA
9866826A63;2023-06-30;LOTTO 7 - SACCHETTI ANTIMANOMISSIONE;341806;PROCEDURA APERTA;PRODOTTI ANIMALI E PRODOTTI AFFINI;LABOINDUSTRIA S.P.A.
B5463A66AE;2025-01-22;REATTIVI E SOLVENTI LOTTO 3;341000;PROCEDURA APERTA;PRODOTTI CHIMICI VARI;
98668638EC;2023-06-30;LOTTO 8 - AGHI, PROVETTE E TAMPONI;331048;PROCEDURA APERTA;PRODOTTI ANIMALI E PRODOTTI AFFINI;LABOINDUSTRIA S.P.A.
A02849C3A2;2023-11-08;SMALTIMENTO CARCASSE CONTENIMENTO PSA PER CONTO ATS DI PAVIA;326317;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI ZOOLOGICI;DIUSA RENDERING S.R.L.
B6C5D0E622;2025-05-08;NOLEGGIO DI AUTOVEICOLI PER ATS BRESCIA - 2025-2030;324000;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;Società Leasys Spa
9950386649;2023-06-19;PROROGA POLIZZA DI RESPONSABILITÀ CIVILE SANITARIA AL 31.12.2023;311738;AFFIDAMENTO DIRETTO;SERVIZI ASSICURATIVI;AMTRUST ASSICURAZIONI S.P.A.
B25206BCDB;2024-07-03;ENERGIA ELETTRICA;300000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;A2A ENERGIA S.P.A.
97975688E1;2023-05-05;POLIZZA INFORTUNI ATS VAL PADANA;292500;PROCEDURA APERTA;SERVIZI ASSICURATIVI;AXA ASSICURAZIONI SPA
9797419DEA;2023-05-05;POLIZZA INFORTUNI ATS BRESCIA;292500;PROCEDURA APERTA;SERVIZI ASSICURATIVI;AXA ASSICURAZIONI SPA
B5D601034A;2025-02-27;NOLEGGIO DI AUTOVEICOLI PER ATS BRESCIA - 2025-20230;282600;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;Società Leasys Spa
A051172060;2024-02-27;NOLEGGIO N. 9 JEEP RENEGADE - 60 MESI 75.000 KM ACCORDO QUADRO CONSIP VEICOLI A NOLEGGIO 2;265302;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;AUTOVEICOLI DELLA POLIZIA;
B6B523F8B6;2025-05-05;ATTI GIUDIZIARI ATS BRESCIA PRESA D'ATTO RISULTANZE GARA ATS MILANO 2025;239189;AFFIDAMENTO DIRETTO;SERVIZI GIUDIZIARI;POSTE ITALIANE SPA
979752121A;2023-05-05;POLIZZA LIBRO MATRICOLA RCAUTO ATS BRIANZA;227500;PROCEDURA APERTA;SERVIZI ASSICURATIVI;HDI ASSICURAZIONI S.P.A.
B4D2D95A98;2024-12-13;ABBATTIMENTO TACCCHINI AVIARIA;224634;AFFIDAMENTO DIRETTO;SERVIZI ZOOLOGICI;COOPERATIVA AGRICOLA DEL BIDENTE - SOC.COOP.
A0215867D9;2023-11-13;LOTTO 3 POLIZZA LIBRO MATRICOLA RCAUTO ATS BRESCIA;221000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;VITTORIA ASSICURAZIONI SPA
9680413186;2023-03-14;FORNITURA DI UN LASER DIRETTO AD INFRAROSSI;213000;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;LASER;AGILENT TECHNOLOGIES ITALIA  S.P.A.
B49AC7A9FE;2024-12-04;ARIA_2023_038 SERVIZIO LAVANOLO;211700;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;Operatore individuale (persona fisica)
96783624FB;2023-03-09;AFFIDAMENTO SERVIZIO TESORERIA E SERVIZI BANCARI;210000;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;SERVIZI DI TESORERIA;INTESA SANPAOLO SPA
A01FEF0465;2023-11-28;SERVIZIO DI FLEET MANGEMENT PER AUTOVETTURE DI PROPRIETÀ ATS BRESCIA - 2023-2025;200000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GESTIONE DEL PARCO MACCHINE, SERVIZI DI RIPARAZIONE E DI MANUTENZIONE;Operatore individuale (persona fisica)
A0215759D1;2023-11-13;POLIZZA KASKO ATS BRESCIA;195000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;Operatore individuale (persona fisica)
A021563AF6;2023-11-13;POLIZZA RC PATRIMONIALE ATS BRESCIA;195000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;Operatore individuale (persona fisica)
9977833046;2023-07-21;SERVIZI DI DIREZIONE LAVORI E CSE RELATIVI ALLA RISTRUTTURAZIONE DELL'EDIFICIO 10 PRESSO LA SEDE LEGALE DELL'ATS DI BRESCIA VIA DUCA DEGLI ABRUZZI 15;194000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ARCHITETTONICI, DI INGEGNERIA E PIANIFICAZIONE;MATE SOCIETA' COOPERATIVA
B9A41411D6;2025-12-16;ARIA_2023_062 SERVIZIO DI RITIRO, TRASPORTO E SMALTIMENTO RIFIUTI;190000;AFFIDAMENTO DIRETTO;SERVIZI CONNESSI AI RIFIUTI MEDICI;ZANETTI ARTURO & C. S.R.L.
9866538CB8;2023-06-30;LOTTO 3 - SACCHI E SACCHETTI;189853;PROCEDURA APERTA;PRODOTTI ANIMALI E PRODOTTI AFFINI;KALTEK S.R.L.
96234924D3;2023-03-13;ACQUISTO APPLICATIVO WEB PER LA GESTIONE INFORMATIZZATA DELLE ATTIVITÀ DI CONTROLLO SUL PERSONALE OPERANTE DELLE FARMACIE E PAFARMACIE. GARA AGGREGATA ATS BRESCIA E INSUBRIA;187000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SISTEMI DI BASE DATI;DATA SOLUTION PROVIDER S.R.L.  SIGLABILE DSP S.R.L.
A0036281C2;2023-08-11;RINNOVO SERVIZIO DI NOTIFICA DEGLI ATTI GIUDIZIARI IN AGGREGAZIONE CON ATS MILANO ( ENTE CAPOFILA);184100;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CONSEGNA POSTALE;POSTE ITALIANE SPA
B1D916AC07;2024-05-27;SERVIZIO DI POSTA ELETTRONICA O365;179000;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;TIM S.P.A.
B1C8C1A7B5;2024-05-22;PORTALE WEB E INTRANET;175000;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B5463B0EEC;2025-01-22;REATTIVI E SOLVENTI LOTTO 13;174000;PROCEDURA APERTA;PRODOTTI CHIMICI VARI;
9709978F51;2023-03-23;FORNITURA DI GASCROMATOGRAFO MASSA CON PIROLISI;172132;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;MACCHINE E APPARECCHI DI PROVA E MISURAZIONE;SRA INSTRUMENTS S.P.A.
93717450A2;2023-01-01;AFFIDAMENTO DEL SERVIZIO DI NOLEGGIO FULL RISK DI ICP - MS SPETTROMETRO DI MASSA A QUADRUPLO CON SORGENTE DI IONI AL PLASMA;169348;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SPETTROMETRI DI MASSA;THERMO FISHER SCIENTIFIC S.P.A.
98667782C9;2023-06-30;LOTTO 6 - SCATOLE PORTAPROVETTE;167162;PROCEDURA APERTA;PRODOTTI ANIMALI E PRODOTTI AFFINI;EFFEGI DI FANTONI GIAMBATTISTA SRL
B5463BFB4E;2025-01-22;REATTIVI E SOLVENTI LOTTO 28;165000;PROCEDURA APERTA;PRODOTTI CHIMICI VARI;
987222629E;2023-06-30;LOTTO 14 - MATERIALE CHIRURGICO;164650;PROCEDURA APERTA;PRODOTTI ANIMALI E PRODOTTI AFFINI;O.PI.VI. S.R.L.
9797455BA0;2023-05-05;POLIZZA RC PATRIMONIALE ATS BRESCIA;162500;PROCEDURA APERTA;SERVIZI ASSICURATIVI;
