# Ospedali Trasparenti — contratti pubblici di ASL DI LODI (ANAC)
# 5126 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A0594EAE2B;2024-05-09;ADESIONE ARIA_2023_011.16 LOTTO 23 PEMBROLIZUMAB (KEYTRUDA) 25 MG/ML 4 ML- FL CONCENTRATO PER SOLUZIONE PER INFUSIONE;174358627;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
B6622F36C9;2025-04-07;ADESIONE ALLA CONVENZIONE PER L'AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE SANITARIA PER GLI ENTI DEL SISTEMA SANITARIO REGIONALE – ARIA_2023_048_LOTTO 2 SERVIZIO DI RISTORAZIONE PER ASST DI LODI, ASST DI PAVIA E FONDAZIONE I.R.C.C.S. POLICLINICO S. MATTEO DI PAVIA;25484087;AFFIDAMENTO DIRETTO;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;VIVENDA S.P.A.
B318DE5CDC;2024-09-20;SERVIZIO DI STERILIZZAZIONE COMPRENSIVO DELLA GESTIONE-NOLEGGIO-MANUTENZIONE E SOSTITUZIONE DELLO STRUMENTARIO CHIRURGICO E DI ALTRI DISPOSITIVI MEDICI UTILIZZATI PER L'ATTIVITÀ DELLA SALA OPERATORIA, DEI REPARTI E DEI SERVIZI AMBULATORIALI, OCCORRENTE ALLA ASST DI LODI PER IL PERIODO DI 60 MESI;21523063;PROCEDURA APERTA;SERVIZI SANITARI;STERITALIA S.P.A.
B2E229AC52;2024-09-02;SISTEMA DI ASSISTENZA VENTRICOLARE SINISTRA CON POMPA COASSIALE;10237500;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B585FF63BE;2025-02-07;ENDOSCOPIA DIGESTIVA DI LODI;9754156;PROCEDURA APERTA;APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA;FUJIFILM  ITALIA S.P.A.
B855668C0B;2025-09-22;SERVIZIO DI GESTIONE E MANUTENZIONE DELLE APPARECCHIATURE ELETTROMEDICALI;8787167;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;POLYGON S.P.A.
B5A50BC70B;2025-02-17;MATERIALI E REAGENTI PER BATTERIOLOGIA E MICOLOGIA;8774397;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A06045C5E1;2024-08-02;ADESIONE ALLA PROCEDURA CONCORSUALE 'APERTA' IN FORMA AGGREGATA PER L'AFFIDAMENTO DEL SERVIZIO DI SORVEGLIANZA E PRONTO INTERVENTO ANTINCENDIO ED EMERGENZA. AGGIUDICAZIONE DEL LOTTO 2 RELATIVO ALLE ASST BERGAMO EST, ASST CREMA, ASST FRANCIACORTA E ASST DEL GARDA (MANDANTI) - LOTTO 2;8713319;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PREVENZIONE DEGLI INCENDI;EVOLVE CONSORZIO STABILE
B6BF414502;2025-05-07;ADESIONE ALLA CONVENZIONE ARIA PER L'AFFIDAMENTO DEL SERVIZIO DI LAVANOLO E LAVANDERIA PER GLI ENTI DEL SISTEMA SANITARIO REGIONALE - ARIA_2023_038 - LOTTO 4;6513620;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;Operatore individuale (persona fisica)
B7A5265658;2025-07-15;SISTEMA CHIRURGIA ROBOTICA VIDEO LAPAROSCOPICA E SERVIZI CONNESSI;5934808;PROCEDURA NEGOZIATA CON PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);SISTEMI DI LOCALIZZAZIONE E CONTROLLO IN CHIRURGIA;
B619F9EDC7;2025-03-19;SERVIZIO DI TRASPORTO SANITARIO SEMPLICE DI SOGGETTI NEFROPATICISOTTOPOSTI A TRATTAMENTO DIALITICO AFFERENTI ALL'ASST DI LODI PER LADURATA DI 60 MESI EVENTUALMENTE RINNOVABILE DI ULTERIORI 24 MESI;5841111;PROCEDURA APERTA;SERVIZI DI AMBULANZA;
A059073EEF;2024-05-07;ADESIONE AQ DISPOSITIVI PER PAZIENTI DIABETICI - MEDTRONIC ITALIA - ARIA_2022_017 - LOTTO 4;5698690;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;FORNITURE PER INFUSIONE;MEDTRONIC ITALIA S.P.A.
B86C334644;2025-09-29;L'AFFIDAMENTO DELLA FORNITURA DI GAS MEDICINALI, TECNICI E CRIOGENICI, DEI SERVIZI DI MANUTENZIONE DEGLI IMPIANTI GAS E DELLE CRIOBANCHE _ARIA_2023_013_LOTTO 8;5641882;AFFIDAMENTO DIRETTO;GAS;LINDE MEDICALE SRL
B88992DBB0;2025-10-07;L'AFFIDAMENTO DELLA FORNITURA DI GAS MEDICINALI, TECNICI E CRIOGENICI, DEI SERVIZI DI MANUTENZIONE DEGLI IMPIANTI GAS E DELLE CRIOBANCHE _ARIA_2023_013_LOTTO 8;5641833;AFFIDAMENTO DIRETTO;GAS;LINDE MEDICALE SRL
B2E2298AAC;2024-09-02;SISTEMA DI LITOTRISSIA INTRAVASCOLARE CON GENERATORE IN COMODATO D'USO;5411250;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A014E81B66;2023-09-26;SERVIZIO DI SUPPORTO GESTIONALE PER L'ESECUZIONE DI TOMOGRAFIE A RISONANZA MAGNETICA E DI ECOGRAFIE OCCORRENTI ALL'AZIENDA SOCIO SANITARIA TERRITORIALE DI LODI - RINNOVO CONTRATTUALE;5400000;AFFIDAMENTO DIRETTO;ALTRI SERVIZI;ALLIANCE MEDICAL SRL
B5FA5CF5BC;2025-03-10;FORNITURA DI DISPOSITIVI MEDICI OCCORRENTI ALL'ESECUZIONE DI ESAMI DIAGNOSTICI E PROCEDURE INTERVENTISTICHE PER IL SERVIZIO DI EMODINAMICA E RADIOLOGIA INTERVENTISTICA;4950000;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;Operatore individuale (persona fisica)
9500781481;2023-01-27;SERVIZIO DI TRASPORTO SANITARIO PROGRAMMATO, TRASPORTO SANITARIO EMERGENTE/URGENTE E TRASPORTO DI SANGUE, EMOCOMPONENTI, CAMPIONI E MATERIALE BIOLOGICO, ALTRI BENI, OCCORRENTE ALLA ASST LODI PER IL PERIODO DI 60 MESI;4744167;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI AMBULANZA;Operatore individuale (persona fisica)
B2E229CDF8;2024-09-02;SISTEMA DI TROMBOASPIRAZIONE MANUALE PER EMBOLIA POLMONARE;4504500;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B774F5AD6E;2025-06-27;FORNITURA IN SERVICE DI DIAGNOSTICI, SISTEMI ANALITICI ED INFORMATICI PER L'ESECUZIONE DI ESAMI NEL SETTORE CORELAB-AREA SIERO DI LODI, URGENZE E ROUTINE INTERNI DI CODOGNO, PER IL LABORATORIO ANALISI DI CHIMICA CLINICA E MICROBIOLOGIA – LOTTO 1 – ESTENSIONE CONTRATTUALE (C.I.G. 7992553F5F) E CONTES;4205739;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;BECKMAN COULTER S.R.L.
B2E22A663B;2024-09-02;SISTEMA PER ECOGRAFIA INTRAVASCOLARE E MISURAZIONE DELLA PRESSIONE E COMPRENSIVA DEL RELATIVO MATERIALE DI CONSUMO;4059900;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B2E22A121C;2024-09-02;SISTEMA PER CHIUSURA DELL'AURICOLA SINISTRA A CORPO UNICO E A DOPPIO DISCO;4056000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A059087F70;2024-05-07;ADESIONE AQ DISPOSITIVI PER PAZIENTI DIABETICI - MOVI - ARIA_2022_017 - LOTTO 4;3944681;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;FORNITURE PER INFUSIONE;MOVI SPA
B64CD67C4F;2025-04-02;LOT-001;3840359;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B585FF7491;2025-02-07;AMBULATORIO DI OTORINOLARINGOIATRIA LODI;3698056;PROCEDURA APERTA;APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA;OLYMPUS ITALIA S.R.L.
A0590A5834;2024-05-07;ADESIONE AQ DISPOSITIVI PER PAZIENTI DIABETICI - THERAS LIFETECH - ARIA_2022_017 - LOTTO 5;3536052;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;FORNITURE PER INFUSIONE;THERAS LIFETECH S.R.L.
B426D78CF7;2024-11-06;FORNITURA DI ENERGIA ELETTRICA ANNO 2025;3500000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
B8F2852836;2025-11-04;FORNITURA DI ENERGIA ELETTRICA ANNO 2026;3500000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
9855995060;2023-06-01;RECEPIMENTO DELL'ESITO DELLA PROCEDURA APERTA IN FORMA AGGREGATA, PER LA FORNITURA DEL SERVIZIO DI CUP TELEFONICO AZIENDALE E SERVIZI AMMINISTRATIVI DI FRONT-OFFICE E BACK-OFFICE, PER UN PERIODO DI 48 MESI EVENTUALMENTE RINNOVABILI FINO AD ULTERIORI 48 - LOTTO 2;3410880;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;ACAPO - SOCIETA' COOPERATIVA SOCIALE INTEGRATA
A019904897;2023-10-04;FORNITURA DI ENERGIA ELETTRICA;3400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;A2A ENERGIA S.P.A.
B2E22A33C2;2024-09-02;CATETERI A PALLONCINO NON COMPLIANTI;3385200;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B2E22A0149;2024-09-02;SISTEMA PER CHIUSURA DELL'AURICOLA SINISTRA A CORPO UNICO;3042000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B8A995E82A;2025-10-15;TRATTAMENTI DIALISI PERITONEALE APD;2731060;AFFIDAMENTO DIRETTO;APPARECCHI PER EMODIALISI;VANTIVE - SOCIETA' A RESPONSABILITA' LIMITATA
B2E229F076;2024-09-02;MATERIALE DI CONSUMO PER INIETTORE ACIST;2611440;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
99075733E2;2023-06-21;GARA D'APPALTO A PROCEDURA APERTA, ATTRAVERSO IL SISTEMA INFORMATICO DI NEGOZIAZIONE SINTEL, AI SENSI DELL'ART. 60 DEL D. LGS. N. 50/2016 E SS.MM.II., IN COMBINATO DISPOSTO CON GLI ARTT. 2 COMMI 1 E 2, 8 COMMA 1 LETTERA A) E C) DELLA LEGGE N. 120/2020 COME MODIFICATA DALL'ART. 51 COMMA 1 DELLA LEGGE;2535000;PROCEDURA APERTA;REAGENTI E MEZZI DI CONTRASTO;
A062FAA257;2024-12-19;ADESIONE AQ AUSILI MONOUSO AD ASSORBENZA PER INCONTINENTI E SERVIZI CONNESSI - SERENITY - ARIA_2021_010 - LOTTO 7 - PAZIENTI ASSISTITI;2438400;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;SERENITY S.P.A.
B305AAC5A9;2024-09-13;FORNITURA DI VIDEOBRONCOSCOPI MONOUSO, COMPRENSIVI DI MONITOR IN COMODATO D'USO GRATUITO, PER UN PERIODO CONTRATTUALE DI 5 ANNI EVENTUALMENTE RINNOVABILE DI ULTERIORI ANNI 2;2244360;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B79F4AAD09;2025-07-11;ARIA_2024_008.18/LOTTO 173 - DOLUTEGRAVIR/ABACAVIR/LAMIVUDINA CPR RIV 50MG+600MG+300MG;2110000;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;VIIV HEALTHCARE S.R.L.
B2E22A22EF;2024-09-02;CATETERI A PALLONCINO SEMICOMPLIANTI;2055300;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9884259C8D;2023-07-03;INTERVENTO DI ADEGUAMENTO ALLA REGOLA TECNICA DI PREVENZIONE INCENDI, TERZA FASE, CORPI 'B' E 'C' DEL PRESIDIO UNICO - STABILIMENTO OSPEDALIERO DI CODOGNO.;2036159;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;MULTI MANUTENZIONE SRL
B32322799F;2024-09-24;FORNITURA, A NOLEGGIO, DI UNA INFRASTRUTTURA DI STORAGE AREA NETWORK (SAN) OCCORRENTE ALLA ASST DI LODI PER IL PERIODO DI SESSANTA MESI;2015360;PROCEDURA APERTA;APPARECCHIATURE DI RETE;LUTECH S.P.A.
B896EC5F0C;2025-10-10;TRATTAMENTI DIALISI PERITONEALE APD;1991613;AFFIDAMENTO DIRETTO;APPARECCHI PER EMODIALISI;VANTIVE - SOCIETA' A RESPONSABILITA' LIMITATA
A003C9E6AD;2023-10-06;SERVIZI TECNICI DI PROGETTAZIONE ESECUTIVA ED ESECUZIONE DEI LAVORI DI REALIZZAZIONE DELLA CASA DELLA COMUNITÀ DI LODI.;1979624;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;PAVONI S.P.A.
