# Ospedali Trasparenti — contratti pubblici di AGENZIA DI TUTELA DELLA SALUTE DELLA CITTA' METROPOLITANA DI MILANO (ANAC)
# 1074 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B3282359CE;2024-09-24;AQ CONSIP SIGEF 2365;10131461;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;Operatore individuale (persona fisica)
B43DCA7F64;2024-11-12;FORNITURA BUONI PASTO ELETTRONICI PER 36 MESI;8918000;PROCEDURA RISTRETTA;BUONI PASTO;DAY RISTOSERVICE S.P.A. SOCIETA' BENEFIT
B7C471CA4C;2025-07-28;GARA EUROPEA A PROCEDURA APERTA, AI SENSI DELL'ART. 71 DEL D.LGS. 36/2023, , IN UNIONE D'ACQUISTO TRA L'ATS DELLA CITTÀ METROPOLITANA DI MILANO (CAPOFILA) E LE AATTSS DI BERGAMO, BRESCIA, BRIANZA, INSUBRIA, PAVIA E VAL PADANA PER L'ACQUISIZIONE DI UN SISTEMA INFORMATIVO E RELATIVI SERVIZI DI ASSISTE;6685760;PROCEDURA APERTA;SERVIZI INFORMATICI;
B9585652FD;2025-12-03;GARA EUROPEA A PROCEDURA APERTA, AI SENSI DELL'ART. 71 DEL D.LGS. 36/2023, , IN UNIONE D'ACQUISTO TRA L'ATS DELLA CITTÀ METROPOLITANA DI MILANO (CAPOFILA) E LE AATTSS DI BERGAMO, BRESCIA, BRIANZA, INSUBRIA, PAVIA E VAL PADANA PER L'ACQUISIZIONE DI UN SISTEMA INFORMATIVO E RELATIVI SERVIZI DI ASSISTE;6685760;PROCEDURA APERTA;SERVIZI INFORMATICI;
A04503F184;2023-12-29;PRESA D'ATTO GARA AGGREGATA ATB BRESCIA POLIZZA RCT/O;5358462;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ASSICURATIVI;AMTRUST ASSICURAZIONI S.P.A.
9935803404;2023-07-17;PROCEDURA NEGOZIATA SENZA BANDO AI SENSI DELL'ART. 1 C. 2 LETT. B) DEL D.L. 76/2020 CONVERTITO CON MODIFICAZIONI DALLA LEGGE 120/2020 E S.M.I. PER L'AFFIDAMENTO, IN APPALTO INTEGRATO, DELLA PROGETTAZIONE ESECUTIVA E DELL'ESECUZIONE DEI LAVORI INFRASTRUTTURALI AI PIANI SEMINTERRATO, PRIMO E SECONDO D;3352895;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI;COSTIGLIOLA ANTONIO S.R.L.
956631982B;2023-01-16;LOTTO 1 - SERVIZIO DI MANUTENZIONE PREVENTIVA ESTRAORDINARIA E DI TARATURA PER LE APPARECCHIATURE TECNICO-SCIENTIFICHE IN DOTAZIONE AL LABORATORIO DI PREVENZIONE DELL'ATS CITTÀ METROPOLITANA DI MILANO;3117857;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI APPARECCHIATURE DI MISURAZIONE, COLLAUDO E PROVA;H.C. HOSPITAL CONSULTING SOCIETA' PER AZIONI CHIAMATA ANCHE H.C. SPA OPPURE HOSPITAL CONSULTING SPA
B9D3126D78;2025-12-29;FORNITURA DIDISPOSITIVI PER LA RACCOLTA DEL CAMPIONE,SISTEMI DIAGNOSTICI AUTOMATICIZZATI ERELATIVI DIAGNOSTICI PER LA DETERMINAZIONEDEL SANGUE OCCULTO NELLE FECI E SERVIZICONNESSI;2784120;AFFIDAMENTO DIRETTO;SISTEMI DIAGNOSTICI;DASIT SPA
B2F04051A8;2024-09-12;SERVIZIO DI ABBATTIMENTO SUINI AFFETTI DA PSA;2500000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI ZOOLOGICI;Operatore individuale (persona fisica)
9785031F03;2023-05-15;SERVIZIO DI TRASPORTO CAMPIONI ATS DELLA CITTA' METROPOLITANA DI MILANO;2331667;PROCEDURA APERTA;SERVIZI DI TRASPORTO MEDIANTE CONDUTTURE;L.S. LOGISTICA SANITARIA SRL
