# Ospedali Trasparenti — contratti pubblici di AGENZIA DI TUTELA DELLA SALUTE DELLA MONTAGNA (ANAC)
# 208 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9890893F19;2023-08-24;EFFICIENTAMENTO ENERGETICO E ABBATTIMENTO BARRIERE ARCHITETTONICHE SEDE ATS DELLA MONTAGNA DI VIA N. SAURO 36/38 - SONDRIO;1829224;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;INSTALLAZIONE DI FINESTRE;GERDAN S.R.L.
A0439B57F4;2024-01-01;POLIZZA RCTO;750000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ASSICURATIVI;BERKSHIRE HATHAWAY INTERNATIONAL INSURANCE LIMITED
A037832714;2024-01-01;SERVIZIO DI PULIZIA IMMOBILI - CONVENZIONE CONSIP;485621;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
95723053FA;2023-01-03;NOLEGGIO 28 VETTURE OPERATIVE - ACCORDO QUADRO CONSIP;378740;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
B8F42E670D;2025-11-05;ADESIONE ALLA CONVENZIONE POLO STRATEGICO NAZIONALE PER LA REINGENERIZZAZIONE DEL SITO INTERNET AZIENDALE E MIGRAZIONE AL CLOUD;233006;AFFIDAMENTO DIRETTO;SERVIZI DI GESTIONE CONNESSI ALL'INFORMATICA;POLO STRATEGICO NAZIONALE SPA
9711237E47;2023-05-01;LICENZE MICROSOFT OFFICE - ADESIONE CONVENZIONE CONSIP;231358;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PACCHETTI SOFTWARE IT;TIM S.P.A.
B96B6DF950;2025-12-04;SERVIZIO DI ASSISTENZA E MANUTENZIONE DEI MODULI APPLICATIVI DEL GESTIONALE DI CONTABILITA' NFS PER IL PERIODO DI 24 MESI;221376;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE;
9578856209;2023-01-03;LICENZE SOFTWARE E SERVIZI CONNESSI - DEDALUS LOTTO 116 NFS;221044;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PACCHETTI SOFTWARE IT;DEDALUS ITALIA S.P.A.
B0B2CC6A94;2024-03-08;POLIZZA KASKO ATS DI BERGAMO;213000;PROCEDURA APERTA;SERVIZI DI ASSICURAZIONE DI AUTOVEICOLI;HDI ASSICURAZIONI S.P.A.
96267136E0;2023-03-29;SERVIZI DI PROGETTAZIONE ACCORDO QUADRO ARAI_2020_143.2-2021.1_AQ;210000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROGETTAZIONE ARCHITETTONICA;Operatore individuale (persona fisica)
B482AE58C0;2024-11-28;FORNITURA DI FUEL CARD PER CARBURANTE;168438;AFFIDAMENTO DIRETTO;BENZINA SENZA PIOMBO;KUWAIT PETROLEUM ITALIA S.P.A.
95789954BD;2023-01-03;LICENZE SOFTWARE E SERVIZI CONNESSI - DEDALUS LOTTO 57 SCREENING;155891;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PACCHETTI SOFTWARE IT;DEDALUS ITALIA S.P.A.
B53ACCA034;2025-01-17;SERVIZIO DI STERILIZZAZIONE COLONIE FELINE UFFICIALMENTE RICONOSCIUTE SUL TERRITORIO DELLA VALCAMONICA;135400;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI VETERINARI;
B57538E4CE;2025-02-03;SERVIZIO DI PRIMO SOCCORSO VETERINARIO SU ANIMALI FERITI O AMMALATI RINVENUTI SUL TERRITORIO DELL'ATS DELLA MONTAGNA, AREA TERRITORIALE VALLECAMONICA - SEBINO;119710;AFFIDAMENTO DIRETTO;SERVIZI VETERINARI;Operatore individuale (persona fisica)
B92A1B6AFD;2025-11-18;SERVIZIO DI LAVANOLO DELLE DOTAZIONI DEL PERSONALE DI VIGILANZA E ISPEZIONE DEI SERVIZI PSAL;117117;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;ADAPTA PROCESSI INDUSTRIALI PER L'IGIENE E LA STERILIZZAZIONE SPA
B25CBB9A53;2024-07-05;SERVIZIO DI RECAPITO DELLA CORRISPONDENZA MASSIVA - LOTTO 1;111618;AFFIDAMENTO DIRETTO;SERVIZI POSTALI;Operatore individuale (persona fisica)
B0B2CC7B67;2024-03-08;POLIZZA KASKO ATS DELLA VAL PADANA;106500;PROCEDURA APERTA;SERVIZI DI ASSICURAZIONE DI AUTOVEICOLI;Operatore individuale (persona fisica)
9635957345;2023-03-01;SERVIZIO DI ACCALAPPIAMENTO CANI ATS DELLA MONTAGNA AREA VALCAMONICA;104833;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI VETERINARI A DOMICILIO;Operatore individuale (persona fisica)
