# Ospedali Trasparenti — contratti pubblici di AGENZIA DI TUTELA DELLA SALUTE DELLA VAL PADANA (ANAC)
# 439 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B2C4E267E9;2024-08-12;SERVIZIO DI TRASPORTO, DISTRUZIONE E SMALTIMENTO DI CARCASSE ANIMALI DERIVANTI DALL'ABBATTIMENTO OBBLIGATORIO AI SENSI DELLA NORMATIVA NAZIONALE E COMUNITARIA;19999999;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI TRASPORTO TERRESTRE;GASTOLDI E FERRI S.R.L.
A0677BED66;2025-02-03;ADESIONE ARIA_2023_061 ANNO 2025 AVIARIA;2000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISINFEZIONE E DISINFESTAZIONE;COOPERATIVA AGRICOLA DEL BIDENTE - SOC.COOP.
98010756F3;2023-05-12;RISTRUTTURAZIONE EDIFICIO G - SEDE TERRITORIALE DI CREMONA, VIA SAN SEBASTIANO, 14 CR;1840000;PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA;LAVORI DI RISTRUTTURAZIONE;MAR.SAL. RESTAURI S.R.L.
A048A0F6DB;2023-12-29;PRESA D'ATTO AGGIUDICAZIONE AFFIDAMENTO POLIZZA RCT/O (ATS BS CAPOFILA);1789740;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ASSICURATIVI;AMTRUST ASSICURAZIONI S.P.A.
A01A61C6C0;2023-12-29;ADESIONE CONV. CONSIP SERVIZI DI PULIZIA ED IGIENE AMBIENTALE - LOTTO 11 (ACCESSORIO);1613574;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
B1AA6BBD3B;2024-05-14;FORNITURA BUONI PASTO ELETTRONICI;1528800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;PELLEGRINI S.P.A.
9659977134;2023-03-02;ADESIONE ARIA_2019_140 - AVIARIA 2022;1323074;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ZOOLOGICI;COOPERATIVA AGRICOLA DEL BIDENTE - SOC.COOP.
A06C9D6C5A;2025-08-05;ADESIONE ALLA CONVENZIONE ARIA_2023_056 LOTTO 1 - SOMMINISTRAZIONE LAVORO TEMPORANEO;1282005;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;
9650357E83;2023-02-09;BUONI PASTO - II ADESIONE CONSIP BUONI PASTO 9 - DAY;1080080;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;BUONI PASTO;DAY RISTOSERVICE S.P.A. SOCIETA' BENEFIT
B7041363FF;2025-05-27;ATS VAL PADANA (TERRITORIO SEDI DI MANTOVA E CREMONA);865269;PROCEDURA APERTA;SERVIZI VETERINARI;
A065B90C38;2024-12-11;ADESIONE ARIA_2023_061 AVIARIA E PSA;796516;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISINFEZIONE E DISINFESTAZIONE;COOPERATIVA AGRICOLA DEL BIDENTE - SOC.COOP.
B538B3E129;2025-01-16;SERVIZIO DI TRASPORTO, DISTRUZIONE E SMALTIMENTO DI CARCASSE ANIMALI DERIVANTI DALL'ABBATTIMENTO OBBLIGATORIO AI SENSI DELLA NORMATIVA NAZIONALE E COMUNITARIA;700000;AFFIDAMENTO DIRETTO;SERVIZI DI TRASPORTO TERRESTRE;DIUSA RENDERING S.R.L.
B70413B81E;2025-05-27;ATS PAVIA;663205;PROCEDURA APERTA;SERVIZI VETERINARI;
