# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE CENTRO SPECIALISTICO ORTOPEDICO TRAUMATOLOGICO GAETANO PINI/CTO (ANAC)
# 1692 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
962376561C;2023-02-08;PROCEDURA APERTA, AI SENSI DELLA LEGGE N. 120/2020 E DEL D.LGS. N. 50/2016, PER L'AFFIDAMENTO DEL SERVIZIO DI CASSA E TESORERIA;500000000;PROCEDURA APERTA;SERVIZI DI TESORERIA;
B6ED2F779E;2025-05-19;ENERGIA ELETTRICA 22;197140800;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
B32BB80168;2024-09-25;RETI LAN 8;145154413;AFFIDAMENTO DIRETTO;RETE LOCALE;VODAFONE ITALIA S.P.A.
B7558A97EA;2025-06-20;STRUMENTARIO 1 LIVELLO TORACO LOMBARE IN TITANIO;62219456;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B72E91C5E6;2025-06-06;CYBERSEC2;48000000;AFFIDAMENTO DIRETTO;PACCHETTI SOFTWARE DI SICUREZZA;TIM S.P.A.
B42AD5A4B9;2024-11-07;GARA A PROCEDURA APERTA PER LA CONCLUSIONE DI UN ACCORDO QUADRO PER LA FORNITURA DI SUTURE CHIRURGICHE DESTINATE ALLA CHIRURGIA GENERALE PER LE PUBBLICHE AMMINISTRAZIONI - LOTTO 9;30000000;AFFIDAMENTO DIRETTO;SUTURE CHIRURGICHE;JOHNSON & JOHNSON MEDICAL S.P.A.
99114757E9;2023-07-05;L 3 IMPIANTO COMPLETO GINOCCHIO PER IL TRATTAMENTO DI PATOLOGIA TUMORALE;24191718;PROCEDURA APERTA;PROTESI ORTOPEDICHE;LINK ITALIA SPA
98570295A7;2023-06-05;LOTTO 2 PLACCHE ARTO SUPERIORE;18900000;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;HOFER MEDICAL ITALIA S.R.L.
B7558B1E82;2025-06-20;CAGE CERVICALI ANTERIORI IN TITANIO;16603840;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B7558ACA63;2025-06-20;CAGE LOMBARI POSTERIORI IN TITANIO - PLIF IN TITANIO;16408800;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
98571319D2;2023-06-05;LOTTO 9 CHIODO ENDOMIDOLLARE;15702714;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;Operatore individuale (persona fisica)
9964267540;2023-02-16;PROCEDURA DI GARA APERTA, AI SENSI DELLA LEGGE N. 120/2020 EDEL D.LGS. 50/2016, PER L'AFFIDAMENTO DEI SERVIZI DIASSISTENZA INFERMIERISTICA E TUTELARE, ASSISTENZARIABILITATIVA E ASSISTENZA AI PAZIENTI IN IDROKINESITERAPIAPER IL POLO FANNY FINZI OTTOLENGHI, PER UN PERIODO DI 48MESI;14778240;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI OSPEDALIERI E AFFINI;
B7558AA8BD;2025-06-20;STRUMENTARIO 1 LIVELLO TORACO LOMBARE IN CARBONIO;14777926;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B5F5899E4E;2025-03-07;ADESIONE ALLA CONVENZIONE ARIA_2023_048 - LOTTO 1, PER L'AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE PER UN PERIODO DI 60 MESI;14595718;AFFIDAMENTO DIRETTO;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;CNS CONSORZIO NAZIONALE SERVIZI SOCIETA' COOPERATIVA
B7558B844C;2025-06-20;BANDE SUBLAMINARI CERVICALI E TORACO LOMBARI;12447792;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
98570685D6;2023-06-05;LOTTO 5 PLACCHE TIBIA/PERONE;10914242;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;Operatore individuale (persona fisica)
9723321253;2023-04-05;L 4 IMPIANTO DI ENDORTESI PER LA CORREZIONE DELLA PATOLOGIA DEL PIEDE IPERPRONATO E PER LA STABILIZZAZIONE DELL'ARTICOLAZIONE SOTTO ASTRAGALICA IN TITANIO (C.D. PIEDE PIATTO);10487880;PROCEDURA APERTA;PROTESI ORTOPEDICHE;MIKAI SPA
B42BA93E1A;2024-11-07;GARA A PROCEDURA APERTA PER LA CONCLUSIONE DI UN ACCORDO QUADRO PER LA FORNITURA DI SUTURE CHIRURGICHE DESTINATE ALLA CHIRURGIA GENERALE PER LE PUBBLICHE AMMINISTRAZIONI (ED.3);10000000;AFFIDAMENTO DIRETTO;SUTURE CHIRURGICHE;JOHNSON & JOHNSON MEDICAL S.P.A.
B598CED0F1;2025-02-11;VICRYL PLUS;10000000;AFFIDAMENTO DIRETTO;SUTURE CHIRURGICHE;JOHNSON & JOHNSON MEDICAL S.P.A.
9911330043;2023-07-05;L 1 LEGAMENTO ARTIFICIALE GINOCCHIO;9984645;PROCEDURA APERTA;PROTESI ORTOPEDICHE;GEISTLICH BIOMATERIALS ITALIA S.R.L.
A02AAA138F;2023-11-09;AQ PROTESI GINOCCHIO - LOTTO 3 IMPIANTO COMPLETO GINOCCHIO PER IL TRATTAMENTO DI PATOLOGIA TUMORALE JONHNSON, STRYKER, LINK E ADLER;9392149;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PROTESI ORTOPEDICHE;
9857211BD6;2023-06-05;LOTTO 13 VITE CORTICALE;9291715;PROCEDURA APERTA;APPARECCHI PER OSTEOSINTESI;
