# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE OVEST MILANESE (ANAC)
# 7701 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A0058042D1;2023-08-25;PROCEDURA APERTA, EX ART. 71 DEL D.LGS. 36/2023, PER L'ASSEGNAZIONE DELLA FORNITURA DEL SISTEMA PER PRELIEVO SOTTOVUOTO - GARA AGGREGATA TRA LE ASST: OVEST MILANESE (CAPOFILA), SANTI PAOLO E CARLO, FATEBENEFRATELLI SACCO, RHODENSE, LECCO, SETTE LAGHI, VALLE OLONA, VALTELLINA E ALTO LARIO (MANDANTI).;40600000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;BECTON, DICKINSON ITALIA S.P.A.
B49855A08A;2024-12-04;LOTTO 5: SISTEMA DI MAPPAGGIO ELETTROANATOMICO ED ABLAZIONE TRANS-CATETERE DELLE ARITMIE CARDIACHE COMPLESSE;38850000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B49855D303;2024-12-04;LOTTO 8: KIT PER L'ESECUZIONE DI ABLAZIONE TRANS-CATETERE DELLA FIBRILLAZIONE ATRIALE TRAMITE ELETTROPORAZIONE O PULSED FIELD ABLATION (PFA);29414000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A0064F7271;2023-09-01;PROCEDURA APERTA, EX ART. 71 DEL D.LGS. 36/2023, PER L'ASSEGNAZIONE DELLA FORNITURA SETTENNALE IN NOLEGGIO DI STRUMENTI E MATERIALI IN VENDITA DI DISINFEZIONE E LA SUCCESSIVA CONSERVAZIONE DI STRUMENTI ENDOSCOPICI FLESSIBILI - GARA AGGREGATA;29262211;PROCEDURA APERTA;APPARECCHI PER LA STERILIZZAZIONE, LA DISINFEZIONE E L'IGIENE;CANTEL MEDICAL (ITALY) S.R.L.
B489AD7A14;2024-12-02;SISTEMI PER INIEZIONE MEZZO DI CONTRASTO IN TC;25774208;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B5D0CA1947;2025-02-27;GARA EUROPEA A PROCEDURA APERTA, AI SENSI DEGLI ARTT. 14 E 71 DEL D.LGS. N. 36/2023, PER L'AGGIUDICAZIONE DELLA FORNITURA DI APPARECCHIATURE IN NOLEGGIO DA DESTINARE ALLA S.C. GASTROENTEROLOGIA ED ENDOSCOPIA DIGESTIVA, PER UN PERIODO DI 48 MESI, OCCORRENTE ALL'ASST OVEST MILANESE IN QUALITÀ DI CAPOF;20064294;PROCEDURA APERTA;APPARECCHIATURE BIOMEDICHE;OLYMPUS ITALIA S.R.L.
B9B184840E;2025-12-19;GARA EUROPEA A PROCEDURA APERTA, AI SENSI DELL'ART. 71 DEL D.LGS. N. 36/2023, FINALIZZATA, AI SENSI DELL'ART. 59, COMMA 3, DEL D.LGS. N. 36/2023, ALLA CONCLUSIONE DI UN ACCORDO QUADRO SENZA SUCCESSIVO CONFRONTO COMPETITIVO, PER L'AFFIDAMENTO DEI LAVORI DI MANUTENZIONE CORRETTIVA A GUASTO E MANUTENZI;17286960;PROCEDURA APERTA;RIPARAZIONE E MANUTENZIONE DI IMPIANTI;
B9CDC9DAC1;2025-12-29;SISTEMA ANALITICO AUTOMATIZZATO PER AUTOIMMUNITÀ CON METODICA IMMUNOMETRICA (NON IN MICROPIASTRA);16762183;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B812CDBA0B;2025-09-01;FORNITURA DI SACCHE MULTIDOSE E PLURIPRELIEVO DI FARMACI CHEMIOTERAPICI ANTIBLASTICI E SERVIZI ACCESSORI;16287242;PROCEDURA APERTA;SOLUZIONI GALENICHE;
B5F6E1CED3;2025-03-10;FORNITURA ENERGIA ELETTRICA - EDIZIONE 22;16000000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
B9282BCAF2;2025-11-19;FORNITURA IN NOLEGGIO DI UN SISTE-MA DI AUTOMAZIONE DELL'ETICHETTATURA DELLE PROVETTE PER PRELIEVO EMATICO E ALTRO MA-TERIALE BIOLOGICO, PER LA DURATA DI 84 MESI;15457267;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B9CDC9C9EE;2025-12-29;SISTEMA ANALITICO AUTOMATIZZATO PER AUTOIMMUNITÀ;15428119;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
987648091F;2023-06-27;LOTTO 12 - SUTURATRICI LINEARI LAPAROSCOPICHE COMPUTERIZZATE TAGLIA E CUCI CON MANIPOLO UNIVERSALE CON RICARICA VARIABILE;15343316;PROCEDURA APERTA;MATERIALE PER SUTURE CHIRURGICHE;MEDTRONIC ITALIA S.P.A.
9876354127;2023-06-27;LOTTO 3 - SUTURATRICI LAPAROSCOPICHE LINEARI TAGLIA E CUCI CON MANIPOLO UNIVERSALE CON RICARICA VARIABILE;14743352;PROCEDURA APERTA;MATERIALE PER SUTURE CHIRURGICHE;CARLO BIANCHI S.R.L.
9766898B31;2023-04-24;PROCEDURA APERTA, AI SENSI DELL'ART. 60 DEL D.LGS. 50/2016 E SS.MM.II., PER L'ASSEGNAZIONE DELLA FORNITURA QUINQUENNALE DI UN SISTEMA DIAGNOSTICO IN BIOLOGIA MOLECOLARE OCCORRENTE ALLA S.C. MICROBIOLOGIA DELLA ASST OVEST MILANESE.;14615250;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;CEPHEID S.R.L.
B4985648C8;2024-12-04;LOTTO 15: SISTEMA DI ASSISTENZA VENTRICOLARE SINISTRA TEMPORANEO PERCUTANEO (PVAD) PER IL TRATTAMENTO DELLO SHOCK CARDIOGENO;14280000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B720E264AD;2025-06-05;LOTTO 1: SISTEMI ANALITICI PER ESAMI DI COAGULAZIONE DI ROUTINE, INCLUSA LA TERAPIA ANTICOAGULANTE ORALE E SPECIALISTICA DI SECONDO LIVELLO E DEI RELATIVI CONSUMABILI.;13940250;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B489AD8AE7;2024-12-02;SISTEMI PER INIEZIONE MEZZO DI CONTRASTO IN RISONANZA MAGNETICA;13477800;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B489AD6941;2024-12-02;SISTEMI PER INIEZIONE MEZZO DI CONTRASTO IN DIAGNOSTICA CARDIOLOGICA;13211552;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B812DC397F;2025-09-01;LOT-0004: FORNITURA DI MANIPOLI MOTORIZZATI E RELATIVO MATERIALE DI CONSUMO PER MACRO-CHIRURGIA PER LA SC ORTOPEDIA.;12862800;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9829291B86;2023-05-26;LOTTO 1: DIAGNOSTICHE SIEROLOGICHE VARIE CON SISTEMA MISTO IN CHEMILUMINESCENZA E IN IMMUNOENZIMATICA SU MICROPIASTRA IN AUTOMAZIONE CON STRUMENTAZIONE IN NOLEGGIO.;12755571;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;ORTHO-CLINICAL DIAGNOSTICS ITALY S.R.L.
B7AA349720;2025-07-17;LOT-0001: FORNITURA IN NOLEGGIO (COMPRENSIVO DI MANUTENZIONE E ASSISTENZA TECNICA) DI MACCHINE MACERATRICI PER LO SMALTIMENTO DI RIFIUTI BIOLOGICI DEI PAZIENTI E ACQUISTO DEL RELATIVO MATERIALE DI CONSUMO MONOUSO - (ASST OVEST MILANESE , ASST FATEBENEFRATELLI SACCO, ASST RHODENSE).;12729996;PROCEDURA APERTA;APPARECCHIATURE BIOMEDICHE;
B71A1196D6;2025-05-30;ADESIONE ALLA CONVENZIONE ARIA_2023_048 – GARA MULTI-LOTTO, A PROCEDURA APERTA, AI SENSI DELL'ART. 60 DEL D.LGS. N. 50/2016, PER L'AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE PER GLI ENTI DEL SISTEMA SANITARIO REGIONALE – LOTTO 6;12447649;AFFIDAMENTO DIRETTO;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;Operatore individuale (persona fisica)
B812DC0706;2025-09-01;LOT-0001: FORNITURA DI MANIPOLI MOTORIZZATI E RELATIVO MATERIALE DI CONSUMO PER LA S.C. NEUROCHIRURGIA.;12093300;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A02C36A79D;2023-11-24;LOTTO 1: SISTEMI PER LA SINTESI E COAGULAZIONE VASALE/TISSUTALE, CON ENERGIA ESCLUSIVA A ULTRASUONI PER CHIRURGIA VIDEO ASSISTITA E OPEN (ULTRASUONI - STRUMENTI A STELO);12063600;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;MOVI SPA
B3202072D8;2024-09-23;LOTTO 3: SERVIZIO DI MANUTENZIONE E ASSISTENZA TECNICA DI TIPO FULL-RISK - APPARECCHIATURE PRODUTTORE PHILIPS;11552250;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE;PHILIPS S.P.A.
A02C3D3E41;2023-11-24;LOTTO 3: SISTEMI PER LA SINTESI E COAGULAZIONE VASALE/TISSUTALE CON ENERGIA COMBINATA (ULTRASUONI/RADIOFREQUENZA) PER CHIRURGIA VIDEO ASSISTITA E OPEN (COMBINATO- STRUMENTI A STELO E/O FORBICI).;11496325;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;OLYMPUS ITALIA S.R.L.
9779942772;2023-05-12;LOTTO 14: PROTESI VALVOLARE BIOLOGICA PERICARDICA AORTICA E MITRALICA INTRANULARE E SOPRANULARE.;11009115;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;EDWARDS LIFESCIENCES ITALIA S.R.L.
A02C38F626;2023-11-24;LOTTO 2: SISTEMI PER LA SINTESI E COAGULAZIONE VASALE/TISSUTALE CON TAGLIO A LAMA FREDDA, CON ENERGIA ESCLUSIVA A RADIOFREQUENZA PER CHIRURGIA VIDEO ASSISTITA E OPEN (RADIOFREQUENZA - STRUMENTI A STELO);10862600;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;AB MEDICA S.P.A.
B320205132;2024-09-23;LOTTO 1: SERVIZIO DI MANUTENZIONE E ASSISTENZA TECNICA DI TIPO FULL-RISK - APPARECCHIATURE PRODUTTORE SIEMENS HEALTHCARE;10676350;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE;
B49855B15D;2024-12-04;LOTTO 6: SISTEMA DI MAPPAGGIO ELETTROANATOMICO ED ABLAZIONE TRANS-CATETERE DELLA TACHICARDIA DA RIENTRO NODALE;10304000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B9769877DB;2025-12-05;ADESIONE ALLA ARIA_2024_401_ GARA PER LA STIPULAZIONE DI UN CONTRATTO QUADRO PER I SERVIZI DI MANUTENZIONE DEGLI IMMOBILI E DEGLI IMPIANTI (FACILITY MANAGEMENT) A FAVORE DEGLI ENTI DEL S.S.R. - LOTTO N. 5;9806715;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI GRUPPI DI RAFFREDDAMENTO;ROMEO GESTIONI S.P.A.
B4985637F5;2024-12-04;LOTTO 14: SISTEMA DI RIPARAZIONE PERCUTANEA DELL'INSUFFICIENZA DELLA VALVOLA MITRALICA CON TECNICA EDGE TO EDGE;9800000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B7AA34A7F3;2025-07-17;LOT-0002: FORNITURA IN NOLEGGIO (COMPRENSIVO DI MANUTENZIONE E ASSISTENZA TECNICA) DI MACCHINE MACERATRICI PER LO SMALTIMENTO DI RIFIUTI BIOLOGICI DEI PAZIENTI E ACQUISTO DEL RELATIVO MATERIALE DI CONSUMO MONOUSO - (ASST LODI, ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA, ASST CENTRO SPECIALISTICO OR;9735516;PROCEDURA APERTA;APPARECCHIATURE BIOMEDICHE;
B5DC718972;2025-03-03;LOTTO 16: CATETERE DA TROMBOASPIRAZIONE.;9027200;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B5DC71FF37;2025-03-03;LOTTO 23: SISTEMA DI TROMBOASPIRAZIONE.;8908200;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B5DC7221B5;2025-03-03;LOTTO 26: SISTEMI PER TRATTAMENTO DI ANEURISMI CEREBRALI.;8750000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B812DC4A52;2025-09-01;LOT-0005: FORNITURA DI MANIPOLI MOTORIZZATI E RELATIVO MATERIALE DI CONSUMO PER MICRO-CHIRURGIA.;8620425;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9876372002;2023-06-27;LOTTO 5 - SUTURATRICI LINEARI LAPAROSCOPICHE MONOUSO ARTICOLABILE CON UNA MANO NA BATTERIA TAGLIA E CUCI CON MANIPOLO CON LAMA INTEGRATA;8567031;PROCEDURA APERTA;MATERIALE PER SUTURE CHIRURGICHE;MOVI SPA
A06787439A;2025-04-22;ADESIONE CONVENZIONE ARIA_2023_011.16/L23;7798449;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B97987414E;2025-12-10;LOT-0001: MATERIALE DI CONSUMO PER MACCHINE DI PROPRIETÀ MODELLO AIRVO 2.;7261172;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B5DC732EE5;2025-03-03;LOTTO 42: STENT RETRIEVER PER TROMBECTOMIA DI OCCLUSIONI ARTERIOSE INTRACRANICHE;7182000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B812DC17D9;2025-09-01;LOT-0002: FORNITURA DI MANIPOLI MOTORIZZATI E RELATIVO MATERIALE DI CONSUMO PER LA SC OTORINOLARINGOIATRIA.;7132455;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A067877613;2025-04-22;ADESIONE CONVENZIONE ARIA_2023_011.16/L2;6813183;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B498556D39;2024-12-04;LOTTO 1: CATETERE A PALLONCINO DA LITOTRISSIA;6765780;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
