# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE RHODENSE (ANAC)
# 5201 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B7FD9DFCEB;2025-08-20;AFFIDAMENTO IN CONCESSIONE DELLA GESTIONE INTEGRATA DEI CDD DI TREZZANO SUL NAVIGLIO, LAINATE E RHO PER UN PERIODO DI 48 MESI RINNOVABILI PER ULTERIORI 48 MESI MEDIANTE ESPERIMENTO DI PROCEDURA APERTA DA AGGIUDICARSI CON IL CRITERIO DELL'OFFERTA ECONOMICAMENTE PIU' VANTAGGIOSA SULLA BASE DEL MIGLIOR;20956028;ND P1_19;SERVIZI DI ASSISTENZA SOCIALE PER DISABILI;
B9B3B2CEF6;2025-12-18;LOTTO 8 - AFFIDAMENTO DELLA FORNITURA DI GAS MEDICINALI, TECNICI E CRIOGENICI, DEI SERVIZI DI MANUTENZIONE DEGLI IMPIANTI GAS E DELLE CRIOBANCHE - ASST DI CREMA-ASST DI LODI-ASST RHODENSE-ATS DELLA VAL PADANA;11923568;AFFIDAMENTO DIRETTO;ALTRI MEDICINALI TERAPEUTICI;LINDE MEDICALE SRL
A043A4F70A;2024-02-13;MICROINFUSORI DELL'INSULINA INTEGRATI CON SISTEMA DI MONITORAGGIO GLICEMICO CONTINUO PER PAZIENTI ADULTI E/O PEDIATRICI COMPRENSIVO DI ALGORITMI PER LA GESTIONE DELLA SOMMINISTRAZIONE DI INSULINA - LOTTO 4 - MEDTRONIC;8760000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;FORNITURE PER INFUSIONE;
B543D892F4;2025-01-20;AUSILI MONOUSO AD ASSORBENZA_ASSISTITI_ARIA_2021_010_L7;8100300;AFFIDAMENTO DIRETTO;PRODOTTI PER L'INCONTINENZA;SERENITY S.P.A.
B6D58ADB11;2025-05-13;SISTEMI DI CHIRURGIA ROBOTICA VIDEO LAPAROSCOPICA E SERVIZI CONNESSI;7702712;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SISTEMI DI LOCALIZZAZIONE E CONTROLLO IN CHIRURGIA;AB MEDICA S.P.A.
A04389E1B9;2024-02-13;SISTEMI MONITORAGGIO GLICEMICO INTERMITTENTE PER PAZIENTI ADULTI E PEDIATRICI - FREESTYLE II - ABBOTT SRL;6583151;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;FORNITURE PER INFUSIONE;ROCHE DIABETES CARE ITALY S.P.A.
95984191EF;2023-01-31;SERVIZIO DI OSSIGENOTERAPIA ARIA_2021_057_LOTTO 10_NIPPON GASES_PERIODO: 12.1.2023-11.1.2026;6095552;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;NIPPON GASES PHARMA S.R.L.
B4D2F8FC28;2024-12-13;SERVICE DI EMODINAMICA - L1;5250479;AFFIDAMENTO DIRETTO;MATERIALI MEDICI;N.G.C. MEDICAL S.R.L.
B149754B42;2024-04-16;AQ DISPOSITIVI PER PAZIENTI DIABETICI - MOVI - ARIA_2022_017 - LOTTO 4;5016756;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MOVI SPA
B6EC15AEAA;2025-05-19;SERVIZIO DI RISTORAZIONE PER LA RSA PERTINI E CDI DIPENDENTE E CDD DI PASSIRANA DELL'ASST RHODESE: ADESIONE AL LOTTO 6 DELLA CONVENZIONE ARIA_2023_048 – SERVIZIO DI RISTORAZIONE PER GLI ENTI DEL SISTEMA SANITARIO REGIONALE PER UN PERIODO DI 60 MESI DAL 01/06/2025 AL 31/05/2030;4535879;AFFIDAMENTO DIRETTO;SERVIZI DI RISTORAZIONE CON CAMERIERE PER CLIENTELA NON RISTRETTA;Operatore individuale (persona fisica)
96904658B0;2023-03-09;SERVIZI INFERMIERISTICI, ASSISTENZIALI, SERVIZI ALLA PERSONA E DI SUPPORTO NECESSARI AL FUNZIONAMENTO DELLA RSA S. PERTINI - PERIODO 24 MESI-;3799700;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;
B8E4A3F549;2025-10-31;CONTRATTO PONTE SERVIZIO PULIZIA E DISINFEZIONE;3363982;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI PULIZIA E DISINFESTAZIONE;
B6C48FD6F2;2025-05-12;PROCEDURA APERTA IN FORMA AUTONOMA DA ESPERIRSI TRAMITE PIATTAFORMA TELEMATICA REGIONALE SINTEL PER L'AFFIDAMENTO DEL CONTRATTO RELATIVO ALLA FORNITURA DI SISTEMI DIAGNOSTICI PER IL SETTORE DI BATTERIOLOGIA PER UN PERIODO DI VIGENZA DEL CONTRATTO DI MASSIMO 60 MESI, CON OPZIONE DI RINNOVO PER ULTERI;3158403;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B7FD244636;2025-08-20;PROCEDURA APERTA SOPRA SOGLIA COMUNITARIA, FINALIZZATA ALL'AFFIDAMENTO DELLA FORNITURA DI SISTEMI DIAGNOSTICI PER IL SETTORE DI BATTERIOLOGIA PER UN PERIODO DI 60 MESI CON OPZIONE DI RINNOVO PER ULTERIORI 12 MESI E PROROGA PER 6 MESI AI SENSI E PER GLI EFFETTI DI CUI AGLI ARTT. 3, 14, 71 DEL D.LGS 3;3158403;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B9599D93DF;2025-12-03;SERVIZIO DI ASSISTENZA AI PROGRAMMI DOMICILIARI INTEGRATI DA ATTUARSI NELL'AMBITO TERRITORIALE DEL DIPARTIMENTO DI SALUTE MENTALE A FAVORE DELL'ASST RHODENSE;3068354;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE;
B131FE277B;2024-04-10;IMMUNOEMATOLOGIA;2794752;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ORTHO-CLINICAL DIAGNOSTICS S.P.A
