# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DELLA VALLE OLONA (ANAC)
# 6030 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9788094EAE;2023-05-11;APPALTO SPECIFICO PER L'AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE OSPEDALIERA E MENSA DIPENDENTI OCCORRENTE ALLA ASST VALLE OLONA NELL'AMBITO DEL SISTEMA DINAMICO DI ACQUISIZIONE DELLA P.A.;27936375;PROCEDURA APERTA;SERVIZI DI DISTRIBUZIONE PASTI;RISTOSERVICE S.R.L.
B8C66D6913;2025-10-23;SDA PER EMTRICITABINA E TENOFOVIR DISOPROXIL FUMARATE 200MG/245MG 30CPR;27540000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;
B4EE31DA85;2024-12-19;SERVIZIO DI COPERTURA ASSICURATIVA DEI RISCHI DI RESPONSABILITÀ CIVILE VERSO TERZI E VERSO PRESTATORI D'OPERA;14999990;AFFIDAMENTO DIRETTO;SERVIZI ASSICURATIVI;Operatore individuale (persona fisica)
B650A807AD;2025-04-02;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 22 PER LA FORNITURA DI ENERGIA ELETTRICA PER GLI IMMOBILI DELLA ASST VALLE OLONA, CON TARIFFA A PREZZO VARIABILE, PER IL PERIODO DI MESI VENTIQUATTRO;14754098;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
B6A4C48A92;2025-04-28;JANSSEN-CILAG - ARIA_2023_011.16-DARZALEX 20 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE;14544270;AFFIDAMENTO DIRETTO;MEDICINALI VARI;JANSSEN CILAG S.P.A.
A004D7C202;2023-08-25;AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE OSPEDALIERA E MENSA DIPENDENTI OCCORRENTE ALLA ASST VALLE OLONA NELL'AMBITO DEL SISTEMA DINAMICO DI ACQUISIZIONE DELLA P.A.;12805997;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISTRIBUZIONE PASTI;RISTOSERVICE S.R.L.
B2F820E393;2024-09-09;ADEGUAMENTO E INSTALLAZIONE APPARATI E DISPOSITIVI DI RETE;10728130;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;VODAFONE SPA
B2F7696CB3;2024-09-09;ADEGUAMENTO E INSTALLAZIONE APPARATI E DISPOSITIVI DI RETE;10728130;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;VODAFONE SPA
B18F06FB90;2024-05-08;AFFIDAMENTO SERVIZIO DI MANUTENZIONE EVOLUTIVA ED AGGIORNAMENTO SISTEMA RIS PACS;10201275;PROCEDURA APERTA;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE PER DISEGNI E IMMAGINI;FUJIFILM  ITALIA S.P.A.
B5DCC7EDE7;2025-02-28;EMICIZUMAB 105MG/0.7ML 1 SC;9682656;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;
B5DCC9A505;2025-02-28;LEBRIKIZUMAB 250 MG PENNE 2 ML;9259776;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;
B81E246008;2025-09-03;LOTTO 1 - SERVIZIO DI LAVANOLO E LAVANDERIA PER GLI ENTI DEL SSR CON SEDE NELLE PROVINCE DI COMO E VARESE;9198902;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;Operatore individuale (persona fisica)
979397108D;2023-04-27;ARIA_2021_025.3-LOTTO 2119 - ENZALUTAMIDE CPR/CPR RIV/CPS/CPS RIG 40 MG-ASTELLAS PHARMA S.P.A.;9156529;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ASTELLAS PHARMA S.P.A.
B119DF1A50;2024-04-05;AFFIDAMENTO SERVIZI INFERMIERISTICI E SERVIZI ULTERIORI;8978256;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE INFERMIERISTICO;
B1327C1650;2024-04-10;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA 21 PER LA FORNITURA DI ENERGIA ELETTRICA PER GLI IMMOBILI DELLA ASST VALLE OLONA, PER IL PERIODO DI MESI DODICI;8950820;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;A2A ENERGIA S.P.A.
97266827E7;2023-04-06;ADESIONE ALLA CONVENZIONE CONSIP ENERGIA ELETTRICA 20 - ANNO 2023/2024;8400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;ENEL ENERGIA SPA
B2F77C6793;2024-09-09;ADEGUAMENTO E INSTALLAZIONE APPARATI E DISPOSITIVI DI RETE;7757670;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;VODAFONE SPA
96693621F3;2023-02-17;ADESIONE CONSIP SERVIZIO PULIZIE SSN - LOTTO 2;7053503;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;CONSI  COPRA SOCIETA' COOPERATIVA ENUNCIABILE ANCHE CONSI COPRA SOC. COOP.
B8DAFF95CE;2025-10-30;L'APPALTO, CHE PREVEDE L'UTILIZZO DI METODI DI GESTIONE INFORMATIVA DIGITALE DELLE COSTRUZIONI DI CUI ALL'ART. 43, D.LGS. 36/2023 HA PER OGGETTO L'ESECUZIONE DELLE SEGUENTI OPERE:PADIGLIONE NPS VERDE- RISTRUTTURAZIONE COMPLETA DEL PIANO 7° DEL REPARTO DI DEGENZA POLISPECIALISTICA CON MANTENIMENTO DE;6836790;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;
B7E00CFABD;2025-08-04;FARMACI ARIA - ROCHE - ARIA_2024_008.19-LOTTO 312_OCRELIZUMAB_SOLUZIONE PER INFUSIONE POLV CONC_0,5MG/0,2ML_FLACONE-OCREVUS 300 MG/10 ML CONCENTRATO PER SOLUZIONE PER INFUSIONE - 1 PZ;6703260;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
B7E6FAE922;2025-08-07;SERVIZIO AUTO, AUTO ACCOMPAGNATORE, AMBULANZA, COMUNI MARNATE - GORLA MINORE - CASTELLANZA - OLGIATE OLONA - CISLAGO - SARONNO - GERENZANO - CARONNO PERTUSELLA - ORIGGIO - UBOLDO;6285404;PROCEDURA APERTA;SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA;
B72177B823;2025-06-04;APPALTO SPECIFICO INDETTO A VALERE SULL'ACCORDO QUADRO AGGIUDICATO AI SENSI DELL'ART. 54, COMMA 4, LETT. C), DEL D.LGS. 50/2016, ED AVENTE AD OGGETTO LA «FORNITURA DI SISTEMI DI CHIRURGIA ROBOTICA VIDEO LAPAROSCOPICA E SERVIZI CONNESSI» (GARA ARIA_2022_013);6269193;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SISTEMI DI LOCALIZZAZIONE E CONTROLLO IN CHIRURGIA;AB MEDICA S.P.A.
B119DF2B23;2024-04-05;AFFIDAMENTO SERVIZI INFERMIERISTICI;6188000;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE INFERMIERISTICO;
9969112379;2023-08-04;LAVORI DI REALIZZAZIONE TERAPIA INTENSIVA, SUBINTENSIVA E PRONTO SOCCORSO PAD. MARRONE DEL PRESIDIO OSPEDALIERO DI SARONNO;6132433;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI SANITARI;COSTRUZIONI BAROZZI SOCIETA' PER AZIONI
B7E6FAD84F;2025-08-07;SERVIZIO AUTO, AUTO ACCOMPAGNATORE, AMBULANZA, COMUNI BUSTO ARSIZIO - CASSANO MAGNAGO - CAIRATE - SAMARATE - FERNO - LONATE POZZOLO - FAGNANO OLONA;6051676;PROCEDURA APERTA;SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA;
B9B0326395;2025-12-18;SERVIZIO DI SMALTIMENTO RIFIUTI SPECIALI E SERVIZI CONNESSI;5862337;AFFIDAMENTO DIRETTO;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;ECO ERIDANIA SOCIETA' PER AZIONI
B6DD207F89;2025-05-14;SDA SINTEL N. 201530072 LUTEZIO-177 VIPIVOTIDE TETRAXETAN EV 1 FL 1000MBQ/ML;5318558;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;PRODOTTI FARMACEUTICI;
B2F1FFE718;2024-09-12;SINTEL N. 189074675 -KAFTRIO 75MG/50MG/100MG COMPRESSE RIVESTITE CON FILM;5155066;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B12EA021F8;2024-04-10;SISTEMI COMPLETI PER L'ESECUZIONE DI ESAMI DI CHIMICA CLINICA E IMMUNOCHIMICA COSTITUITI DA STRUMENTI, REAGENTI E MATERIALE DI CONSUMO;5111998;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ROCHE DIAGNOSTICS S.P.A.
B0B4EB4A7E;2024-03-07;LOTTO 2119 - ENZALUTAMIDE CPR/CPR RIV/CPS/CPS RIG 40 MG;4917114;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ASTELLAS PHARMA S.P.A.
A006294A38;2023-09-28;CASA DELLA COMUNITÀ GALLARATE CORSO L. DA VINCI;4885136;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;MULTI MANUTENZIONE SRL
B2FDC43485;2024-09-10;MSD ITALIA S.R.L.-ARIA_2023_011.16-KEYTRUDA 25 MG/ML, 4 ML CONCENTRATO PER SOLUZIONE PER INFUSIONE UN FLACONCINO DA 4 ML DI CONCENTRATO CONTIENE 100 MG DI PEMBROLIZUMAB;4520840;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MSD ITALIA S.R.L.
B2432E8CA2;2024-08-26;OCREVUS 300 MG-ROCHE-SINTEL N.185815042;4469400;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
B7E6FAC77C;2025-08-07;SERVIZIO AUTO, AUTO ACCOMPAGNATORE, AMBULANZA, COMUNI GA SOMMA LOMBARDO - ARSAGO SEPRIO - CASORATE SEMPIONE - CARDANO AL CAMPO - GOLASECCA - VIZZOLA TICINO -GALLARATE - CAVARIA CON PREMEZZO - ALBIZZATE - IERAGO CON ORAGO - OGGIONA - SOLBIATE ARNO;4167179;PROCEDURA APERTA;SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA;
B4F5E5AD93;2024-12-23;SAPIO LIFE S.R.L.-ARIA_2021_ARIA_2021_057 - OSSIGENOTERAPIA;4163063;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;SAPIO LIFE SRL
B5DCBF4C06;2025-02-28;AXITINIB COMPRESSE 3 MG CONFEZIONE DA 56 COMPRESSE;3958080;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;
A00622A2C1;2023-09-28;CASA DELLA COMUNITÀ FAGNANO OLONA;3910690;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO INTEGRA SOCIETA' COOPERATIVA
B2B3EB3620;2024-08-05;SISTEMI PER LA SINTESI E COAGULAZIONE VASALE/TISSUTALECON ENERGIA ESCLUSIVA A ULTRASUONI PER CHIRURGIAVIDEO ASSISTITA E OPEN ULTRASUONI – STRUMENTI A STELOSISTEMI PER LA SINTESI E COAGULAZIONE VASALE/TISSUTALECON ENERGIA ESCLUSIVA A ULTRASUONI PER CHIRURGIAVIDEO ASSISTITA E OPEN ULTRASUONI – STRUMEN;3842000;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;JOHNSON & JOHNSON MEDICAL S.P.A.
B51CA45026;2025-01-09;APPARECCHIATURE PRODUTTORE GE MEDICAL SYSTEMS;3669141;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE;
B216D79B32;2024-06-13;FARMACI ARIA - BIOGEN ITALIA - ARIA_2021_025.3-LOTTO 2181 - NATALIZUMAB SOLUZIONE PER INFUSIONE CONC 20 MG/ML - TYSABRI - 300MG IV 1 FL DA 15ML;3547895;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;Operatore individuale (persona fisica)
B717EBECF7;2025-05-30;BICTEGRAVIR/EMTRICITABINA/TENOFOVIR CPR RIV 50MG +200MG+25MG;3482278;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
96495883ED;2023-05-10;ARIA_2021_025.3-LOTTO 491 - SELEXIPAG CPR/CPR RIV/CPS/CPS RIG 400 MCG - TUTTI I CONFEZIONAMENTI-JANSSEN-CILAG SPA;3464752;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSEN CILAG S.P.A.
