# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DELLA VALTELLINA E DELL'ALTO LARIO (ANAC)
# 4379 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B00CAB8B92;2024-01-22;BUONI PASTO ELETTRONICI;125812000;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;DAY RISTOSERVICE S.P.A. SOCIETA' BENEFIT
B022E2D0AF;2024-01-26;L.5 PACEMAKER BICAMERALI FUNZIONI AVANZATE E ALGORITMI DEDICATI;47200000;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;BIOTRONIK ITALIA S.P.A.
B022F0EA59;2024-01-26;L.5 PACEMAKER BICAMERALI FUNZIONI AVANZATE E ALGORITMI DEDICATI;47200000;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MEDTRONIC ITALIA S.P.A.
B903864D34;2025-11-11;LOT-0001 DERRATE ALIMENTARI II;30558768;PROCEDURA APERTA;PRODOTTI ALIMENTARI VARI;
B7FF13E641;2025-08-21;LOT-0001 DERRATE ALIMENTARI;29461083;PROCEDURA APERTA;PRODOTTI ALIMENTARI VARI;
B01C3A78C2;2024-01-25;LOTTO 9 DEFIBRILLAOTRIA BICAMERALI FUNZINOI AVANZATE;29127500;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;BIOTRONIK ITALIA S.P.A.
B01BCDAC09;2024-01-25;LOTTO 9 DEFIBRILLAOTRIA BICAMERALI FUNZINOI AVANZATE;29127500;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ABBOTT MEDICAL ITALIA S.R.L.
B01E9DAEA3;2024-01-25;L.4 PACEMAKER BICAMERALI FUNZIONI AVANZATE;24772800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ABBOTT MEDICAL ITALIA S.R.L.
B01DB4346E;2024-01-25;L.4 PACEMAKER BICAMERALI FUNZIONI AVANZATE;24772800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MICROPORT CRM S.R.L.
B01E4B717B;2024-01-25;L.4 PACEMAKER BICAMERALI FUNZIONI AVANZATE;24772800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MEDTRONIC ITALIA S.P.A.
B01E75E1CF;2024-01-25;L.4 PACEMAKER BICAMERALI FUNZIONI AVANZATE;24772800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;BOSTON SCIENTIFIC SPA
B02305BD25;2024-01-26;L.4 PACEMAKER BICAMERALI FUNZIONI AVANZATE;24772800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MEDTRONIC ITALIA S.P.A.
B01D883F75;2024-01-25;L.4 PACEMAKER BICAMERALI FUNZIONI AVANZATE;24772800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;BIOTRONIK ITALIA S.P.A.
