# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DELLA VALCAMONICA (ANAC)
# 2340 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B54B4102CA;2025-01-22;SERVIZIO DI RISTORAZIONE ADESIONE CONVENZIONE ARIA_2023_048;10134910;AFFIDAMENTO DIRETTO;SERVIZI DI PREPARAZIONE PASTI;VIVENDA S.P.A.
9736760489;2023-06-30;LAVORI DI ADEGUAMENTO SISMICO OSPEDALE DI ESINE - LOTTO 4;8820000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;TECHNOLOGICA S.R.L.
9736823885;2023-06-30;LAVORI DI ADEGUAMENTO SISMICO OSPEDALE DI EDOLO;5534234;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;GEMMO S.P.A. (SOCIETA' CON UNICO SOCIO)
B7B4D5F320;2025-07-21;MANUTENZIONE ED EVOLUZIONE SW AZIENDALI HITECH;5529858;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI MANUTENZIONE DI SISTEMI E DI ASSISTENZA;HI.TECH - SOCIETA' PER AZIONI
9730747274;2023-05-15;LAVORI PER LA REALIZZAZIONE ODC ESINE;4173268;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;GEMMO S.P.A. (SOCIETA' CON UNICO SOCIO)
B82690C7F9;2025-09-05;AFFIDAMENTO DEL SERVIZIO DI ASSISTENZA TECNICA E MANUTENZIONE EVOLUTIVA, GESTIONE, IMPLEMENTAZIONE E AGGIORNAMENTO DEL SISTEMA PACS IN USO PRESSO L'AZIENDA (PHILIPS SPA), TRAMITE PROCEDURA NEGOZIATA SENZA PUBBLICAZIONE DI UN BANDO AI SENSI DELL'ART.76 COMMA 2 LETT.B) DEL D.LGS.36/2023, PER UN PERIOD;4064000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI MANUTENZIONE DI SISTEMI E DI ASSISTENZA;PHILIPS S.P.A.
B68EDA3E25;2025-04-17;ADESIONE AL LOTTO N.2 DELLA CONVENZIONE ARIA_2023_038 PER L'AFFIDAMENTO DEL SERVIZIO DI LAVANOLO E LAVANDERIA, PER IL PERIODO 1.7.2025-30.6.2030.;4058842;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;Operatore individuale (persona fisica)
B95205E42A;2025-11-28;ADESIONE AL LOTTO N.5 DELLA GARA MULTI-LOTTO A PROCEDURA APERTA ARIA_2025_022 AFFIDAMENTO SERVIZIO DI COPERTURA ASSICURATIVA DEI RISCHI DI RESPONSABILITÀ CIVILE VERSO TERZI E VERSO PRESTATORI D'OPERA – ED.17, PER UN PERIODO DI 60 MESI.;3979238;AFFIDAMENTO DIRETTO;SERVIZI ASSICURATIVI;BERKSHIRE HATHAWAY INTERNATIONAL INSURANCE LIMITED
B786F1706D;2025-07-03;PROT. FAR 18542/25_DECRETO ANTIBLASTICI – ARIA_2024_008.20/L0071;3661020;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MEDAC PHARMA S.R.L.
B4ABA015C6;2024-12-06;OSSIGENOTERAPIA DOMICILIARE (31347/24);2600131;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;MEDIGAS ITALIA S.R.L.
B4AC096448;2024-12-06;OSSIGENOTERAPIA DOMICILIARE (31347/24);2500126;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;MEDIGAS ITALIA S.R.L.
9954969C4A;2023-07-20;CHIMICA CLINICA E IMMUNOMETRIA - RINNOVA 4 ANNI - ABBOTT;2400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;REATTIVI PER LABORATORIO;ABBOTT S.R.L.
97307103EB;2023-05-15;LAVORI PER LA REALIZZAZIONE ODC EDOLO;2200824;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;GEMMO S.P.A. (SOCIETA' CON UNICO SOCIO)
984681157E;2023-05-29;FORNITURA ENERGIA ELETTRICA SEDI AZIENDALI PARTE 2023 PARTE 2024;2000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;
B16C3B1B63;2024-04-24;FORNITURA ENERGIA ELETTRICA;2000000;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;A2A ENERGIA S.P.A.
B72DFDF63D;2025-06-06;FORNITURA ENERGIA ELETTRICA 2025-2026;2000000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
99834614A4;2023-08-03;LAVORI LOTTO 2 SISMICA ESINE;1769514;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;AR.CO. LAVORI SOCIETA' COOPERATIVA CONSORTILE
B60289B59B;2025-03-12;FARMACI ARIA_2024_008.3 (PROT.FAR 7264/25) – LOTTO 823;1739540;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
