# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DI LECCO (ANAC)
# 4042 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B688AB7C1F;2025-04-16;ADESIONE CONVENZIONE ARIA_2023_048 PER IL SERVIZIO DI RISTORAZIONE PER GLI ENTI DEL SSR;27040041;AFFIDAMENTO DIRETTO;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;VIVENDA S.P.A.
A035E10651;2023-11-30;AFFIDAMENTO DEI SERVIZI DI PULIZIA, DI SANIFICAZIONE ED ALTRI SERVIZI PER GLI ENTI DEL SERVIZIO SANITARIO NAZIONALE PER LE PUBBLICHE AMMINISTRAZIONI;21772604;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
B86C448A06;2025-09-30;SERVIZIO DI LOGISTICA INTEGRATA PER L'ASST DI LECCO;16504167;PROCEDURA RISTRETTA;SERVIZI DI MOVIMENTAZIONE E MAGAZZINAGGIO;
B775E45CF8;2025-06-30;SERVIZIO DI GESTIONE E MANUTENZIONE DELLE APPARECCHIATURE ELETTROMEDICALI;13465276;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;POLYGON S.P.A.
B7626BC6B8;2025-06-25;SERVIZIO DI ASSISTENZA TECNICA E MANUTENZIONE FULL-RISK DEL SISTEMA RIS-PACS DELL'ASST DI LECCO, COMPRENSIVO DI AGGIORNAMENTO TECNOLOGICO, PER UN PERIODO DI 84 MESI, CON FACOLTÀ DI RINNOVO PER ULTERIORI 24 MESI.;12240000;PROCEDURA RISTRETTA;SERVIZI DI MANUTENZIONE DI SISTEMI;
A04525CFF2;2023-12-05;SERVIZIO DI COPERTURA ASSICURATIVA DEI RISCHI DI RESPONSABILITÀ CIVILE VERSO TERZI E VERSO PRESTATORI D'OPERA (RCT/O);10524530;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI ASSICURATIVI;Operatore individuale (persona fisica)
B8A249EFCC;2025-10-15;MANIPOLO DRILL REAMER;10489172;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B748F6729F;2025-06-17;MATERIALI DIAGNOSTICI E SISTEMA ANALITICO AUTOMATIZZATO PER AUTOIMMUNITA' CON MEDOTICA IMMUNOMETRICA QUANTITATIVA;9465282;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B9A3E5ACAE;2025-12-19;SERVIZI DI GESTIONE INTEGRATA DEGLI IMPIANTI TECNOLOGICI DEGLI IMMOBILI DI PERTINENZA DELL'ASST DI LECCO;7411740;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI GRUPPI DI RAFFREDDAMENTO;CARBOTERMO S.P.A.
B83B71B47D;2025-09-12;FORNITURA IN SERVICE DI DISPOSITIVI MEDICI PER L'ESECUZIONE DI ESAMI DIAGNOSTICI E PROCEDURE INTERVENTISTICHE CON RELATIVA GESTIONE DI MAGAZZINO;7377049;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;N.G.C. MEDICAL SRL
