# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO-SANITARIA TERRITORIALE DELLA FRANCIACORTA (ANAC)
# 4505 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B71CF90EE4;2025-06-04;SERVIZIO ANALISI DI LABORATORIO NON ESEGUIBILI IN SEDE;40521026;PROCEDURA APERTA;SERVIZI PRESTATI DA LABORATORI MEDICI;
B62CA484ED;2025-03-24;SERVIZIO DI RISTORAZIONE. ADESIONE CONVENZIONE ARIA 2023_048 LOTTO 7;8987552;AFFIDAMENTO DIRETTO;SERVIZI DI RISTORAZIONE E DI DISTRIBUZIONE PASTI;VIVENDA S.P.A.
B5AD5A22E4;2025-02-17;SERVIZIO DI GESTIONE DEI CENTRI DIALISI PRESSO IL P.O. DI ISEO E GLI STABILIMENTI DI PALAZZOLO E ORZINUOVI. PRESA D'ATTO DELL'AVVENUTA AGGIUDICAZIONE DELLA GARA AGGREGATA DA PARTE DELLA CAPOFILA ASST DI CREMONA. PERIODO DAL 01/03/2025 AL 28/03/2031 (72 MESI). LOTTO 2;7041240;AFFIDAMENTO DIRETTO;SERVIZI DI DIALISI OSPEDALIERA;NEPHROCARE S.P.A.
A05C7753C8;2024-06-21;ADESIONE PROCEDURA APERTA IN FORMA AGGREGATA - SERVIZIO DI SORVEGLIANZA E PRONTO INTERVENTO ANTINCENDIO E EMERGENZA - 72 MESI A PARTIRE DAL 2024;6618705;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PREVENZIONE DEGLI INCENDI;EVOLVE CONSORZIO STABILE
99078833B4;2024-01-01;FORNITURA IN FULL SERVICE DI SISTEMI COMPLETI PER L'ESECUZIONE DI ESAMI DI CHIMICA CLINICA E IMMUNOCHIMICA COSTITUITI DA STRUMENTI, REAGENTI E MATERIALE DI CONSUMO. ADESIONE ALLA GARA ESPLETATA DALLA FONDAZIONE IRCCS ISTITUTO NAZIONALE DEI TUMORI DI MILANO PER IL PERIODO: 01/01/2024 - 31/12/2027 (48;5413616;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MATERIALI MEDICI;ROCHE DIAGNOSTICS S.P.A.
B7CA73DE48;2025-07-28;FORNITURA DI N. 1 SISTEMA DI CHIRURGIA ROBOTICA VIDEO LAPAROSCOPICA E SERVIZI CONNESSI IN CONDIVISIONE FRA ASST FRANCIACORTA E ASST GARDA;5339811;PROCEDURA NEGOZIATA CON PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);SISTEMI DI LOCALIZZAZIONE E CONTROLLO IN CHIRURGIA;
B6375B9F43;2025-03-26;ARIA 2023_038 LOTTO 2 SERVIZIO DI LAVANOLO E LAVANDERIA ADESIONE DAL 01/04/2025 AL 31/03/2030 (60 MESI);4011205;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;Operatore individuale (persona fisica)
B97648AA0A;2025-12-05;ADESIONE ALLA CONVENZIONE CONSIP PER LA FORNITURA DI ENERGIA ELETTRICA E DEI SERVIZI CONNESSI PER LE PUBBLICHE AMMINISTRAZIONI - EDIZIONE 22 – LOTTO N. 3 – PERIODO DAL 1 FEBBRAIO 2026 AL 31 GENNAIO 2027;3500000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
B5BD64181D;2025-02-24;LAVORI DI AMPLIAMENTO DEL PRONTO SOCCORSO DEL PRESIDIO OSPEDALIERO DI CHIARI;3418545;PROCEDURA APERTA;LAVORI DI AMPLIAMENTO DI EDIFICI;SIRIMED S.R.L.
B954A1833B;2025-12-01;L65 TUROCTOCOG ALFA PEGILATO SOLUZIONE INIETT POLV SOLV;3117660;ALTRA PROCEDURA A PIU' FASI;MEDICINALI VARI;
