# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DI MANTOVA (ANAC)
# 5909 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
99232561E8;2023-06-30;AFFIDAMENTO IN CONCESSIONE DELLA GESTIONE DELL'OSPEDALE 'FRATELLI MONTECCHI' DI SUZZARA (MN);440000000;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
B856CDE51A;2025-09-23;FARMACI ARIA 2023_011.16 LOTTO 23;96194986;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
98924346C8;2023-06-30;PROCEDURA APERTA IN FORMA AGGREGATA PER LA FORNITURA DI SISTEMI ANALITICI COMPLETI PER L'ESECUZIONE DI ESAMI DI DIAGNOSTICA EMATOLOGICA OCCORRENTI ALL'ASST DI MANTOVA (CAPOFILA), ALL'ASST DI CREMONA ED ALL'ASST DEL GARDA (MANDANTI);34146000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;DASIT SPA
A007AE0721;2023-09-06;PROCEDURA RISTRETTA EX ART. 72 D. LGS. 36/2023 PER LA FORNITURA DISISTEMI ANALITICI COMPLETI PER L'ESECUZIONE DELLE INDAGINI ELETTROFORETICHE;18776667;PROCEDURA RISTRETTA;SISTEMI DIAGNOSTICI;SEBIA ITALIA - S.R.L.
B6C2F884F3;2025-05-12;SERVIZIO DI MANUTENZIONE E ASSISTENZA TECNICA DI TIPO FULL RISK DI APPARECCHIATURE AD ALTO CONTENUTO TECNOLOGICO;17103500;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;
B31C2838A9;2024-09-19;FORNITURA DI PRODOTTI PER LA SICUREZZA PERIMETRALE, PROTEZIONE DEGLI ENDPOINT E ANTI-APT ED EROGAZIONE DI SERVIZI CONNESSI;16696858;AFFIDAMENTO DIRETTO;PACCHETTI SOFTWARE DI SICUREZZA;TIM S.P.A.
B2D20F2C68;2024-08-22;FORNITURA DI AUSILI MONOUSO AD ASSORBENZA PER INCONTINENTI E SERVIZI CONNESSI - ADESIONE ALLA CONVENZIONE ARIA_2021_010 LOTTO 7 - DITTA SERENITY S.P.A.;12600000;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;SERENITY S.P.A.
B57394EB47;2025-01-31;SERVIZIO DI LAVANOLO E LAVANDERIA PER GLI ENTI DEL SSR CON SEDE NELLE PROVINCE DI CREMONA E MANTOVA;11870815;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;HOSPITAL SERVICE S.R.L.
9894826CB7;2023-06-23;SISTEMI DIAGNOSTICI PER LA DETERMINAZIONE DELLA MISURA DI MARCATORI BIOCHIMICI DI METABOLISMO OSSEO, DISORDINI METABOLICI E PATOLOGIE ENDOCRINE- EX ART.60 DEL D.LGS 50/2016;10976000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;DIASORIN ITALIA S.P.A.
B9022240BB;2025-11-07;LOTTO 4SERVIZI DI FACILITY MANAGEMENT PER ASST DI MANTOVA;10608899;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI GRUPPI DI RAFFREDDAMENTO;ROMEO GESTIONI S.P.A.
B21F140A33;2024-06-17;FARMACI ARIA_2023_011.16 LOTTO 21;10342592;AFFIDAMENTO DIRETTO;MEDICINALI VARI;JANSSEN CILAG S.P.A.
9753187885;2023-06-29;APPALTO INTEGRATO PER LA REALIZZAZIONE DELLA CASA DI COMUNITA' DI MANTOVA;8332513;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;OPERAZIONE S.R.L.
975342199F;2023-06-30;LAVORI PIANO PLURIENNALE DI ADEGUAMENTO NORMATIVO DI SICUREZZA SISMICA E ANTINCENDIO - P.O: BORGO MANTOVANO E P.O. DI SUZZARA;7828370;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;GABE SOCIETA' COOPERATIVA CONSORTILE
A00335906C;2023-08-08;FARMACI ARIA_2022_027.2R LOTTO 538 DITTA: MSD ITALIA SRL;7584308;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
A020C88C2C;2023-10-30;ADESIONE SUCCESSIVA A.Q. ASST GARDA FORNITURA DI SITEMMI VARI PER LA CHIRURGIA DEL PIEDE, DELLA COLONNA, ANCORAGGIO, LEGAMENTI, FISSAZIONE ESTERNA E SISTEMI PLACCHE - LOTTO DI GARA N. 6 SISTEMA DI STABILIZZAZIONE VERTEBRALE;7500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER OSTEOSINTESI;NUVASIVE ITALIA S.R.L.
B9AE54181F;2025-12-19;PROCEDURA APERTA IN FORMA AGGREGATA PER LA FORNITURA IN SERVICE DI STAMPANTI PER VETRINI E PER BIOCASSETTE PER LA TRACCIABILITÀ DEI CAMPIONI BIOLOGICI;7168000;PROCEDURA APERTA;MACCHINARI, ATTREZZATURE E FORNITURE VARIE;
982908625D;2023-07-19;FORNITURA DI SISTEMI DI CHIRURGIA ROBOTICA VIDEO LAPAROSCOPICA E SERVIZI CONNESSI (GARA ARIA_2022_013);6488359;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DI LOCALIZZAZIONE E CONTROLLO IN CHIRURGIA;CARLO BIANCHI S.R.L.
B68E0315BA;2025-04-18;PROCEDURA APERTA TELEMATICA PER LA FORNITURA DI UN SISTEMA ANALITICO COMPLETO (STRUMENTO E REAGENTI) CON METODICA REAL TIME PCR, DI REAGENTI NGS (NEXT GENERATION SEQUENCING) PER L'ESECUZIONE DEI TEST GENOMICI SOMATICI DEDICATI ALLO STRUMENTO ILLUMINA MISEQ, E DI TUTTA LA STRUMENTAZIONE ACCESSORIA DE;5720000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B8C2CDAF69;2025-10-23;SERVIZIO TRASPORTO RITIRO E SMALTIMENTO RIFIUTI;5602929;AFFIDAMENTO DIRETTO;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;ECO ERIDANIA SOCIETA' PER AZIONI
B0A95E25C0;2024-05-02;FORNITURA DI DERRATE ALIMENTARI OCCORRENTI ALL'A.S.S.T. DIMANTOVA - RINNOVO CONTRATTUALE;5402852;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B51F23446E;2025-01-08;SERVIZIO DI MANUTENZIONE EDILE;5248800;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI DI EDIFICI;BOTTOLI COSTRUZIONI S.R.L.
A011B0D587;2023-10-17;CONVENZIONE CONSIP - ENERGIA ELETTRICA 20 - LOTTO 3;5000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;ENEL ENERGIA SPA
B7FD506CD0;2025-08-19;SERVIZIO DI SOMMINISTRAZIONE LAVORO A TEMPO DETERMINATO;5000000;AFFIDAMENTO DIRETTO;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;MANPOWER TBO SRL
9682096E5D;2023-01-25;FORNITURA DI DISPOSITIVI MEDICI E SISTEMI IMPIANTABILI ATTIVI PER CARDIOCHIRURGIA PER ELETTROFISIOLOGIA PER OTORINOLARINGOIATRIA E PER NEUROCHIRURGIA - ADESIONE ALL'AQ DELL'ASST SPEDALI CIVILI DI BRESCIA - LOTTO 37;4896000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PROTESI CARDIACHE;EDWARDS LIFESCIENCES ITALIA S.R.L.
9743306E74;2023-06-26;LAVORI PER NUOVA COSTRUZIONE CASA DI COMUNITA' E CENTRALE OPERATIVA TERRITORIALE DI CASTIGLIONE DELLE STIVIERE;4761116;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;BOTTOLI COSTRUZIONI S.R.L.
B1DB536668;2024-05-29;FORNITURA DI SISTEMI ANALITICI COMPLETI PER PROTEINE SPECIFICHE;4708000;PROCEDURA APERTA;Sistemi diagnostici;
B1DB485458;2024-05-29;FORNITURA DI SISTEMI ANALITICI COMPLETI PER PROTEINE SPECIFICHE;4708000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;THE BINDING SITE  S.R.L.
B54E277DA3;2025-01-22;PROCEDURA PONTE, AI SENSI DELL'ART. 76 COMMA 2 LETT. C) DEL D.LGS 36/2023, PER L'AFFIDAMENTO DEL SERVIZIO DI PULIZIA E SANIFICAZIONE PER LE ESIGENZE DI ASST MANTOVA, NELLE MORE DI ADESIONE A CONVENZIONE ARIA_2024_019_PULIZIE SSR;4700000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
B7994E00DB;2025-07-10;PROCEDURA PONTE, AI SENSI DELL'ART. 76 COMMA 2 LETT. C) DEL D.LGS 36/2023, PER L'AFFIDAMENTO DEL SERVIZIO DI PULIZIA E SANIFICAZIONE ED ATTIVITÀ ALBERGHIERE E DI SUPPORTO PRESSO I PRESIDI DI ASOLA, BOZZOLO, CASTIGLIONE DELLE STIVIERE, BORGO MANTOVANO E AREE TERRITORIALI, NELLE MORE DI ADESIONE A CON;4526500;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI PULIZIA E DISINFESTAZIONE;
B8E65B0A7E;2025-10-31;ENERGIA ELETTRICA ANNO 2026;4515000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
95898312E4;2023-01-11;FORNITURA DI OSSIGENO E SERVIZI CONNESSI PER LA GESTIONE DEI PAZIENTI IN OSSIGENOTERAPIA DOMICILIARE -ADESIONE ALLA CONVENZIONE ARIA_2021_057, LOTTO 6;4512309;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;NIPPON GASES PHARMA S.R.L.
B92421B596;2025-11-19;FORNITURA A NOLEGGIO DI UN ESOSCOPIO INTRAOPERATORIO PER LA STRUTTURA DI NEUROCHIRURGIA DELL'ASST DI MANTOVA E PER L'ACQUISTO DEL RELATIVO MATERIALE DI CONSUMO;4359000;PROCEDURA APERTA;TECNICA OPERATORIA;
B6F6E0D2C0;2025-05-22;NOLEGGIO TRAPANI ORTOPEDICI E ACQUISTO DEL RELATIVO MATERIALE DI CONSUMO;4158000;PROCEDURA APERTA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;
9753413307;2023-06-29;PIANO PLURIENNALE ADEGUAMENTO NORMATIVO (SICUREZZA, SISMICA E ANTINCENDIO) - OSPEDALE DI MANTOVA PALAZZINA 16 - APPALTO INTEGRATO;4020150;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;OPERAZIONE S.R.L.
B36E8153C8;2024-10-14;ENERGIA ELETTRICA;4000000;AFFIDAMENTO DIRETTO;ELETTRICITÀ, RISCALDAMENTO, ENERGIA SOLARE E NUCLEARE;A2A ENERGIA S.P.A.
B73063F144;2025-06-09;FARMACI ARIA_2024_008.20 LOTTO 407;3741942;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NOVARTIS FARMA SPA
B8617D06A5;2025-09-25;FARMACI ARIA_2023_011.16 LOTTO 23;3692186;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MSD ITALIA S.R.L.
