# Ospedali Trasparenti — contratti pubblici di AZIENDA ULSS N.1 DOLOMITI (ANAC)
# 2194 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
99345856E3;2023-06-30;SERVIZIO DI PULIZIE E SANIFICAZIONE PER LE AZIENDE DEL SERVIZIO SANITARIO DELLA REGIONE VENETO LOTTO 1 AULSS1 DOLOMITI DELLA DURATA DI ANNI 5 RINNOVABILE DI ANNI 2 #BNS;28742567;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;EURO&PROMOS FM SOCIETA' PER AZIONI IN FORMA ABBREVIATA EURO&PROMOS FM S.P.A.
B6DE7F25E4;2025-05-16;PROCEDURA APERTA PER L'AFFIDAMENTO, AI SENSI DELL'ART. 71 DEL D.LGS. N. 36/2023, DEI LAVORI DI MIGLIORAMENTO SISMICO ED EFFICIENTAMENTO ENERGETICO DEL PADIGLIONE DALLA PALMA DELL'OSPEDALE DI FELTRE (BL);25212442;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;DEON S.P.A.
9929885055;2023-06-30;SERVIZIO DI GESTIONE DELLA RESIDENZA SANITARIA ASSISTENZIALE (RSA) PER PERSONE CON DISABILITA' GRAVE DELL'AZIENDA U.L.S.S. N. 1 DOLOMITI (SSS);16320222;PROCEDURA RISTRETTA;SERVIZI DI ASSISTENZA SOCIALE;INSIEME SI PUO' - SOCIETA' COOPERATIVA SOCIALE
B6AA94BC07;2025-05-02;PROCEDURA APERTA TELEMATICA PER L'AFFIDAMENTO SERVIZIO DI ASSISTENZA DOMICILIARE E HOSPICE NEL TERRITORIO DELL'AZIENDA ULSS N. 1 DISTRETTO DI BELLUNO: HA PER OGGETTO L'AFFIDAMENTO COMPLESSIVO IN APPALTO A UN UNICO GESTORE, DA PARTE DELL'AZIENDA ULSS N.1 – DISTRETTO 1 DI BELLUNO, DELLA PRESA IN CARIC;15773264;PROCEDURA APERTA;SERVIZI PRESTATI DA PERSONALE INFERMIERISTICO;
B41C70E8B0;2024-11-04;FORNITURA DI VEICOLI AZIENDALI LOTTO 9A E 9B VEICOLI ED. 2;11766074;AFFIDAMENTO DIRETTO;FURGONI;FCA FLEET & TENDERS S.R.L.
B4ED4F5BE6;2024-12-20;PROCEDURA COMPETITIVA CON NEGOZIAZIONE PER L AFFIDAMENTO DELLA GESTIONE DEI MAGAZZINI AZIENDALI DI FELTRE E DI BELLUNO DESTINATI ALLA GESTIONE DEI FARMACI DEI DISPOSITIVI MEDICI DEI BENI ECONOMALI E DEI CESPITI INVENTARIABILI (NON RIENTRANO LE ATTREZZATURE BIOMEDICHE) PER TUTTE LE UNITA OPERATIVE RI;11091472;ALTRA PROCEDURA A PIU' FASI;SERVIZI DI MAGAZZINO;
B6F22F5A98;2025-05-20;AFFIDAMENTO DEI MAGAZZINI AZIENDALI DI FELTRE E DI BELLUNO DESTINATI ALLA GESTIONE DEI FARMACI DEI DISPOSITIVI MEDICI DEI BENI ECONOMALI E DEI CESPITI INVENTARIABILI;11091472;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI MAGAZZINO;MARKAS S.R.L.
95839269EC;2023-01-02;SERVIZIO ENERGIA E CALORE E LA CONDUZIONE E GESTIONE DEGLI IMPIANTI DELLE STRUTTURE SANITARIE DELLA AULSS N. 1 - DOLOMITI (ANNO 2023);10482942;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;SIRAM  S.P.A.
95783933F4;2023-01-16;LOTTO N. 1 : SERVIZI DI GESTIONE DELLE PRENOTAZIONI;10441232;PROCEDURA APERTA;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;CONSORZIO STABILE CENTO ORIZZONTI SOCIETA' CONSORTILE A RESPONSA ILITA' LIMITATA
B51B34CAFB;2025-01-09;AFFIDAMENTO IN REGIME DI PROROGA TECNICA DELLA GESTIONE DEL SERVIZIO ENERGIA E CALORE E LA CONDUZIONE E GESTIONE DEGLI IMPIANTI DELLE STRUTTURE SANITARIE DELLA AZIENDA ULSS N.1 DOLOMITI, DISTRETTO DI FELTRE, ALLA DITTA GEMMO SPA, PER IL PERIODO 17/12/2024 AL16/12/2026;9617647;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;SIRAM  S.P.A.
