# Ospedali Trasparenti — contratti pubblici di AZIENDA ULSS N.8 BERICA (ANAC)
# 4527 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A05302CB97;2024-03-13;SERVIZIO DI PULIZIA E SANIFICAZIONE A RIDOTTO IMPATTO AMBIENTALE AI SENSI DEL D.M. 18.10.2016 PER L'AZIENDA ULSS N. 8 BERICA;65730000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;COOPSERVICE SOCIETA' COOPERATIVA PER AZIONI ABBREVIABILE IN COOPSERVICE S.COOP.P.A.
B21AD97477;2024-06-14;BUONI PASTO;39659760;AFFIDAMENTO DIRETTO;BUONI PASTO;PELLEGRINI S.P.A.
B50C1E9823;2025-03-10;GARA EUROPEA A PROCEDURA APERTA EX ART. 71 DEL D.LGS. 36/2023 MEDIANTE PIATTAFORMA TELEMATICA SINTEL, CON AGGIUDICAZIONE ALL'OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA CON L'ATTRIBUZIONE DI UN PUNTEGGIO MASSIMO DI 70 PUNTI SU 100 PER LA QUALITÀ E DI 30 PUNTI SU 100 PER LA PARTE ECONOMICA, PER L'AFFIDAME;18774600;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B9B11D2F1E;2025-12-19;LOTTO UNICO - LAVORI DI ADEGUAMENTO SISMICO, SICUREZZA INCENDI ED EFFICIENTAMENTO ENERGETICO EDIFICIO 1 I LOTTO ED EDIFICIO 6 PALAZZINA UFFICI OSPEDALE SAN BORTOLO VICENZA;17006841;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;
A032F21B38;2023-11-23;FORNITURA DI GAS MEDICINALI, TECNICI E DI LABORATORIO E DEI SERVIZI DI MANUTENZIONE E DI CONTROLLO QUALITY PER GLI ENTI DEL SERVIZIO SANITARIO DELLA REGIONE DEL VENETO E L'OSPEDALE RIABILITATIVO DI ALTA SPECIALIZZAZIONE DI MOTTA DI LIVENZA (TV) PER 5 ANNI RINNOVABILE PER ULTERIORI 24 MESI. LOTTO A;14063968;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS MEDICI;AIR LIQUIDE SANITA' SERVICE SPA
B5BF07EF26;2025-02-21;LOTTO 5 - DUPILUMAB 300MG;13526487;AFFIDAMENTO DIRETTO;MEDICINALI VARI;SANOFI S.R.L.
9731944E3C;2023-04-06;SERVIZI FINALIZZATI A CONTRASTARE L'INSORGENZA DI AVIARIA - ABBATTIMENTO CAPI E CARICO CARCASSE DI AVICOLI LOTTO 1;11690730;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISINFEZIONE E DISINFESTAZIONE;COOPERATIVA AGRICOLA DEL BIDENTE - SOC.COOP.
B3868F4ED2;2024-10-16;LT3 - LAMIVUDINA/DOLUTEGRAVIR;9858427;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;VIIV HEALTHCARE S.R.L.
9732288A1E;2023-04-06;SERVIZI FINALIZZATI A CONTRASTARE L'INSORGENZA DI AVIARIA - TRASPORTO E SMALTIMENTO CARCASSE LOTTO 3;9676688;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISINFEZIONE E DISINFESTAZIONE;ING. AM. - S.R.L.
B3596766A9;2024-10-08;LT 34 - BICTEGRAVIR SODICO/EMTRICITABINA/TENOFOVIR ALAFENAMIDE FUMARATO;7294274;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
B71CFAD6D5;2025-06-03;L. 18 G.R. VALVOLE CARDIACHE DDG 599 DEL 23.09.2024 - EDWARDS;7215000;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;EDWARDS LIFESCIENCES ITALIA S.R.L.
B4C3C6D870;2024-12-12;SELINEXOR;7191051;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MENARINI STEMLINE ITALIA S.R.L.
B35637C576;2024-10-08;LT 213 - SECUKINUMAB;6993546;AFFIDAMENTO DIRETTO;DISPOSITIVI E PRODOTTI MEDICI VARI;NOVARTIS FARMA SPA
9738474AF7;2023-04-27;SERVIZIO SMALTIMENTO RIFIUTI;6900000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;
A01AFD6D8E;2023-10-10;LT 15 -TRASTUZUMAB DERUXTECAN;6773765;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
9939275533;2023-06-23;FORNITURA DI AUSILI PER INCONTINENTI AMBITO TERRITORIALE;6600000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;
B708958A9D;2025-05-27;LOTTO32 - HERPES ZOOSTER;6477900;AFFIDAMENTO DIRETTO;VACCINI;GLAXOSMITHKLINE S.P.A.
B8BD3943B5;2025-10-23;GESTIONE DEL CALL CENTER PER PRENOTAZIONE PRESTAZIONI SANITARIE E DEGLI SPORTELLI CUP-CASSA PRESSO ALCUNI P.O. DELL'ULSS 8 BERICA;6473864;PROCEDURA APERTA;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;
B1E2241299;2024-05-29;LT4 - CALQUENCE;6369109;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ASTRAZENECA S.P.A.
B51266DADA;2024-12-31;KIT PROCEDURALI;6030982;AFFIDAMENTO DIRETTO;APPARECCHIATURE MEDICHE;CARDIVA ITALIA S.R.L.
99140504DF;2023-06-30;SERVIZIO DI TRAPORTO E ACCOMPAGNAMENTO DI PERSONE CON DISABILITÀ AI CENTRI DIURNI A GESTIONE PUBBLICA E PRIVATI PRESENTI NEL TERRITORIO DELL'AZIENDA ULSS 8 BERICA ED IL SERVIZIO DI TRASPORTO DI PAZIENTI NON ALLETTATI IN TRATTAMENTO DIALITICO AI CENTRI EMODIALISI DELL'ULSS 8 BERICA;5679184;PROCEDURA APERTA;SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA;COOPERATIVA SOCIALE SERVIZI ASSOCIATI C.S.S.A. SOC. COOP. A R. L.
9941960CEC;2023-09-20;SERVIZI AD ALTA INTEGRAZIONE TRA TELEFONIA, CONNETTIVITÀ IP E CALL CENTER, CON PARTICOLARE RIGUARDO AL SERVIZIO SUEM 118.;5040563;PROCEDURA APERTA;FORNITORI DI SERVIZI INTERNET (ISP);
958496100B;2023-01-09;LAVORI DI MANUTENZIONE STARORDINARIA DI NATURA EDILE DEGLI IMMOBILI FACENTI PARTE A QUALUNQUE TITOLO DEL PATRIMONIO DELL'AZIENDA ULSS 8 BERICA E RELATIVE PERTINENZE , TRAMITE STIPULA DI ACCORDO QUADRO,;5000000;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;LASA F.LLI NATA S.R.L.
9919200EC6;2023-09-21;ACCORDO QUADRO, DA STIPULARSI CON UN SOLO OPERATORE ECONOMICO, INERENTE I LAVORI DI MANUTENZIONE STRAORDINARIA DI NATURA IMPIANTISTICA DEGLI IMMOBILI FACENTI PARTE A QUALUNQUE TITOLO DEL PATRIMONIO DELL'AZIENDA ULSS 8 BERICA E RELATIVE PERTINENZE CON ESCLUSIONE DEL PRESIDIO OSPEDALIERO SPOKE DI MONT;5000000;PROCEDURA APERTA;LAVORI DI INSTALLAZIONE DI CABLAGGI;
A0165CB368;2023-07-28;OSPEDALE DI COMUNITÀ DEL COMPLESSO SAN FELICE DI VICENZA' - CUP I31B21006980001- COD. AZIENDALE PROG. T850 - COD. REGIONALE INTERVENTO M6C1_1.3_VI 29;4820000;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;LIMES SRL
B525AA1134;2025-01-10;LOTTO 12 - ENZALUTAMIDE;4650446;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ASTELLAS PHARMA S.P.A.
