# Ospedali Trasparenti — contratti pubblici di AZIENDA ULSS N.3 SERENISSIMA (ANAC)
# 4260 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9913926E88;2023-06-28;SERVIZIO DI PRENOTAZIONE DI ATTIVITA' SANITARIA, SERVIZIO DI ACCETTAZIONE E SUPPORTO ALL'UTENZA, E SERVIZI STRUMENTALI;91217726;PROCEDURA APERTA;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;ANTHESYS SERVIZI SOCIETA' COOPERATIVA
B81551B12F;2025-09-02;RESTAURO SANITARIO E RIQUALIFICAZIONE DEL COMPLESSO OSPEDALIERO SS. GIOVANNI E PAOLO DI VENEZIA – RISTRUTTURAZIONE 1^ FASE PAD. MENDICANTI, PALAZZINA SERVIZI, BLOCCO EMERGENZE.;34194730;PROCEDURA APERTA;LAVORI DI RESTAURO;
B87148402E;2025-10-01;SERVIZIO DI STERILIZZAZIONE PER L'AZIENDA ULSS 3 SERENISSIMA;33497966;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
B87865D364;2025-10-03;RESTAURO SANITARIO DELL'OSPEDALE DI DOLO (VE). ADEGUAMENTO SISMICO E NORMATIVO – 3^ FASE. REALIZZAZIONE NUOVO BLOCCO OVEST.;23490293;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SANITARI;
B2E65BE451;2024-11-21;GESTIONE DEGLI INTERVENTI DI INTEGRAZIONE SOCIALE E SCOLASTICA PER UTENTI DISABILI FREQUENTANTI STRUTTURE SCOLASTICHE DEL DISTRETTO DI MIRANO-DOLO DELL'AZIENDA ULSS 3 SERENISSIMA. LA DURATA DEL CONTRATTO È DI 36 MESI;21262075;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE E SERVIZI AFFINI;CODESS SOCIALE SOCIETA' COOPERATIVA SOCIALE
A04A77BE73;2024-02-12;G.R. GAS, 1^ EDIZIONE - LOTTO 3A - DELIBERA 212/2024;20161397;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS MEDICI;SOL S.P.A.
B1E081D030;2024-05-30;SERVIZIO DI LOGISTICA CENTRALIZZATA PER L'AZIENDA ULSS 3 SERENISSIMA;20079072;PROCEDURA APERTA;SERVIZI DI MAGAZZINO;PLURIMA S.P.A.
A066BDDFE2;2025-01-22;SERVIZIO DI PULIZIA E SANIFICAZIONE A RIDOTTO IMPATTO AMBIENTALE AI SENSI DEL D.M. 18 OTTOBRE 2016 PER LE AZIENDA ULSS DEL SERVIZIO SANITARIO DELLA REGIONE VENETO.;18688886;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;
A0548C14BF;2024-03-26;ADESIONE CONVENZIONE CONSIP 'SERVIZIO DI PULIZIA, SANIFICAZIONE E ALTRI SERVIZI PER GLI ENTI DEL SERVIZIO SANITARIO NAZIONALE AI SENSI DELL'ART. 26 DELLA LEGGE N. 488/1999 E SS.MM.II. E DELL'ART. 58 LEGGE 388/2000' - LOTTO 12;17932820;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;
A063BD08C9;2024-10-28;LOTTO 3 - SERVIZIO DI RISTORAZIONE PER L'AZIENDA ULSS 3 SERENISSIMA;16818750;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISTRIBUZIONE PASTI;
