# Ospedali Trasparenti — contratti pubblici di AZIENDA ULSS N.6 EUGANEA (ANAC)
# 3749 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9656819323;2023-02-20;SERVIZIO DI INTEGRAZIONE SCOLASTICA E SOCIALE PER PERSONE CON DISABILITÀ DELL'AZIENDA ULSS 6 EUGANEA;72387567;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE;COOPERATIVA SOCIALE DI SOLIDARIETA' PROMOZIONE LAVORO
9746123321;2023-04-07;LOTTO N. 1 - AREA CHIMICA CLINICA, IMMUNOMETRIA E SIEROLOGIA;46166250;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;DIASORIN ITALIA S.P.A.
B526F5246C;2025-01-10;SERVIZIO DI PULIZIA E SANIFICAZIONE A RIDOTTO IMPATTO AMBIENTALE AI SENSI DEL D.M. 18.10.2016 PER LE AZIENDE ULSS DEL SERVIZIO SANITARIO DELLA REGIONE DEL VENETO (IVI COMPRESA AZIENDA ZERO), PER L'AZIENDA OSPEDALIERA DI PADOVA, PER L'ISTITUTO ONCOLOGICO VENETO, PER L'OSPEDALE RIABILITATIVO DI ALTA S;28034695;AFFIDAMENTO DIRETTO;SERVIZI DI PULIZIA;COOPSERVICE SOCIETA' COOPERATIVA PER AZIONI ABBREVIABILE IN COOPSERVICE S.COOP.P.A.
991565408A;2023-06-27;AFFIDAMENTO DI GESTIONE IN OUTSOURCING DEL MAGAZZINO UNICO DEI BENI SANITARI ED ECONOMALI DELL'AZIENDA ULSS 6 EUGANEA;20925000;PROCEDURA APERTA;SERVIZI DI MOVIMENTAZIONE E MAGAZZINAGGIO;
B741EA1258;2025-06-16;AFFIDAMENTO CONGIUNTO DELLA PROGETTAZIONE ESECUTIVA, DEL COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE E DELL'ESECUZIONE DEI LAVORI DI ADEGUAMENTO, RIASSETTO E POTENZIAMENTO DELL'OSPEDALE DI PIOVE DI SACCO PD;17322667;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;
98549355A1;2023-04-19;ABBATTIMENTO CAPI E CARICO CARCASSE DI AVICOLI;15197949;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISINFEZIONE E DISINFESTAZIONE;
B6DA9E83A7;2025-05-15;AFFIDAMENTO CONGIUNTO DELLA PROGETTAZIONE ESECUTIVA, DEL COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE E DELL'ESECUZIONE DEI LAVORI DI ADEGUAMENTO, RIASSETTO E POTENZIAMENTO DELL'OSPEDALE DI CAMPOSAMPIERO PD;14533761;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;
9682977566;2023-05-12;AUSILI PER INCONTINENTI GR - LOTTO 6 SERENITY;12751134;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;SERENITY S.P.A.
A0053BEC02;2023-04-19;TRASPORTO E SMALTIMENTO CARCASSE;12579694;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISINFEZIONE E DISINFESTAZIONE;
B2F3CBE0C4;2024-09-09;SERVIZIO DI ACCETTAZIONE E SEGRETERIA UU.OO. OSPEDALIERE E SERVIZI DIVERSI;12283475;PROCEDURA APERTA;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;CONSORZIO LEONARDO SERVIZI E LAVORI SOCIETA' COOPERATIVA CONSORTI LE STABILE
B6FE8AE512;2025-05-23;SHINGRIX SOSPENSIONE INIETTABILE, 1 FLACONE POLVERE 50 MCG + 1 FLACONE SOSPENSIONE 0,5 ML;11710050;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GLAXOSMITHKLINE S.P.A.
