# Ospedali Trasparenti — contratti pubblici di IRCCS - ISTITUTO ONCOLOGICO VENETO (ANAC)
# 1893 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A04B8F0665;2024-02-15;CENTRI AUTORIZZATI 20 ED - LOTTO 13;900000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;EUROMED PHARMA S.R.L.
B212F1F6F1;2024-06-12;ADESIONE ALLA CONVENZIONE CONSIP PER LA FORNITURA DI ENERGIA ELETTRICA E DEI SERVIZI CONNESSI PER LE PUBBLICHE AMMINISTRAZIONI, AI SENSI DELL'ARTICOLO 26, LEGGE 23 DICEMBRE 1999 N. 488 E S.M.I. E DELL'ARTICOLO 58, LEGGE 23 DICEMBRE 2000 N. 388 – EDIZIONE 21 - ID 2638 – LOTTO 5 - PER LA DURATA DI 12 ;241836140;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA E SERVIZI CONNESSI;EDISON ENERGIA S.P.A.
B8E983E294;2025-11-03;CRAV_CENTRI AUTORIZZATI 39 ED_LOTTO 18 ENHERTU;13965955;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
A01A8CF0FD;2023-11-15;CENTRI AUTORIZZATI 17 ED - LOTTO 15;13440000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
95617963AD;2023-02-22;IOV1220 - PROGETTAZIONE ESECUTIVA E DELL'ESECUZIONE DEI LAVORI PER LA REALIZZAZIONE DELLA NUOVA RADIOTERAPIA DELL'ISTITUTO ONCOLOGICO VENETO IRCCS DI PADOVA PRESSO L'OSPEDALE SAN GIACOMO DI CASTELFRANCO VENETO (TV);11865801;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;RADAR - S.R.L.
962259509A;2023-01-26;ACCELERATORE LINEARE INTEGRATO CON RISONANZA MAGNETICA AD ALTO CAMPO (1.5T) PER LA SEDE DI CASTELFRANCO VENETO;10000000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;DISPOSITIVI PER RADIOTERAPIA, MECCANOTERAPIA, ELETTROTERAPIA E TERAPIA FISICA;ELEKTA S.P.A.
B7CC31DF18;2025-07-28;LOTTO 2 PLUVICTO 1000 MBQ/ML - 36 ED FARMACI IN ESCLUSIVA;8355960;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NOVARTIS FARMA SPA
B7CC562E8D;2025-07-28;LOTTO 16 KISQALI - 36 ED FARMACI IN ESCLUSIVA;7165818;AFFIDAMENTO DIRETTO;SOLUZIONI MEDICHE;NOVARTIS FARMA SPA
A002419ABA;2023-08-07;FORNITURA FARMACO ENHERTU;6800000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;DAIICHI SANKYO ITALIA SOCIETA' PER AZIONI IN FORMA ABBREVIATA DAIICHI SANKYO ITALIA S.P.A.
B50642EED4;2024-12-27;FARMACI ESCLUSIVI CENTRI AUT. 31 ED_LOTTO 12;6500000;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ASTELLAS PHARMA S.P.A.
