# Ospedali Trasparenti — contratti pubblici di AZIENDA USL PIACENZA (ANAC)
# 1349 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B4073997B7;2024-10-28;SERVICE SISTEMI DIAGNOSTICI DI LABORATORIO, COSTITUITI DA ATTREZZATURE E DA RELATIVO MATERIALE DI CONSUMO - LOTTO 2 - AVEN;25146407;AFFIDAMENTO DIRETTO;;BECKMAN COULTER S.R.L.
9924920F11;2023-07-31;ADESIONE ALLA CONVENZIONE PER L'AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE COLLETTIVA A RIDOTTO IMPATTO AMBIENTALE PER ASP CITTÀ DI PIACENZA, AUSL E COMUNE DI PIACENZA.;23789405;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PREPARAZIONE PASTI;COOPERATIVA ITALIANA DI RISTORAZIONE S.C.
B2A73F466A;2024-08-01;SERVIZIO DI SUPPORTO ALL'ASSISTENZA;22248232;PROCEDURA APERTA;SERVIZI OSPEDALIERI;SERIANA 2000 SOC.COOP.VA SOCIALE
B6B703D8CC;2025-05-05;ADESIONE ALLA CONVENZIONE DELL'AGENZIA REGIONALE INTERCENT-ER SERVIZI DI GESTIONE, MANUTENZIONE E VERIFICA DI APPARECCHIATURE BIOMEDICHE LOTTO 1 SERVIZI DI GESTIONE INTEGRATA DELLE APPARECCHIATURE BIOMEDICHE PER L'AZIENDA USL DI PIACENZA E PER L'IRST DI MELDOLA (FC) COME DA PIANO DI FORNITURA TRASME;18110215;AFFIDAMENTO DIRETTO;;POLYGON S.P.A.
9700411863;2023-03-22;ACCORDO QUADRO CON UN SOLO OPERATORE ECONOMICO PER L'AFFIDAMENTO DI SERVIZI DI INGEGNERIA ED ARCHITETTURA E L'AFFIDAMENTO DI LAVORI PER LA RISTRUTTURAZIONE DELL'EX MUNICIPIO DI FIORENZUOLA D'ARDA DA ADIBIRE A CASA DELLA COMUNITA';6800000;PROCEDURA APERTA;LAVORI DI RISTRUTTURAZIONE;O.L.V. S.R.L.
A020484ECE;2023-10-19;FORNITURA ANNUALE DI ENERGIA ELETTRICA 17 LOTTO 1 PER AZIENDA USL DI PIACENZA - ANNO 2024;6150000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;NOVA AEG S.P.A
B42D979DA4;2024-11-07;RECEPIMENTO PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO TRIENNALE DI GESTIONE DEGLI AUSILI PROTESICI PER DISABILI DI CUI AGLI ELENCHI 1 - 2 E 3 DEL D.M. 332/99, AL DPCM 12 GENNAIO 2017 ED ALLEGATI, NONCHÈ EVENTUALI SUCCESSIVE MODIFICAZIONI, PER LE AZIENDE SANITARIE AFFERENTI ALL'AREA VASTA EMILI;5267508;AFFIDAMENTO DIRETTO;;LGR MEDICAL SERVICES SOCIETA' A RESPONSABILITA' LIMITATA
A03849A400;2023-12-15;ACCORDO QUADRO CON UN SOLO OPERATORE ECONOMICO PER L'AFFIDAMENTO DI LAVORI DI RISTRUTTURAZIONE, MANUTENZIONE ORDINARIA E STRAORDINARIA, ADEGUAMENTO NORMATIVO RELATIVI A STRUTTURE DELL'AZIENDA USL DI PIACENZA;4660000;PROCEDURA APERTA;ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI;GETEC ITALIA S.P.A.
B97EF520AF;2025-12-09;ORDINATIVO PER RACCOLTA, TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO DEI RIFIUTI SPECIALI PERICOLOSI E NON PERICOLOSI DERIVANTI DA ATTIVITÀ SANITARIA;4620566;AFFIDAMENTO DIRETTO;;ESSERE S.P.A.
9700260BC6;2023-03-10;PROCEDURA APERTA TELEMATICA PER LA FORNITURA, INSTALLAZIONE E POSA IN OPERA DI UN TOMOGRAFO PET/CT DA DESTINARE ALL'U.O. DI MEDICINA NUCLEARE DEL PRESIDIO UNICO DI PIACENZA;4025300;PROCEDURA APERTA;APPARECCHI PER TOMOGRAFIA;
B23A326AAA;2024-06-26;FORNITURA TOMOGRAFO PET/CT;3487820;PROCEDURA APERTA;APPARECCHI PER TOMOGRAFIA;GE MEDICAL SYSTEMS ITALIA S.P.A
B2E1EFC02D;2024-08-30;FORNITURA DI KIT PER LA DIAGNOSTICA MOLECOLARE DELLE MUTAZIONI PER LEUCEMIE;3402250;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
B2A2FB54E4;2024-07-30;FORNITURA DI REAGENTI, MATERIALE DI CONSUMO E SERVIZIO DI MANUTENZIONE DELLA STRUMENTAZIONE MISEQ;3228750;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
A045E63CD2;2023-09-29;APPALTO INTEGRATO RELATIVO ALLO SVILUPPO DEL PROGETTO ESECUTIVO E ALLA REALIZZAZIONE DEI LAVORI NECESSARI ALL'EDIFICAZIONE DELLA CASA DELLA COMUNITÀ DI FIORENZUOLA D'ARDA PER LA PARTE APC03. CONTRATTO SPECIFICO N. 2.;2795641;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;O.L.V. S.R.L.
B6D8C44DD3;2025-05-14;CONCESSIONE DI SERVIZI CONNESSI ALLA MOBILITA' ELETTRICA MEDIANTE GESTIONE DI INFRASTRUTTURE DI RICARICA SU SUOLO DI PROPRIETA' DELLA AUSL DI PIACENZA;2746476;AFFIDAMENTO DIRETTO;;EDISON NEXT S.P.A
97166533B7;2023-03-27;ADESIONE A CONVENZIONE INTERCENTER 'SERVIZI DI MANUTENZIONE, ASSISTENZA TECNICA E SERVIZI PROFESSIONALI DEGLI APPLICATIVI UTILIZZATI IN LICENZA D'USO DALLE AZIENDE SANITARIE SECONDA EDIZIONE' TRIENNIO 2023 - 2024 - 2025 FORNITORE DEDALUS;2536000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE;DEDALUS ITALIA S.P.A.
B34C7F5D13;2024-10-03;FORNITURE ENERGIA ELETTRICA UTENZE IN MT AUSL PIACENZA - ANNO 2025;2519478;AFFIDAMENTO DIRETTO;;ALPERIA SMART SERVICES S.R.L.
B34C506158;2024-10-03;FORNITURA DI ENERGIA ELETTRICA AUSL PIACENZA - UTENZE IN MEDIA TENSIONE - ANNO 2025;2519478;AFFIDAMENTO DIRETTO;;ALPERIA SMART SERVICES S.R.L.
B347157286;2024-10-02;FORNITURA ENERGIA ELETTRICA AUSL PIACENZA MT ANNO 2025;2519478;AFFIDAMENTO DIRETTO;;ALPERIA SMART SERVICES S.R.L.
B306C3A23B;2024-09-12;DEFIBRILLATORI INDOSSABILI LIFEVEST ZOLL;2453740;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
B891DF3D1F;2025-10-09;FORNITURA ENERGIA ELETTRICA ANNO 2026 MEDIA TENSIONE AUSL PIACENZA;2165000;AFFIDAMENTO DIRETTO;;NOVA AEG S.P.A
B241305C50;2024-06-26;ADESIONE AQ CONSIP 2365 SANITA' DIGITALE LOTTO N.3;1982951;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;ENGINEERING - INGEGNERIA INFORMATICA - S.P.A.
