# Ospedali Trasparenti — contratti pubblici di AZIENDA UNITA' SANITARIA LOCALE - IRCCS DI REGGIO EMILIA (ANAC)
# 6055 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B48F3717DC;2024-12-02;ACQUISTO A SOMMINISTRAZIONE DI CARBURANTE PER AUTOTRAZIONE TRAMITE FUEL CARD IN ADESIONE A CONVENZIONE CONSIP FUEL CARD 3;420000000;AFFIDAMENTO DIRETTO;BENZINA SENZA PIOMBO;ITALIANA PETROLI SPA
B534FFCA78;2025-01-17;REATTIVI PER LABORATORIO;87669722;PROCEDURA APERTA;REATTIVI PER LABORATORIO;
9906191F68;2023-06-27;FORNITURA A LOTTO UNICO DI DURATA PLURIENNALE DEI SERVIZI DI GESTIONE DELL'UNITÀ LOGISTICA CENTRALIZZATA E DI TRASPORTO MERCI PRESSO LE SEDI DELLE AZIENDE SANITARIE DELL'AREA VASTA EMILIA NORD. CAPOFILA AZIENDA USL DI REGGIO EMILIA;52098490;PROCEDURA APERTA;SERVIZI DI MOVIMENTAZIONE E MAGAZZINAGGIO;COOPSERVICE SOCIETA' COOPERATIVA PER AZIONI ABBREVIABILE IN COOPSERVICE S.COOP.P.A.
B46A9993C1;2024-11-22;VEICOLI A NOLEGGIO;43027200;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
9617893861;2023-01-24;MEDICINALI E RADIOFARMACI 2023-2025_DITTA MSD ITALIA - LOTTO 498;36962196;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B9B175B07B;2025-12-18;MEDICINALI 2026-2028_1 JANSSEN CILAG SPA - LOTTO 137;35552660;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
B97D667091;2025-12-09;CONVENZIONE MEDICINALI 2026-2028_1 - MSD ITALIA - LOTTO 118;33413440;AFFIDAMENTO DIRETTO;;MSD ITALIA S.R.L.
B46AFC7D40;2024-11-22;VEICOLI A NOLEGGIO;27137700;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
B46B0C922C;2024-11-22;VEICOLI A NOLEGGIO;25179750;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
B2AFBC7C58;2024-08-02;SISTEMI DI MONITORAGGIO IN CONTINUO, SISTEMI HCL E MICROINFUSORI PER LE AZIENDE SANITARIE DELLA REGIONE EMILIA-ROMAGNA - MOVI _ LOTTO 3;21893302;AFFIDAMENTO DIRETTO;;MOVI SPA
B61FC3BB11;2025-03-19;VACCINI VARI AD USO UMANO 2025-2028 - GLAXOSMITHKLINE SPA _ LOTTO 36;21712000;AFFIDAMENTO DIRETTO;;GLAXOSMITHKLINE S.P.A.
B65087F058;2025-04-02;VACCINI VARI AD USO UMANO 2025-2028 - GLAXOSMITHKLINE SPA _ LOTTO 36;21712000;AFFIDAMENTO DIRETTO;;GLAXOSMITHKLINE S.P.A.
B2AF19E9EF;2024-08-01;SISTEMI DI MONITORAGGIO IN CONTINUO, SISTEMI HCL E MICROINFUSORI PER LE AZIENDE SANITARIE DELLA REGIONE EMILIA-ROMAGNA - MEDTRONIC _ LOTTO 3;20069868;AFFIDAMENTO DIRETTO;;MEDTRONIC ITALIA S.P.A.
9616640E5D;2023-01-23;MEDICINALI E RADIOFARMACI 2023-2025_DITTA BRISTOL-MYERS SQUIBB - LOTTO 134;19988258;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B46AAE8833;2024-11-22;VEICOLI A NOLEGGIO;19655550;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
B46A7CD825;2024-11-22;VEICOLI A NOLEGGIO;19655550;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
B46ABF6703;2024-11-22;VEICOLI A NOLEGGIO;19655550;AFFIDAMENTO DIRETTO;AUTOVETTURE PER TRASPORTO PASSEGGERI;LEASYS ITALIA S.P.A. O BREVEMENTE LEASYS S.P.A.
9679961C82;2023-02-27;MEDICINALI E RADIOFARMACI 2023-2025_DITTA JANSSEN CILAG - LOTTO 502;16992343;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B9B4AFDC4E;2025-12-18;ADESIONE AUSL REGGIO EMILIA AD ACCORDO QUADRO INTERCENT-ER PER SERVICE DI OSSIGENOTERAPIA E VENTILOTERAPIA E DISPOSITIVI MEDICI PER GINNASTICA RESPIRATORIA - ED. 3 - LOTTO 6;16899764;AFFIDAMENTO DIRETTO;;MEDIGAS ITALIA S.R.L.
9870066C1E;2023-06-07;SERVIZIO TRASPORTI INTERNI LOTTO 1 AZIENDA USL REGGIO EMILIA;16823720;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI OSPEDALIERI E AFFINI;C.I.D.A.S. - COOPERATIVA INSERIMENTO DISABILI ASSISTENZA SOLIDARIETA'  - SOC. COOP. A R.L. SOCIETA'  COOPERATIVA SOCIALE - I.S. IN SIGLA C.I.D.A.S., CAMELOT, PERSONE IN MOVIMENTO, LE PAGINE
9617889515;2023-01-24;MEDICINALI E RADIOFARMACI 2023-2025_DITTA BRISTOL-MYERS SQUIBB - LOTTO 497;16617921;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
