# Ospedali Trasparenti — contratti pubblici di AZIENDA UNITA' SANITARIA LOCALE DI BOLOGNA (ANAC)
# 7950 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9996874167;2023-09-29;SERVICE SISTEMA AD ELEVATA AUTOMAZIONE CORELAB PER I LABORATORI ANALISI DELL'AREA VASTA EMILIA CENTRO (AVEC);98539000;PROCEDURA APERTA;REAGENTI E MEZZI DI CONTRASTO;DIASORIN ITALIA S.P.A.
B85F555261;2025-09-24;AUSL BOLOGNA - ADESIONE ALLA CONVENZIONE INTERCENT-ER SERVIZIO DI PULIZIA, DISINFEZIONE AMBIENTALE E ALTRI SERVIZI PER LE AZIENDE USL DI BOLOGNA – LOTTO 1 - DET. N. 1944/25 E SUCCESSIVA PARZIALE RETTIFICA DET. N. 2093/25 - FORNITORE PULINET SERVIZI S.R.L.;77749591;AFFIDAMENTO DIRETTO;;PULINET SERVIZI S.R.L.
98605764BB;2023-06-08;P.A. PER STIPULA ACCORDO QUADRO SERVIZIO SOMMINISTRAZIONE LAVORO TEMPORANEO PER AZIENDE SANITARIE AVEC E MONTECATONE R. I.;60000000;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;RANDSTAD ITALIA S.P.A.
B235A2F446;2024-06-25;INTERVENTI E RELATIVA DEGENZA A MEDIA COMPLESSITÀ CAPACITÀ RICETTIVA PL 35 12 SLOT DI SALA OPERATORI SETTIMANALI - DURATA TRIENNALE;48730000;PROCEDURA APERTA;SERVIZI DI CASE DI CURA;
B47C940494;2024-11-27;FORNITURA DI SISTEMI AD ELEVATA AUTOMAZIONE CORELAB PER IL LABORATORIO ANALISI DELL'AUSL DI BOLOGNA;48587939;AFFIDAMENTO DIRETTO;;BECKMAN COULTER S.R.L.
B10B9F7878;2024-04-02;REINGEGNERIZZAZIONE DEI PROCESSI E L'EROGAZIONE DI SERVIZI PER LA GESTIONE E TRACCIABILITÀ DEI DISPOSITIVI MEDICI MONOUSO E IMPIANTABILE DA REALIZZARSI PRESSO AOU BO E AUSL BO;47831136;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;DEENOVA SPA
B66E9BC1B9;2025-04-11;IMPORTO COMPLESSIVO 6 ANNI SERVICE SISTEMI DIAGNOSTICI PER ESAMI EMOCROMOCITOMETRICI E DETERMINAZIONE DELLA VES;46663180;PROCEDURA APERTA;REAGENTI E MEZZI DI CONTRASTO;
B6627316FB;2025-05-13;INTERVENTI IN DO E DS CAPACITÀ RICETTIVA PL 20;43188000;PROCEDURA APERTA;SERVIZI DI CASE DI CURA;
B662730628;2025-05-13;INTERVENTI IN DO E DS CAPACITÀ RICETTIVA PL 20;43188000;PROCEDURA APERTA;SERVIZI DI CASE DI CURA;
B681540CBF;2025-05-16;CENTRALE DI STERILIZZAZIONE AOU BO;38847858;PROCEDURA APERTA;SERVIZI OSPEDALIERI;
B235A2E373;2024-06-25;INTERVENTI E RELATIVA DEGENZA A BASSA COMPLESSITÀ CAPACITÀ RICETTIVA PL 24 16 SLOT DI SALA OPERATORI SETTIMANALI – DURATA TRIENNALE;37042500;PROCEDURA APERTA;SERVIZI DI CASE DI CURA;
B74BB80698;2025-06-18;APPROVAZIONE E STIPULA DEL CONTRATTO TRA L'AZIENDA USL DI BOLOGNA E LA SOCIETÀ LEPIDA S.C.P.A. PER L'AFFIDAMENTO IN HOUSE PROVIDING DEI SERVIZI DI RETI, DATACENTER & CLOUD, SOFTWARE & PIATTAFORME, WELFARE & INTEGRAZIONI DIGITALI, ACCESSO, CSIRT-RER. PERIODO 01/01/2025-31/12/2027;36000000;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;;Operatore individuale (persona fisica)
B75EB3FF57;2025-06-23;ORDINATIVO PER SERVIZI INTEGRATI DI LAVA-NOLEGGIO A RIDOTTO IMPATTO AMBIENTALE PER L'AZIENDA AUSL DI BOLOGNA;32834395;AFFIDAMENTO DIRETTO;;SERVIZI OSPEDALIERI S.P.A.
B8D5A0DE1F;2025-10-28;ORDINATIVO PER SERVICE DI OSSIGENOTERAPIA E VENTILOTERAPIA DOMICILIARE – EDIZIONE 3 - LOTTO 1 E 4 - LOTTO 4 VENTILOTERAPIA;32204847;AFFIDAMENTO DIRETTO;;NIPPON GASES PHARMA S.R.L.
B624B9CC7C;2025-05-08;TOTALE COMPLESSIVO 6 ANNI SERVICE SISTEMI PER COAGULAZIONE;29387540;PROCEDURA APERTA;REAGENTI E MEZZI DI CONTRASTO;
B4A2FC2034;2024-12-06;TOTALE COMPLESSIVO 6 ANNI SERVICE SISTEMI ESAMI EMOCROMOCITOMETRICI + VES;26759420;PROCEDURA RISTRETTA;REAGENTI E MEZZI DI CONTRASTO;
