# Ospedali Trasparenti — contratti pubblici di AZIENDA USL DI IMOLA (ANAC)
# 1957 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B13BA3C777;2024-04-15;LAVORI DA ESEGUIRSI SU IMMOBILI IN USO A QUALSIASI TITOLO PRESSO L'AZIENDA USL DI IMOLA;5500000;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SOCIALI E SANITARI, CREMATORI E GABINETTI PUBBLICI;F.LLI FRANCHINI  S.R.L.
B0BEF153CF;2024-03-11;MULTISERVIZIO DI MANUTENZIONE DEGLI IMMOBILI DELLE AZIENDE SANITARIE DELLA REGIONE EMILIA ROMAGNA 2- LOTTO 1 AZIENDA USL IMOLA;5437800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;REKEEP S.P.A.
B0BEDB6228;2024-03-11;ORDINATIVO PER MULTISERVIZIO DI MANUTENZIONE DEGLI IMMOBILI IN USO ALLE AZIENDE SANITARIE DELL'EMILIA ROMAGNA 2-LOTTO1;5437800;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;REKEEP S.P.A.
B9B76EBCCC;2025-12-19;ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 - NOVARTIS FARMA;5164217;AFFIDAMENTO DIRETTO;;NOVARTIS FARMA SPA
96095947D4;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - NOVARTIS FARMA SPA;4981081;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;NOVARTIS FARMA SPA
B9B87FA093;2025-12-19;ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 PFIZER SRL;3805109;AFFIDAMENTO DIRETTO;;PFIZER S.R.L.
B9B14A42F2;2025-12-18;ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 - CSL BEHRING;3728055;AFFIDAMENTO DIRETTO;;CSL BEHRING SPA
B9B9D59362;2025-12-19;ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 - SWEDISH ORPHAN BIOVITRUM S.R.L.;3671065;AFFIDAMENTO DIRETTO;;SWEDISH ORPHAN BIOVITRUM S.R.L.
B2FF59BE93;2024-09-11;ORDINATIVO PER SISTEMI DI MONITORAGGIO IN CONTINUO, SISTEMI HCL E MICROINFUSORI PER LE AZIENDE SANITARIE DELLA REGIONE EMILIA-ROMAGNA - LOTTI 1 - 2;3269531;AFFIDAMENTO DIRETTO;;THERAS LIFETECH S.R.L.
B65C726526;2025-04-04;ORDINATIVO PER MATERIALI E ACCESSORI PER ROBOT DA VINCI - AB MEDICA;3200000;AFFIDAMENTO DIRETTO;;AB MEDICA S.P.A.
B6B805C682;2025-05-05;ORDINATIVO PER MEDICINALI 2025-2027- 3 - PFIZER;3098083;AFFIDAMENTO DIRETTO;;PFIZER S.R.L.
9610418FCE;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - VERTEX PHARMACEUTICALS ITALY SRL;2849634;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B9A536CFF2;2025-12-16;ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 - BLUEPRINT MEDICINES;2790194;AFFIDAMENTO DIRETTO;;Operatore individuale (persona fisica)
B9B455E8CF;2025-12-18;ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 JANSSEN CILAG SPA;2624118;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
96103041BF;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - TAKEDA SPA;2605403;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;TAKEDA ITALIA S.P.A.
9610101A37;2023-03-03;ADES CONV INTERCENT-ER MEDICINALI E RADIOFARMACI 2023-2025 JANSSEN CILAG S.P.A.;2572944;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSEN CILAG S.P.A.
961042124C;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 DITTA ELI LILY;2565688;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ELI LILLY ITALIA - S.P.A.
9609851BE8;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - PFIZER SRL;2513921;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;PFIZER S.R.L.
A0549FFB29;2024-03-27;ADESIONE AD ACCORDO QUADRO CON UN UNICO OPERATORE ECONOMICO PER LA SOMMINISTRAZIONE DI LAVORO TEMPORANEO IN AVEC;2500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;RANDSTAD ITALIA S.P.A.
B7B8BCB63C;2025-07-22;SERVICE DI SISTEMI PER LA CITOLOGIA IN STRATO SOTTILE + CITOINCLUSO;2467500;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
9610048E79;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 DITTA ASTRA ZENECA;2451678;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ASTRAZENECA S.P.A.
9610478156;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI BRISTOL MYERS SQUIBB SPA;2428303;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BRISTOL-MYERS SQUIBB S.R.L.
B9D4A37CF2;2025-12-30;ORDINATIVO PER MEDICINALI 2026-2028 - 2 - CHIESI ITALIA;2277863;AFFIDAMENTO DIRETTO;;CHIESI ITALIA S.P.A.
971114418C;2023-03-23;ADESIONE ACCORDO QUADRO STIPULATO DA INVITALIA PER SERVIZI DI INGEGNERIA E ARCHITETTURA PER EDIFICI SOTTOPOSTI A TUTELA PER L'INTERVENTO PNRR: CASA DELLA COMUNITA' DI IMOLA - II STRALCIO - MANUTENZIONE STAORDINARIA;2265115;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;ALFREDO CECCHINI SOCIETA A RESPONSABILITA LIMITATA
9957082BFE;2023-09-11;ADESIONE CONVENZIONE INTERCENT-ER MEDICINALI E RADIOFARMACI 2023-2025 2 - DITTA VERTEX PHARMACEUTICALS S.R.L.;2148000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B80C373E23;2025-08-27;ACCORDO QUADRO CON PIU OPERATORI ECONOMICI PER LAVORI DA ESEGUIRSI SU IMMOBILI IN USO A QUALSIASI TITOLO PRESSO L'AZIENDA USL DI IMOLA-RICHIESTA CIG DERIVATO PER:INTERVENTO DI NUOVA COSTRUZIONE.OSPEDALE DI IMOLA VIA MONTERICCO 4, REALIZZAZIONE DELLA NUOVA CAMERA MORTUARIA DI IMOLA;2144456;AFFIDAMENTO DIRETTO;;CONSORZIO EDILI ARTIGIANI RAVENNA - C.E.A.R. - SOCIETA' COOPERATIVA CONSORTILE O IN FORMA ABBREVIATA CEAR SOC.COOP.CONS
B9B5C0D0E8;2025-12-19;ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 KEDRION SPA;2133628;AFFIDAMENTO DIRETTO;;KEDRION S.P.A.
B837841699;2025-09-11;AUSLIMOLA – ESITO DELLA PROCEDURA APERTA NR. PI PER 526065-24 LA FORNITURA IN NOLEGGIO DI APPARECCHIATURE E SISTEMI PER VIDEOENDOSCOPIA PER L'UO DI GASTROENTEREOLOGIA DELL'OSPEDALE SANTA MARIA DELLA SCALETTA - LOTTO UNICO DET SAAV N.1738 DEL 25/07/2025;2098389;AFFIDAMENTO DIRETTO;;OLYMPUS ITALIA S.R.L.
B6102B83C2;2025-03-14;ORDINATIVO PER VACCINI VARI AD USO UMANO 2025-2028 - GLAXOSMITHKLINE SPA;2070977;AFFIDAMENTO DIRETTO;;GLAXOSMITHKLINE S.P.A.
9610263FE5;2023-03-03;ADESIONE CONVENZIONE INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 DITTA BAYER SPA;2040332;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;BAYER S.P.A.
B9BD25089E;2025-12-22;ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 - TAKEDA ITALIA SPA;2003782;AFFIDAMENTO DIRETTO;;TAKEDA ITALIA S.P.A.
96821055CD;2023-03-20;PN MATERIALE DI CONSUMO ROBOT DA VINCI XI IS4000 INTUITIVE 27.02.23-26.02.25 DITTA PACINOTTI;2000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;STUDIO PACINOTTI S.R.L.
B4FBDC8DD9;2024-12-23;ORDINATIVO PER MEDICINALI 2025-2027- 2 - NOVARTIS FARMA;1992264;AFFIDAMENTO DIRETTO;;NOVARTIS FARMA SPA
B9A51D2D9B;2025-12-16;ORDINATIVO PER CONVENZIONE MEDICINALI 2026-2028_1 - BAYER;1872690;AFFIDAMENTO DIRETTO;;BAYER S.P.A.
B9D585D9EB;2025-12-30;ORDINATIVO PER MEDICINALI 2026-2028 - 2 - DAIICHI SANKYO ITALIA;1866602;AFFIDAMENTO DIRETTO;;DAIICHI SANKYO ITALIA SOCIETA' PER AZIONI IN FORMA ABBREVIATA DAIICHI SANKYO ITALIA S.P.A.
B6C326FA16;2025-05-07;ORDINATIVO PER MEDICINALI 2025-2027- 3 - ELI LILLY ITALIA;1779244;AFFIDAMENTO DIRETTO;;ELI LILLY ITALIA - S.P.A.
96100754C4;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - ROCHE SPA;1752166;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ROCHE SOCIETA' PER AZIONI
B5ADB0333A;2025-02-18;AVEC - CONTRATTO PONTE FORNITURA IN SERVICE OSSIGENOTERAPIA E VENTILOTERAPIA RTI VIVISOL E MEDICAIR 17.02.26;1700000;AFFIDAMENTO DIRETTO;;VIVISOL SRL
96101556C8;2023-03-03;ADES CONV INTERCENTER MEDICINALI E RADIOFARMACI 2023-2025 - SANOFI SRL;1694716;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;SANOFI S.R.L.
B6DD3061FC;2025-05-14;ORDINATIVO PER MEDICINALI 2025-2027- 3 - VIIV HEALTHCARE;1689348;AFFIDAMENTO DIRETTO;;VIIV HEALTHCARE S.R.L.
9609655A2A;2023-03-03;ADES CONV INTERCENT-ER MEDICINALI E RADIOFARMACI 2023-2025 GILEAD SCIENCES S.R.L.;1681866;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
A03CA2577F;2024-01-25;SERVIZIO DI ACCOMPAGNAMENTO E TRASPORTO PAZIENTI PRESSO OSPEDALE SANTA MARIA DELLA SCALETTA DI IMOLA;1645000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI TRASPORTO NON REGOLARE DI PASSEGGERI;CONSORZIO STABILE CMF
B350A3E05A;2024-10-04;ORDINATIVO PER MEDICINALI 2025-2027- 1 - GILEAD SCIENCES;1618670;AFFIDAMENTO DIRETTO;;GILEAD SCIENCES S.R.L.
97110904FB;2023-03-23;ADESIONE ACCORDO QUADRO STIPULATO DA INVITALIA PER SERVIZI DI INGEGNERIA E ARCHITETTURA PER EDIFICI SOTTOPOSTI A TUTELA PER L'INTERVENTO PNRR: OSPEDALE DI COMUNITA' DI CASTEL SAN PIETRO TERME - MANUTENZIONE STRAORDINARIA;1610162;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CONSORZIO INNOVA SOCIETA' COOPERATIVA
A045E4A832;2024-03-04;ADESIONE CONVENZIONE INTERCENTER MEDICINALI 2023-2025 BLUEPRINT MEDICINES (NETHERLANDS);1605000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;Operatore individuale (persona fisica)
