# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERO - UNIVERSITARIA PISANA (ANAC)
# 1691 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A049151421;2024-01-29;DM - DET.1529/23 AGGIUDICAZIONE DM X ROBOTICA LOTTO 1 DITTA AB MEDICA;20054184;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SISTEMI DI LOCALIZZAZIONE E CONTROLLO IN CHIRURGIA;
B8B501936C;2025-10-20;PROROGA TECNICA SERVIZIO PULIZIE,SANIFICAZIONE AOUP -DETERMINAZIONE ESTAR 1077 DEL 28/08/2025;8667213;AFFIDAMENTO DIRETTO;;DUSSMANN SERVICE S.R.L.
B97334D811;2025-12-05;ADESIONE ALL'ACCORDO QUADRO PER L'AFFIDAMENTO DELLA FORNITURA DI ENERGIA ELETTRICA PER L'ANNO 2026 - LOTTO 1 ALTRI USI IN ALTA E MEDIA TENSIONE;8626516;AFFIDAMENTO DIRETTO;ELETTRICITÀ, RISCALDAMENTO, ENERGIA SOLARE E NUCLEARE;NOVA AEG S.P.A
A02C13DBF5;2023-11-24;ENERGIA ELETTRICA 2024 LOTTO 1 ALTRI USI IN ALTA E MEDIA TENSIONE;8400340;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;EDISON ENERGIA S.P.A.
A063242649;2024-10-14;PROROGA SERVIZIO PULIZIE LOTTO 1 PERIODO 14.09.2024 13.09.2025 DET. ESTAR 984 DEL 9.9.24;8310000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
A0638656B7;2024-10-22;SERVIZIO SMALTIMENTO RIFIUTI SANITARI PERIODO 15/09/2024-14/09/2028 DET AGGIUDICAZIONE 627/2014;8000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;GEECO - GESTIONE ECOLOGIA S.R.L.
B4B14A30AD;2024-12-09;ADESIONE ALL'ACCORDO QUADRO CU UN UNICO OPERATORE PER LA FORNITURA DI ENERGIA ELETTRICA ANNO2025 LOTTO 1 ALTRI USI IN ALTA E MEDIA TENSIONE;7673839;AFFIDAMENTO DIRETTO;ELETTRICITÀ, RISCALDAMENTO, ENERGIA SOLARE E NUCLEARE;EDISON ENERGIA S.P.A.
B4718F37A5;2024-11-26;AFFIDAMENTO DIRETTO IN HOUSE A CONSORZIO METIS;7418229;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;SERVIZI TECNICI;CONSORZIO METIS
B92481435C;2025-11-17;ADESIONE GARA ESTAR N. 547 DEL 28/04/2025 - PROROGA CONENZIONE DI CUI ALLA DETERMINA ESTAR 1850/2019 - NULLA OSTA 11/11/2025 DEC;7155301;AFFIDAMENTO DIRETTO;;AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.
A025C0DB4D;2024-01-17;DM - DET.1328/23 PROSECUZIONE DET.305/16 ROBOT DA VINCI DITTA AB MEDICA;5163934;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;AB MEDICA HOLDING S.R.L.
