# Ospedali Trasparenti — contratti pubblici di AZIENDA ASL DI VITERBO (ANAC)
# 3908 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B2F5991A19;2024-09-06;SERVIZI DI SVILUPPO DELL'INTEROPERABILITA' DEI DATI SANITARI E SVILUPPO DI INTERFACCE APPLICATIVE, SISTEMI DI MESSAGE BROKER E SISTEMI DI ORCHESTRAZIONE – CUP G89J22001460001 IN ADESIONE AD ACCORDO QUADRO CONSIP SERVIZI APPLICATIVI IN AMBITO SANITARIO - SISTEMI INFORMATIVI SANITARI E SERVIZI AL CITT;71489706;AFFIDAMENTO DIRETTO;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;DEDALUS ITALIA S.P.A.
B5AD368C80;2025-02-19;FORNITURA DEI GAS MEDICINALI E TECNICI, COMPRESO IL SERVIZIO DI GESTIONE, DISTRIBUZIONE E MANUTENZIONE DELLE CENTRALI DI STOCCAGGIO ED EROGAZIONE E DEGLI IMPIANTI DI DISTRIBUZIONE;28193453;PROCEDURA APERTA;GAS MEDICI;
B27098AF8A;2024-07-15;LOTTO 2 – STRUTTURE TERRITORIALI;18750000;PROCEDURA APERTA;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;LA TORRE COSTRUZIONI - S.R.L.
B270989EB7;2024-07-15;LOTTO 1 – PRESIDI OSPEDALIERI;18750000;PROCEDURA APERTA;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;ICR IMPIANTI E COSTRUZIONI SRL
99207806A4;2023-06-28;PROCEDURA APERTA TELEMATICA IN AMBITO COMUNITARIO, AI SENSI DEGLI ARTT. 58 E 60 DEL D.LGS. 50/2016, VOLTA ALL'AFFIDAMENTO DEL SERVICE DI STERILIZZAZIONE CON FORNITURA DI STRUMENTARIO CHIRURGICO ED ATTIVITÀ CONNESSE PER LA ASL VITERBO.;14515718;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;SERVIZI ITALIA S.P.A.
B5A1D232A3;2025-02-14;SERVIZI ASSICURATIVI;9275000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;
B9B22203A0;2025-12-19;SET/KIT E SFUSO STERILE (CAMICI, TELI E ALTRO);8661782;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B51AAEF42E;2025-01-09;COPERTURA ASSICURATIVA RCT/O;8575000;PROCEDURA APERTA;SERVIZI ASSICURATIVI;
B8D4916E2A;2025-10-28;FARMACI 3 TRANCHE 2025 DRL G 9455/2025 DARZALEX 1800 MG FLACONCINO DA 15 ML;8241753;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
B9B221F2CD;2025-12-19;PPAK;8140969;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A03A38ABC8;2023-12-06;SERVIZIO OSSIGENOTERAPIA DOMICILIARE RECEPIMENTO GARA REGIONALE;7988004;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;OSSIGENO;Operatore individuale (persona fisica)
991176680D;2023-06-29;AFFIDAMENTO DELLE ATTIVITÀ LOGISTICHE INERENTI IL FLUSSO FISICO ED INFORMATIVO NECESSARIO PER EVADERE LE RICHIESTE D'APPROVVIGIONAMENTO INVIATE DAI REPARTI OSPEDALIERI O DA ALTRE UNITÀ AZIENDALI;6606500;PROCEDURA APERTA;SERVIZI DI MOVIMENTAZIONE E MAGAZZINAGGIO;DEMAX DEPOSITI E TRASPORTI SPA
B671D9394A;2025-04-11;SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA;6390000;PROCEDURA APERTA;SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA;
B75483326B;2025-06-18;ORDINATIVO PER FORNITURA MICROINFUSORI PER INSULINA E SISTEMI DI MONITORAGGIO SEC. EDIZ. - MEDTRONIC LOTTI 2,5;6125007;AFFIDAMENTO DIRETTO;;MEDTRONIC ITALIA S.P.A.
A00892F5EF;2023-08-30;SERVIZIO SMALTIMENTO RIFIUTI SANITARI;5940759;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;
A01E1404AD;2023-09-26;PRESA D'ATTO DRL G12653/2023 - LOTTO 1 ENHERTU;5400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B93993AC9D;2025-11-25;ADESIONE DELLA ASL DI VITERBO ALLA GARA A PROCEDURA APERTA TELEMATICA AGGREGATA IN AMBITO COMUNITARIO, VALUTATA SECONDO IL CRITERIO DELL'OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA, AI SENSI DEGLI ARTT. 25-71-108 DEL D.LGS. 36/2023 S.M.I., IN FAVORE DELL'OPERATORE ECONOMICO R.T.I. SAPIO LIFE S.R.L. - NIP;5167100;AFFIDAMENTO DIRETTO;;SAPIO LIFE SRL
A04E3D7DD8;2024-02-05;ADESIONE ASL DI VITERBO ALLA CONVENZIONE SOTTOSCRITTA TRA PSN S.P.A. E DIPARTIMENTO PER LA TRASFORMAZIONE DIGITALE DELLA PCM PER LA MIGRAZIONE AL PSN;5139735;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROVIDER;
A03B201B98;2023-12-22;LAVORI DI MIGLIORAMENTO SISMICO P.O. CIVITA CASTELLANA CORPI A-E-C;4961662;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
9583516795;2023-03-01;FORNITURA AUSILI PER INCONTINENZA AD ASSORBENZA CONSEGNA DOMICILIARE;4612746;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;
B9B2221473;2025-12-19;SFUSO NON STERILE;4509681;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9772599BCE;2023-04-14;MATERIALE CONSUMO MICROINFUSORI MEDTRONIC;4368000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;DISPOSITIVI E PRODOTTI MEDICI VARI;
