# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERA SAN CAMILLO - FORLANINI (ANAC)
# 7263 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B721148A80;2025-06-05;LOTTO 6;31005000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9644000091;2023-02-14;RECEPIMENTO DELLA DETERMINAZIONE DELLA REGIONE LAZIO N. G14199 DEL 18/11/2021, CON LA QUALE È STATA DISPOSTA L'AGGIUDICAZIONE, A SEGUITO DI SCORRIMENTO DELLA GRADUATORIA, QUINQUENNALE DEFINITIVA DEL LOTTO 4 - SERVIZIO DI PULIZIA E SANIFICAZIONE PER L'AZIENDA OSPEDALIERA SAN CAMILLO - FORLANINI), DEL;28904254;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;EURO&PROMOS FM SOCIETA' PER AZIONI IN FORMA ABBREVIATA EURO&PROMOS FM S.P.A.
987308684E;2023-07-01;RECEPIMENTO DELLA DETERMINAZIONE DELLA REGIONE LAZIO N. G05139 DEL 17/04/2023, CON LA QUALE È STATA DISPOSTA L'AGGIUDICAZIONE DEFINITIVA DELLA GARA COMUNITARIA CENTRALIZZATA REGIONALE A PROCEDURA APERTA, , FINALIZZATA ALLA STIPULA DI UNA CONVENZIONE PER L'AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE OSP;23506972;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISTRIBUZIONE PASTI;SERENISSIMA RISTORAZIONE S.P.A.
B7211479AD;2025-06-05;LOTTO 5;17256800;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B129C55857;2024-04-10;Servizi di trasporto terrestre;16320000;PROCEDURA APERTA;Servizi di trasporto terrestre;
B80F004527;2025-08-28;ADESIONE ALLE CONVEZIONI DELL'APPALTO SPECIFICO PER L'ACQUISIZIONE DI FARMACI OCCORRENTI ALLE AZIENDE SANITARIE DELLA REGIONE LAZIO - FARMACI 2025 – III TRANCHE, OCCORRENTI ALLE NECESSITÀ DELL'AZIENDA OSPEDALIERA SAN CAMILLO FORLANINI – LOTTO 17;15126041;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
B721144734;2025-06-05;LOTTO 2;12783600;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B9D1764BEE;2025-12-29;ADESIONE ALLE CONVEZIONI DELL'APPALTO SPECIFICO PER L'ACQUISIZIONE DI FARMACI OCCORRENTI ALLE AZIENDE SANITARIE DELLA REGIONE LAZIO - FARMACI 2025 – IX TRANCHE, OCCORRENTI ALLE NECESSITÀ DELL'AZIENDA OSPEDALIERA SAN CAMILLO FORLANINI – LOTTO 73- MSD ITALIA SRL CON SOCIO UNICO;12028838;AFFIDAMENTO DIRETTO;;MSD ITALIA S.R.L.
B721145807;2025-06-05;LOTTO 3;11660000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B721143661;2025-06-05;LOTTO 1;11345710;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
