# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERO-UNIVERSITARIA POLICLINICO UMBERTO I (ANAC)
# 4400 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B68A4BE69C;2025-04-18;REALIZZAZIONE STRUTTURA SANITARIA POLISPECIALISTICA COMPRENSIVA DELLA GESTIONE DELLA STRUTTURA, DELLA MANUTENZIONE DELLE APPARECCHIATURE MESSE A DISPOSIZIONE;78795520;ND P1_19;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI APPARECCHI PER RAGGI X;
B26DBAF838;2024-07-11;ORDINATIVO DI FORNITURA - CONSIP EE ED.21 - LOTTO 10;36913806;AFFIDAMENTO DIRETTO;ELETTRICITÀ;HERA COMM S.P.A.
95952960C1;2023-01-11;ADESIONE ACQUISTO FARMACI V TRANCHE 2022 LOTTO 102 FARMACO PEMBROLIZUMAB KEYTRUDA DITTA MSD ITALIA SRL CON SOCIO UNICO DETERMINA REGIONALE G12930 DEL 2022;29508480;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
9594345FF2;2023-01-10;ADESIONE ACQUISTO FARMACI V TRANCHE 2022 LOTTO 71 FARMACO IBRUTINIB IMBRUVICA 140 MG 30 CPR DITTA JANSSEN-CILAG SPA DETERMINA REGIONALE G12930 DEL 2022;20433031;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSEN CILAG S.P.A.
B821219744;2025-09-04;ORDINATIVO PER FARMACI 2025_3 TRANCHE_ LOTTO 17_JANSSEN-CILAG SPA;20361978;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
B653199B5C;2025-04-02;ADESIONE CONVENZIONE CONSIP EE22 ENERGIA ELETTRICA 01/11/2025 AL 31/10/2027;20000000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
B4450927FC;2024-11-14;ORDINATIVO PER FARMACI 2024_ SETTIMA TRANCHE LOTTI 214_JANSSEN-CILAG SPA;18853800;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
B702A0B594;2025-05-27;SERVIZIO DI GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICINALI E TECNICI, COMPRESO IL SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI FORNITI A NOLO PRESSO L'AZIENDA OSPEDALIERA UNIVERSITARIA POLICLINICO UMBERTO 1;14250352;PROCEDURA APERTA;GAS MEDICI;
B12545C38E;2024-04-09;SERVIZIO DI GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICINALI E TECNICI, COMPRESO IL SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI FORNITI A NOLO PRESSO L'AZIENDA OSPEDALIERA UNIVERSITARIA POLICLINICO UMBERTO 1;14031769;PROCEDURA APERTA;GAS MEDICI;
A044223CC9;2023-12-27;AFFIDAMENTO DEL SERVIZIO DI GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICINALI E TECNICI, COMPRESO IL SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI FORNITI A NOLO PRESSO L'AZIENDA OSPEDALIERA UNIVERSITARIA POLICLINICO UMBERTO I, PER UN PERIODO DI TRE ANNI EVENTUALMENTE RINNOVABILE PER ULTER;13343624;PROCEDURA APERTA;GAS MEDICI;
B821307BAA;2025-09-04;ORDINATIVO PER FARMACI 2025_3 TRANCHE_ LOTTO 32_ALEXION PHARMA ITALY S.R.L.;12017835;AFFIDAMENTO DIRETTO;;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
B8C0DD022E;2025-10-24;SERVIZIO DI SOMMINISTRAZIONE DI LAVORO A TEMPO DETERMINATO;11841200;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;
B5524A0680;2025-01-23;ORDINATIVO PER FARMACI 2024 IX TRANCHE_ LOTTO 60_ AOP ORPHAN PHARMACEUTICALS ITALY S.R.L.;9678600;AFFIDAMENTO DIRETTO;;AOP ORPHAN PHARMACEUTICALS ITALY SRL
A02F5CBA8D;2023-12-19;ADESIONE ESITI GARA REGIONALE AFFIDAMENTO SERVIZIO DI TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO DEI RIFIUTI SPECIALI PERICOLOSI E NON PERICOLOSI DERIVANTI DALLE ATTIVITÀ SANITARIE DELLE AZIENDE SANITARIE DELLA REGIONE LAZIO. AFFIDAMENTO PER QUATTRO ANNI DEL SERVIZIO AL RTI ECO ERIDANIA SPA;9197855;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI;ECO ERIDANIA SOCIETA' PER AZIONI
95942723B8;2023-01-10;ADESIONE ACQUISTO FARMACI V TRANCHE 2022 LOTTO 50 FARMACO EMTRICITABINA/TENOFOVIR ALAFENAMIDE FUMARATOBIKTARVY*50/200/25MG 30CPR DITTA GILEAD SCIENCES SRL DETERMINA REGIONALE G12930 DEL 2022;8819768;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
B2CD45319C;2024-08-20;ORDINATIVO PER FARMACI 2024 3 TRANCHE_LOTTO 232_BRISTOL-MYERS SQUIBB S.R.L.;8683500;AFFIDAMENTO DIRETTO;;BRISTOL-MYERS SQUIBB S.R.L.
B1C9C02807;2024-05-22;LOTTO 1 FARMACO EVKEEZA FLACONE 150 MG. II TRANCHE FARMACI 2024;8314831;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;Operatore individuale (persona fisica)
B8CCFD7FF8;2025-10-24;SERVIZI DI GESTIONE E MANUTENZIONE DEI SISTEMI AZIENDALI, H24, 7X7;8271611;AFFIDAMENTO DIRETTO;SERVIZI DI ASSISTENZA INFORMATICA E DI SUPPORTO;VODAFONE ITALIA S.P.A.
97902566D4;2023-08-09;FORNITURA IN SERVICE MACCHINE/REATTIVI PER L'AREA DI CHIMICA CLINICA E IMMUNOMETRIA;7861150;PROCEDURA APERTA;REATTIVI PER LABORATORIO;
B500FFA245;2024-12-24;ORDINATIVO PER FARMACI 2024 SETTIMA TRANCHE_ DAIICHI SANKYO ITALIA S.P.A. LOTTO 317;7758864;AFFIDAMENTO DIRETTO;;DAIICHI SANKYO ITALIA SOCIETA' PER AZIONI IN FORMA ABBREVIATA DAIICHI SANKYO ITALIA S.P.A.
B6DB3F2C79;2025-05-14;ORDINATIVO PER FARMACI 2024_14 TRANCHE_ LOTTO 10_ROCHE;7508612;AFFIDAMENTO DIRETTO;;ROCHE SOCIETA' PER AZIONI
B2C680E8CF;2024-08-13;ORDINATIVO PER FARMACI 2024 3 TRANCHE_LOTTO 222_VIIV HEALTHCARE SRL;6517968;AFFIDAMENTO DIRETTO;;VIIV HEALTHCARE S.R.L.
B2A7B3A6FC;2024-07-31;IMMUNOGLOBULINA UMANA USO ENDOVENOSO;6347200;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GRIFOLS ITALIA S.P.A.
9831568293;2023-06-08;ADESIONE ACCORDO QUADRO CONSIP PER SERVIZI DI GESTIONE E MANUTENZIONE SISTEMI IP E POSTAZIONI DI LAVORO PER LE PUBBLICHE AMMINISTRAZIONI;6000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MANUTENZIONE E RIPARAZIONE DI ATTREZZATURA INFORMATICA;
B79F39DF0C;2025-07-15;DISPOSITIVI MONOUSO DEDICATI A PIATTAFORME A RADIOFREQUENZA PER CHIRURGIA OPEN E LAPAROSCOPICA CON CONTROLLO DELL'IMPEDENZA TISSUTALE E CON POSSIBILITA' DI ATTIVAZIONE A PEDALE;5864491;PROCEDURA APERTA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;
B2CDA8C431;2024-08-20;ORDINATIVO PER FARMACI 2024 3 TRANCHE_LOTTO 414_ASTRAZENECA SPA;5657400;AFFIDAMENTO DIRETTO;;ASTRAZENECA S.P.A.
B772A74A59;2025-06-27;REALIZZAZIONE DEI LAVORI DI MANUTENZIONE ORDINARIA E STRAORDINARIA EDILE E ACCESSORI DI GESTIONE SUGLI IMMOBILI;5537000;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;ICR IMPIANTI E COSTRUZIONI SRL
B2CF02DD75;2024-08-21;ORDINATIVO PER FARMACI 2024 3 TRANCHE_LOTTO 231_TAKEDA ITALIA SPA;5109289;AFFIDAMENTO DIRETTO;;TAKEDA ITALIA S.P.A.
A04FD535A1;2024-02-22;ORDINATIVO DI FORNITURA - RECEPIMENTO FARMACI 2022_VIII TRANCHE LOTTO 66 - ENZALUTAMIDE CAPSULE 40MG - ASTELLAS PHARMA SPA;4999516;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ASTELLAS PHARMA S.P.A.
