# Ospedali Trasparenti — contratti pubblici di AZIENDA REGIONALE EMERGENZA SANITARIA - ARES 118 (ANAC)
# 973 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A041C6FFB3;2023-12-21;ADESIONE CONVENZIONE PSN PER LA MIGRAZIONE VERSO IL CLOUD GESTITO DA PSN S.P.A.;48475197;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROVIDER;
97738124D0;2023-04-24;SERVIZIO DI SOCCORSO SANITARIO EXTRAOSPEDALIERO LOTTO 2 LATINA;33921939;PROCEDURA APERTA;SERVIZI DI AMBULANZA;SAN PAOLO DELLA CROCE SOCIETA' COOPERATIVA SOCIALE ETS
9773838A43;2023-04-24;SERVIZIO DI SOCCORSO SANITARIO EXTRAOSPEDALIERO LOTTO 5 ROMA;21387414;PROCEDURA APERTA;SERVIZI DI AMBULANZA;CROCE BLU - SOCIETA' COOPERATIVA SOCIALE A R.L.
9773825F87;2023-04-24;SERVIZIO DI SOCCORSO SANITARIO EXTRAOSPEDALIERO LOTTO 4 VITERBO;15669286;PROCEDURA APERTA;SERVIZI DI AMBULANZA;CROCE BIANCA S.R.L.
A029DAA0A3;2023-12-15;GARA TELEMATICA A PROCEDURA APERTA PER LA STIPULA DI UN ACCORDO QUADRO SOPRA SOGLIA COMUNITARIA CON CRITERIO DELL'OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA PER LA FORNITURA IN NOLEGGIO DI 80 AMBULANZE SENZA CONDUCENTE PER LA SOSTITUZIONE DEI MEZZI FERMI DI ARES 118. DURATA 24 MESI RINNOVABILE PER EVENT;14784000;PROCEDURA APERTA;AMBULANZE;OLMEDO SPECIAL VEHICLES  S.P.A.
977381681C;2023-04-24;SERVIZIO DI SOCCORSO SANITARIO EXTRAOSPEDALIERO LOTTO 3 RIETI;8965645;PROCEDURA APERTA;SERVIZI DI AMBULANZA;
B4D494A7ED;2024-12-16;FORNITURA DI CARBURANTE PER AUTOTRAZIONE MEDIANTE L'IMPIEGO DI UEL CARD;6905086;AFFIDAMENTO DIRETTO;CARBURANTE DIESEL;ITALIANA PETROLI SPA
B7B7A08DEC;2025-07-21;SERVIZIO DI LAVANOLO ARES 118;6680875;AFFIDAMENTO DIRETTO;;PACIFICO - S.R.L.
979318149E;2023-05-17;PIANO NAZIONALE RIPRESA E RESILIENZA (PNRR) - MISSIONE 6: SALUTE - COMPONENTE M6C2: INNOVAZIONE, RICERCA E DIGITALIZZAZIONE DEL SERVIZIO SANITARIO NAZIONALE - INVESTIMENTO 1.2: VERSO UN OSPEDALE SICURO E SOSTENIBILE - IDENTIFICAZIONE DELLE STRUTTURE DEL PIANO REGIONALE A VALERE SUL PIANO NAZIONALE D;6156650;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
9773799A14;2023-04-24;SERVIZIO DI SOCCORSO SANITARIO EXTRAOSPEDALIERO LOTTO 1 FROSINONE;5313483;PROCEDURA APERTA;SERVIZI DI AMBULANZA;SAN PAOLO DELLA CROCE SOCIETA' COOPERATIVA SOCIALE ETS
9617474E9A;2023-01-23;SERVIZIO DI SOCCORSO MEDICO CON ELICOTTERO;5313254;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;NOLEGGIO DI ELICOTTERI CON EQUIPAGGIO;
B0BFB58232;2024-03-12;RC VEICOLI;4500000;PROCEDURA APERTA;SERVIZI DI ASSICURAZIONE DI RESPONSABILITÀ CIVILE AUTOVEICOLI;
A0024626F9;2023-08-04;OGGETTO: INDIZIONE DI GARA A PROCEDURA APERTA PER LA STIPULA DI UN ACCORDO QUADRO, SOPRA SOGLIA COMUNITARIA DA AGGIUDICARE SECONDO IL CRITERIO DELL'OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA, PER L'AFFIDAMENTO DEL SERVIZIO DI SOCCORSO IN AREA EXTRA OSPEDALIERA - ATTIVITÀ A CHIAMATA, PER UN PERIODO DI AN;4199000;PROCEDURA APERTA;SERVIZI DI AMBULANZA;CROCE BIANCA S.R.L.
B895E1CF75;2025-10-09;ADESIONE ACCORDO QUADRO SGM;4140893;AFFIDAMENTO DIRETTO;SERVIZI DI MANUTENZIONE DI SISTEMI;VODAFONE ITALIA S.P.A.
988902271C;2023-06-20;INDIZIONE DI UN APPALTO SPECIFICO INDETTO DA AZIENDA REGIONALE EMERGENZA SANITARIA - ARES 118, PER L'AFFIDAMENTO DI SERVIZI DI ASSISTENZA E MANUTENZIONE DELLE SOLUZIONI SOFTWARE AREAS, UNICA E SGSL DI DURATA QUADRIENNALE, NELL'AMBITO DEL BANDO ISTITUTIVO DEL SISTEMA DINAMICO DI ACQUISIZIONE DELLA PU;3506760;PROCEDURA RISTRETTA;SERVIZI DI CONSULENZA PER LA SCELTA DI ATTREZZATURE INFORMATICHE;
B7BFE1EE1E;2025-09-12;MANUTENZIONE MECCANICA ROMA CITTÀ METROPOLITANA NORD;3111900;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI VEICOLI A MOTORE E ATTREZZATURE AFFINI;
B7BFE1FEF1;2025-09-12;MANUTENZIONE MECCANICA ROMA CITTÀ METROPOLITANA SUD;3111900;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI VEICOLI A MOTORE E ATTREZZATURE AFFINI;
