# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE DI TARANTO (ANAC)
# 4023 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B4CAC2BED9;2025-03-10;SERVICE ANALITI ( OBBLIGATORIO E OPZIONALI);51845175;PROCEDURA APERTA;REATTIVI PER LABORATORIO;
B7BDE50F20;2025-07-24;PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO INTEGRATO DI MANUTENZIONE DEL PATRIMONIO IMMOBILIARE DELLA ASL DI TARANTO DELLA DURATA DI ANNI CINQUE (5).;45783203;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;
965786959F;2023-02-24;SERVIZIO INTEGRATO DI MANUTENZIONE DEL PATRIMONIO IMMOBILIARE DELL'ASL DI TARANTO ATTINENTE A TUTTE LE ATTIVITÀ AFFERENTI ALL'ESERCIZIO, GESTIONE, CONDUZIONE, MANUTENZIONE, VERIFICA E MIGLIORAMENTO DEGLI IMMOBILI, IL SERVIZIO ENERGIA EX DPR 412/1993 E D.LGS. N. 115/2008;41297263;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;EDISON NEXT GOVERNMENT S.R.L.
B5F8E2702C;2025-03-10;SERVIZI DI VIGILANZA PRESSO I PP.OO. E SERVIZI TERRITORIALI DELL'ASL TARANTO;38000000;PROCEDURA RISTRETTA;SERVIZI DI VIGILANZA DI EDIFICI;
B13C447121;2024-04-15;SERVIZIO DI LOGISTICA DEI MAGAZZINI E MOVIMENTAZIONE DEL MATERIALE PER LE NECESSITA' DELL'AZIENDA SANITARIA LOCALE TARANTO;17400000;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;
B793A8D725;2025-07-10;COPERTURA ASSICURATIVA RCTO;14751458;PROCEDURA APERTA;SERVIZI ASSICURATIVI;
B547E615B4;2025-01-21;ORDINATIVO DI FORNITURA SERVIZIO DI RISTORAZIONE PER LE NECESSITÀ DELL'ASL TARANTO (DAL 17/06/2025 AL 16/06/2029);14583004;AFFIDAMENTO DIRETTO;;LADISA S.R.L.
B92A2CD13D;2025-11-18;FORNITURA DI ENERGIA ELETTRICA;10250000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;EDISON ENERGIA S.P.A.
B409E8A76D;2024-10-29;FORNITURA ENERGIA ELETTRICA UTENZE ASL TARANTO;10200000;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;AGSM AIM ENERGIA S.P.A.
B8F30A786B;2025-11-06;OFFERTA;9294965;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SANITARI;
A01AA54200;2023-10-06;LAVORI DI REALIZZAZIONE DI UNA CASA DI COMUNITA' NEL COMUNE DI TARANTO;8944890;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
B740F75D27;2025-06-12;ORDINATIVO DI FORNITURA CONVENZIONE AS_N.31 PER FARMACI - JANSSEN CILAG SPA;8070733;AFFIDAMENTO DIRETTO;;JANSSEN CILAG S.P.A.
A00BD332A6;2023-10-24;ADEGUAMENTO SISMICO PO SAN PIO CASTELLANETA;7902435;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
978255863D;2023-05-19;ARREDI AREE SANITARIE;7627070;PROCEDURA RISTRETTA;MOBILI PER USO MEDICO;
B9BAD50016;2025-12-19;FORNITURA E POSA IN OPERA DI ELEMENTI DI COMPLETAMENTO PER INSTALLAZIONE APPARECCHIATURE ALTA TECNOLOGIA;6490200;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
B976C088D3;2025-12-09;OFFERTA;5786769;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SANITARI;
B47CED1C84;2024-11-27;FORNITURA SACCHE MULTIDOSE E MULTIPRELIEVO DI FARMACI CHEMIOTERAPICI ANTIBLASTICI;5778718;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;;
B8AC6A98A9;2025-10-17;SERVIZIO TRIENNALE DI MANUTENZIONE ORDINARIA E STRAORDINARIA DELLE APPARECCHIATURE ELETTROMEDICALI DI COSTRUZIONE PHILIPS SPA UBICATE PRESSO LE STRUTTURE SANITARIE DI COMPETENZA DELLA ASL TARANTO;5666667;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICHE;
B7DE302319;2025-08-04;OFFERTA;5657678;PROCEDURA APERTA;LAVORI DI COPERTURA ED ALTRI LAVORI SPECIALI DI COSTRUZIONE;
B1A5EDBD12;2024-05-13;ORDINATIVO DI FORNITURA CONVENZIONE AS_N.23 (N.GARA 9283342) PER FARMACI - MERCK SHARP & DOHME (ITALIA);5491520;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;MSD ITALIA S.R.L.
9965167BF2;2023-09-28;LAVORI PER ADEGUAMENTO SISMICO SS. ANNUNZIATA DI TARANTO;5474768;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
B4E8FE6EB9;2025-01-15;SERVIZIO DI EMODIALISI DOMICILIARE ASSISTITA COMPRENSIVO DELLA FORNITURA, IN COMODATO D'USO, DI APPARECCHIATURA SENZA OSMOSI, E DEL RELATIVO MATERIALE DI CONSUMO;5237539;PROCEDURA APERTA;SERVIZI DI DIALISI A DOMICILIO;
B86BA03084;2025-09-30;SERVIZIO TRIENNALE DI MANUTENZIONE ORDINARIA E STRAORDINARIA DELLE APPARECCHIATURE ELETTROMEDICALI DI COSTRUZIONE GE MEDICAL SYSTEM ITALIA S.P.A. UBICATE PRESSO LE STRUTTURE SANITARIE DI COMPETENZA DELL'ASL TARANTO;5166667;PROCEDURA APERTA;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICHE;
