# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE DI MATERA A.S.M. (ANAC)
# 3129 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B9216CE9F3;2025-11-17;STRUTTURE RESIDENZIALE TERAPEUTICO RIABILITATIVO (RP2) (RP1);37854475;AFFIDAMENTO DIRETTO;SERVIZI PSICHIATRICI O PSICOLOGICI;PROGETTO POPOLARE COOPERATIVA SOCIALE - ONLUS
B5EEFEEE5F;2025-03-07;LOTTO N. 1 SERVIZIO DI GESTIONE INTEGRATA DELLO STRUMENTARIO PER ATTIVITÀ DI SALA OPERATORIA ED AMBULATORIALE, OSPEDALIERA E TERRITORIALE OLTRE CHE DEI DISPOSITIVI MEDICI RIUTILIZZABILI CHE NECESSITANO DI STERILIZZAZIONE ED ALTA DISINFEZIONE E NOLEGGIO DI STRUMENTARIO CHIRURGICO E DI DISPOSITIVI MED;24785360;PROCEDURA APERTA;SERVIZI OSPEDALIERI;
B3B7386DF0;2024-10-21;LOTTO 13 - CODICE ATC: L04AB04 - ADALIMUMAB;12425400;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B9220437D3;2025-11-17;STRUTTURA RESIDENZIALE TERAPEUTICA E SOCIORIABILITATIVA PER DETENUTI CON DISTURBI MENTALI (REMS);11383755;AFFIDAMENTO DIRETTO;SERVIZI PSICHIATRICI O PSICOLOGICI;CARIS - COOPERATIVA SOCIALE - ONLUS
B3B737A40C;2024-10-21;LOTTO 1 - CODICE ATC: B03XA01 - EPOETINA;9939600;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B3B73808FE;2024-10-21;LOTTO 7 - CODICE ATC: L04AB01 - ETANERCEPT;8117870;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B52774C987;2025-01-14;PRESIDIO OSPEDALIERO A.O.R. SAN CARLO: SAN CARLO DI POTENZA;8061000;PROCEDURA APERTA;SERVIZI DI GESTIONE IMPIANTI;
B52774A7E1;2025-01-14;PRESIDI OSPEDALIERI ASM: MATERA, POLICORO, TINCHI, TRICARICO E STIGLIANO;6735890;PROCEDURA APERTA;SERVIZI DI GESTIONE IMPIANTI;
B5D1C6C1AD;2025-02-26;CONVENZIONE SEL GAS 10 PER LA FORNITURA DI GAS NATURALE AI SOGGETTI PUBBLICI DELLA REGIONE BASILICATA;6650000;AFFIDAMENTO DIRETTO;GAS DA RETE PUBBLICA;ESTRA ENERGIE SRL
B3B7387EC3;2024-10-21;LOTTO 14 - CODICE ATC: L01XC07 - BEVACIZUMAB;6548580;PROCEDURA APERTA;PRODOTTI FARMACEUTICI;
B921BBDC35;2025-11-17;STRUTTURE SEMI RESIDENZIALI TERAPEUTICO RIABILITATIVE PER DISTURBI MENTALI (SRP) (RP3.3);6402157;AFFIDAMENTO DIRETTO;SERVIZI PSICHIATRICI O PSICOLOGICI;CNS CONSORZIO NAZIONALE SERVIZI SOCIETA' COOPERATIVA
