# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI CATANZARO (ANAC)
# 4518 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B2A30D41BC;2024-07-30;DECRETO SUA N. 19716/2023 LOTTO N. 1532- APPALTO SPECIFICO N. 7 - 1 TRANCHE KESIMPTA 20 MG SOLUZIONE INIETTABILE IN PENNA PRERIEMPITA;991239449;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NOVARTIS FARMA SPA
B22A58B285;2024-06-20;"•SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI TERMICI COMPRENSIVO DELLA FORNITURA DI ENERGIA TERMICA;•SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI ELETTRICI ED ELETTRICO SPECIALI COMPRENSIVO DELLA FORNITURA DI ENERGIA ELETTRICA;•SERVIZIO DI GESTIONE E MANUTENZIONE DEGLI IMPIANTI DI CLIMA";134789000;ND P1_19;SERVIZI DI GESTIONE ENERGIA;
B7EACB6678;2025-08-06;FARMACO LUMYKRAS 120 MG;95754528;AFFIDAMENTO DIRETTO;MEDICINALI VARI;AMGEN S.R.L.
A001A52930;2023-08-03;ACQUISTO FARMACO UNICO AVATROMBOPAG ( DOPTELET)20 MG PER LE TRE FARMACIE DISTRETTUALI;62760096;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;MEDICINALI VARI;SWEDISH ORPHAN BIOVITRUM S.R.L.
B2BE781373;2024-08-08;DECRETO SUA N. 7619/2024 APPALTO SPECIFICO N. 8 LOTTO N. 2- RITONAVIR ( PAXLOVID);53570278;AFFIDAMENTO DIRETTO;MEDICINALI VARI;PFIZER S.R.L.
A0025E130A;2023-08-03;REALIZZAZIONE DELL'INTERVENTO DI ADEGUAMENTO SISMICO DEL PRESIDIO OSPEDALIERO DI LAMEZIA TERME (POLT), SITO IN VIA ARTURO PERUGINI, RICADENTE NEL FONDO COMPLEMENTARE AL PNRR PROGETTO OSPEDALE SICURO'. CUP E85F22000580006;17648914;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;VALORI S.C.A R.L. - CONSORZIO STABILE IN SIGLA VALORI - S.C. A R. L.
B66D277DD6;2025-04-09;LOTTO 2 ACQUISTO MICROINFUSORI E SISTEMI DI MONITORAGGIO DITTA MEDTRONIC;16847040;AFFIDAMENTO DIRETTO;;MEDTRONIC ITALIA S.P.A.
B6FA9A2DE9;2025-05-22;APPALTO 13 SUA CALABRIA - LOTTO 184 - REBLOZYL 75 MG;15846673;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BRISTOL-MYERS SQUIBB S.R.L.
B7CF601E24;2025-07-29;ENHERTU 1FL 100MG;9477452;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
B6FBFF386F;2025-05-22;APPALTO 13 SUA CALABRIA - LOTTO 571 - KAFTRIO 100 MG + 50 MG + 75 MG;7476319;AFFIDAMENTO DIRETTO;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
96225603B7;2023-01-31;AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE PER DEGENTI DELL'ASP DI CATANZARO;7160997;PROCEDURA RISTRETTA;SERVIZI DI DISTRIBUZIONE PASTI;SCAMAR S.R.L.
B144FA645E;2024-04-16;DECRETO SUA N. 19716/2023 LOTTO N. 1557-COSENTYX 300 MG SOLUZIONE INIETTABILE 1 SIRINGA PRERIEMPITA;6381896;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B144D80E7B;2024-04-16;DECRETO SUA N. 19716/2023 LOTTO N. 1556-COSENTYX 300 MG SOLUZIONE INIETTABILE 1 PENNA PRERIEMPITA;6381896;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;NOVARTIS FARMA SPA
B159E2B242;2024-04-19;DECRETO SUA N. 19716/2023 LOTTO 1563 FARMACO TALTZ 80 MG SOLUZIONE INIETTABILE 2 SIRINGHE PRERIEMPITE;6228105;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ELI LILLY ITALIA - S.P.A.
B159DB1D91;2024-04-19;DECRETO SUA N. 19716/2023 LOTTO 1562 FARMACO TALTZ 80 MG SOLUZIONE INIETTABILE 2 PENNE PRERIEMPITE;6228105;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ELI LILLY ITALIA - S.P.A.
B1652246E5;2024-04-23;DECRETO SUA N.19716/2023 LOTTO N.1500 ERLEADA 60MG CPR;6221412;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;JANSSEN CILAG S.P.A.
B7D7D6694F;2025-07-31;BRUKINSA 80MG;5929496;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ALLOGA (ITALIA) S.R.L.
A066EC66B0;2023-10-20;CONTRATTO DI APPALTO SPECIFICO PROCEDURA APERTA DI MASSIMA URGENZA IN 21 LOTTI PER LA CONCLUSIONE DI ACCORDI QUADRO CON PIU' OPERATORI ECONOMICI AI SENSI DELL'ARTICOLO 33 DELLA DIRETTIVA 2014/24/UE PER L'AFFIDAMENTO DI LAVORI, SERVIZI DI INGEGNERIA ED ARCHITETTURA E ALTRI SERVIZI TECNICI, AL FINE DE;5679900;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI SANITARI;
98025529CE;2023-05-08;DECRETO DIRIGENZIALE SUA N. 3754/2023 LOTTO 42 FARMACO DUPIXENT 300MG E DUPIXENT 200MG SOL INIETT;5614986;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
98943346B6;2023-06-16;CONVENZIONE PER LA FORNITURA DI ENERGIA ELETTRICA E DEI SERVIZI CONNESSI STRUTTURE ASP CZ;5380000;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;EROGAZIONE DI ENERGIA ELETTRICA;HERA COMM S.P.A.
B6FB8C3A04;2025-05-22;APPALTO 13 SUA CALABRIA - LOTTO 561 - KALYDECO 150 MG;5361055;AFFIDAMENTO DIRETTO;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B6FB6DA67C;2025-05-22;APPALTO 13 SUA CALABRIA - LOTTO 559 - FASENRA 30 MG SIRINGA PRERIEMPITA;5269356;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ASTRAZENECA S.P.A.
B6FB4B2EF3;2025-05-22;APPALTO 13 SUA CALABRIA - LOTTO 558 - FASENRA 30 MG PENNA PRERIEMPITA;5269356;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ASTRAZENECA S.P.A.
B1616DECE8;2024-04-23;DECRETO N. 19716/2023 LOTTO N. 1681 FARMACO SPINRAZA NUSINERSEN – SOLUZIONE INIETTABILE PER INIEZIONE INTRATECALE;5163552;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;BIOGEN ITALIA S.R.L.
B756E57BEA;2025-06-19;APPALTO 13 SUA CALABRIA – LOTTO 448 - (TECFIDERA 240);5031505;AFFIDAMENTO DIRETTO;MEDICINALI VARI;BIOGEN ITALIA S.R.L.
