# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI ENNA (ANAC)
# 3035 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B0CC5AFC12;2024-03-13;AFFIDAMENTO DELLA FORNITURA DI PRODOTTI E SERVIZI PER LA REALIZZAZIONE, MANUTENZIONE E GESTIONE DI RETI LOCALI;145154514;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;VODAFONE SPA
B85523B9E1;2025-09-23;LOTTO 2;73515676;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B85523EC5A;2025-09-23;LOTTO 5;53840443;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B855240E00;2025-09-23;LOTTO 7;39723626;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B85523DB87;2025-09-23;LOTTO 4;36634069;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B202E6B064;2024-06-06;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;22648816;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;VITALAIRE ITALIA SPA
97829211CD;2023-04-26;PROCEDURA APERTA PER L'AFFIDAMENTO DELLA GESTIONE INTEGRATA E MANUTENZIONE DEGLI IMPIANTI TECNOLOGICI UBICATI PRESSO I PRESIDI OSPEDALIERI E POLIAMBULATORI DELL'AZIENDA SANITARIA PROVINCIALE DI ENNA PER N. 6 ANNI;21780000;PROCEDURA APERTA;RIPARAZIONE E MANUTENZIONE DI IMPIANTI;CONMAR - CONSORZIO STABILE MARCHESE SOCIETA' CONSORTILE A.R.L.
B85523CAB4;2025-09-23;LOTTO 3;17088626;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A019D7B7D3;2023-03-31;PNC - M6.C2 - 1.2. - AQ3 ADEGUAMENTO SISMICO E MIGLIORAMENTO ANTINCENDIO OSPEDALE CHIELLO PIAZZA ARMERINA;15700080;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
B89D024977;2025-10-13;RECEPIMENTO D.D. N.176/2025 FORNITURA TRIENNALE DI FARMACI ESCLUSIVI, OCCORRENTI ALLE AZIENDE SANITARIE E OSPEDALIERE DELLA REGIONE SICILIA - LOTTO 518 SUB A;15513888;AFFIDAMENTO DIRETTO;PRODOTTI FARMACEUTICI;JANSSEN CILAG S.P.A.
