# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA PROVINCIALE DI RAGUSA (ANAC)
# 4733 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B81BEC1040;2025-09-03;NINLARO 2,3 MG CAPSULE RIGIDE;148078125;AFFIDAMENTO DIRETTO;MEDICINALI VARI;TAKEDA ITALIA S.P.A.
B81BECB87E;2025-09-03;NINLARO 3 MG CAPSULE RIGIDE;148078125;AFFIDAMENTO DIRETTO;MEDICINALI VARI;TAKEDA ITALIA S.P.A.
B81BEBBB49;2025-09-03;ENTYVIO 108 MG SOLUZIONE INIETTABILE IN PENNA PRERIEMPITA;107884397;AFFIDAMENTO DIRETTO;MEDICINALI VARI;TAKEDA ITALIA S.P.A.
B44298A255;2024-11-13;FORNITURA RISONANZA MAGNETICA;90091000;AFFIDAMENTO DIRETTO;APPARECCHI PER TOMOGRAFIA;PHILIPS S.P.A.
B2D8A0E998;2024-08-27;ADESIONE AQ SYSTEM MANAGEMENT;50487250;AFFIDAMENTO DIRETTO;SERVIZI DI CONSULENZA IN SISTEMI INFORMATICI E ASSISTENZA TECNICA;ENTERPRISE SERVICES ITALIA S.R.L.
B07C7B1A26;2024-07-10;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;43500824;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B6727E5D88;2025-04-10;DOVPRELA;42695078;AFFIDAMENTO DIRETTO;MEDICINALI VARI;VIATRIS ITALIA S.R.L.
B07C7B3BCC;2024-07-10;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;24491568;PROCEDURA APERTA;VARI SERVIZI SANITARI;
A02DF8DFB5;2023-11-16;PROCEDURA APERTA, AI SENSI DELL'ART. 71 DEL D.LGS. N. 36/2023, PER L'AFFIDAMENTO DEL 'SERVIZIO DI TESORERIA, CASSA E SERVIZIO DI TRASPORTO E CONTAZIONE VALORI, PER LA DURATA DI TRE ANNI (CON FACOLTÀ DI PROROGA PER ANNI UNO)';21094117;PROCEDURA APERTA;SERVIZI DI TESORERIA;
B80CBE671C;2025-08-27;ICLUSIG 45 MG 30CPR RIV;20762568;AFFIDAMENTO DIRETTO;MEDICINALI VARI;INCYTE BIOSCIENCES ITALY S.R.L.
B7FCB9416E;2025-08-19;SYNAGIS 100 MG/1 ML SOLUZIONE INIETTABILE;17101140;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ASTRAZENECA S.P.A.
B1DCE61B55;2024-05-29;VANTOBRA 56 FL 170 MG;16489841;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NEUPHARMA S.R.L.
B07C7B4C9F;2024-07-10;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;16315465;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B6C7F9437C;2025-05-13;APPALTO INTEGRATO AVENTE AD OGGETTO LA PROGETTAZIONE ESECUTIVA E L'ESECUZIONE DEI LAVORI RELATIVI ALL'INTERVENTO DI MIGLIORAMENTO SISMICO DEL P.O. R. MARGHERITA DI COMISO;15482867;PROCEDURA APERTA;LAVORI STRUTTURALI;
B07C7B5D72;2024-07-10;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;13604409;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B4BC797DEB;2025-03-10;FORNITURA IN SERVICE DI SISTEMI DIAGNOSTICI RELATIVI ALL'AREA SIERO (CHIMICA-IMMUNOMETRIA);13000000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B6C7D52680;2025-05-13;FORNITURA IN SERVICE DI SISTEMI DIAGNOSTICI RELATIVI ALL'AREA SIERO (CHIMICA-IMMUNOMETRIA);13000000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;ROCHE DIAGNOSTICS S.P.A.
B7FCA0F06B;2025-08-19;CALCIO LEVOFOLINATO TEVA GENERICS SOLUZIONE RTU 1 FLAC. 175 MG SOLUZIONE PER INFUSIONE;11868000;AFFIDAMENTO DIRETTO;MEDICINALI VARI;TEVA ITALIA S.R.L.
B78F1506FB;2025-07-09;LAVORI RELATIVI ALL'INTERVENTO DI MIGLIORAMENTO SISMICO DEL P.O. M.P. AREZZO DI RAGUSA;11602048;PROCEDURA APERTA;LAVORI STRUTTURALI;
B42287D050;2024-11-05;DD 204 LOTTO 16;8137512;AFFIDAMENTO DIRETTO;MEDICINALI VARI;MERCK SHARP & DOHME ITALIA S.P.A.
B35EC0F9D6;2024-10-09;PRESA D'ATTO E RECEPIMENTO DEL D.D. N. 52 DEL 17 APRILE 2024, RELATIVO ALL'AGGIUDICAZIONE DELLA GARA REGIONALE SDAPA NEL PORTALE CONSIP A CURA DELLA CENTRALE UNICA DI COMMITTENZA PER ACQUISIZIONE DI BENI E SERVIZI REGIONE SICILIA PER L'AFFIDAMENTO DEI SERVIZI DI OSSIGENOTERAPIA DOMICILIARE DI INTERE;7850924;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;VITALAIRE ITALIA SPA
99042269D8;2023-08-24;ADESIONE CONVENZIONE CONSIP ENERGIA ELETTRICA ED.20 BIS SICILIA.;7786885;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;ENEL ENERGIA SPA
B90A209B72;2025-11-11;PROCEDURA DI GARA APERTA REGIONALE (CUC) PER L'AFFIDAMENTO DEI SERVIZI DI GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICINALI AIC, DEI GAS FU E DM, DEI GAS TECNICI E DI LABORATORIO E DELLA MANUTENZIONE DEGLI IMPIANTI DI PRODUZIONE E DISTRIBUZIONE, DI INTERESSE DEGLI ENTI DEL SSR PER LA DURATA DI ;6948718;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;AIR LIQUIDE ITALIA GAS E SERVIZI S.R.L.
B809C68603;2025-08-26;DARZALEX 15 ML (120 MG/ML);6787326;AFFIDAMENTO DIRETTO;MEDICINALI VARI;JANSSEN CILAG S.P.A.
B2B3B888DD;2024-08-05;D.D. 121 LOTTO 9;6734126;AFFIDAMENTO DIRETTO;MEDICINALI VARI;NOVO NORDISK FARMACEUTICI SPA
B3643D58AB;2024-10-10;PRESA D'ATTO E RECEPIMENTO DEL D.D. N. 52 DEL 17 APRILE 2024, RELATIVO ALL'AGGIUDICAZIONE DELLA GARA REGIONALE SDAPA NEL PORTALE CONSIP A CURA DELLA CENTRALE UNICA DI COMMITTENZA PER ACQUISIZIONE DI BENI E SERVIZI REGIONE SICILIA PER L'AFFIDAMENTO DEI SERVIZI DI OSSIGENOTERAPIA DOMICILIARE DI INTERE;6590816;AFFIDAMENTO DIRETTO;SERVIZI DI OSSIGENOTERAPIA;Operatore individuale (persona fisica)
B83DD3019F;2025-09-15;SGM LOTTO 5;6257208;AFFIDAMENTO DIRETTO;SERVIZI DI GESTIONE CONNESSI ALL'INFORMATICA;TIM S.P.A.
B81698E13E;2025-09-01;ADESIONE AQ SERVIZI DI GESTIONE E MANUTENZIONE DI SISTEMI IP E PDL;5727087;AFFIDAMENTO DIRETTO;MANUTENZIONE E RIPARAZIONE DI ATTREZZATURA INFORMATICA;TIM S.P.A.
B7658C72B2;2025-06-24;FORNITURA ENERGIA ELETTRICA;5327869;AFFIDAMENTO DIRETTO;ELETTRICITÀ;A2A ENERGIA S.P.A.
B4BC786FE3;2025-03-10;FORNITURA IN SERVICE DI UN SISTEMA PER LO SCREENING SIEROLOGICO DELLE MALATTIE INFETTIVE TRASMESSE CON LA TRASFUSIONE E PER L'ESECUZIONE DEGLI ESAMI DI CONTROLLO SUI DONATORI, PER IL CENTRO DI QUALIFICAZIONE BIOLOGICA;5250000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;ORTHO-CLINICAL DIAGNOSTICS ITALY S.R.L.
B4BC785F10;2025-03-10;FORNITURA IN SERVICE DI UN SISTEMA DIAGNOSTICO PER LA RILEVAZIONE DI HCV RNA, HIV-1-2 RNA E HBV DNA (NAT) PER IL CENTRO DI QUALIFICAZIONE BIOLOGICA;5000000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;GRIFOLS ITALIA S.P.A.
B25FA14B48;2024-07-08;D.D.99 LOTTO 20;4918562;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GLAXOSMITHKLINE S.P.A.
B225891C9A;2024-06-18;FORNITURA ENERGIA ELETTRICA;4918033;AFFIDAMENTO DIRETTO;ELETTRICITÀ;ENEL ENERGIA SPA
B220494D6A;2024-06-17;FORNITURA ENERGIA ELETTRICA;4918033;AFFIDAMENTO DIRETTO;EROGAZIONE DI ENERGIA ELETTRICA;ENEL ENERGIA SPA
B6638394F8;2025-04-07;FABRAZYME 35 MG POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE FLACONCINO EV;4708835;AFFIDAMENTO DIRETTO;MEDICINALI VARI;SANOFI S.R.L.
B2B3BD693B;2024-08-05;D.D. 121 LOTTO 10;4487726;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
B80CF57E20;2025-08-27;ACIDO CHENODESOSSICOLICO LEADIANT 250 MG;4406851;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
B07C7B2AF9;2024-07-10;SERVIZIO DI VENTILOTERAPIA MECCANICA DOMICILIARE;4205582;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B7B21A5D88;2025-07-18;SERVIZIO INTEGRATO VIGILANZA ARMATA LOTTO 11;4200012;AFFIDAMENTO DIRETTO;SERVIZI DI VIGILANZA DI EDIFICI;NEW GUARD S.R.L.
95868441F1;2023-01-05;PROCEDURA DI GARA APERTA, AI SENSI DELL'ART. 60, COMMA 3, DEL D.LGS. N. 50/2016 E S.M.I., PER L'AFFIDAMENTO DELLA FORNITURA IN SOMMINISTRAZIONE DI 'GAS MEDICINALI A.I.C., GAS AD USO UMANO, GAS TECNICI E DI LABORATORIO, COMPRENSIVA DEI SERVIZI DI MANUTENZIONE DEGLI IMPIANTI DI DISTRIBUZIONE, MESSA A ;4122196;PROCEDURA APERTA;SERVIZI DI OSSIGENOTERAPIA;Operatore individuale (persona fisica)
B36F0B952E;2024-10-14;PRESA D'ATTO E RECEPIMENTO DELLA DELIBERA N. 374 DEL 09.05.2024 DELL'ARNAS GARIBALDI DI CATANIA (CAPOFILA) DI AGGIUDICAZIONE DELLA GARA FINALIZZATA ALLA STIPULA DI UN CONTRATTO-PONTE PER IL SERVIZIO DI LAVAGGIO E NOLEGGIO DELLA BIANCHERIA PIANA E SAGOMATA, PER 48 MESI, DESTINATO ALLE AZIENDE SANITAR;4100642;AFFIDAMENTO DIRETTO;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;PACIFICO - S.R.L.
B825D0D1B6;2025-09-05;REPLAGAL 1 MG/ML IV 1 FL 3,5 ML;3988683;AFFIDAMENTO DIRETTO;MEDICINALI VARI;TAKEDA ITALIA S.P.A.
B4BC789261;2025-03-10;FORNITURA IN SERVICE DI SISTEMI PER AFERESI PRODUTTIVA (PLASMAFERESI, PIASTRINE-AFERESI E PLASMA-PIASTRINE-AFERESI);3750000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
