# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERO UNIVERSITARIA DI SASSARI (ANAC)
# 6223 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B1A754C202;2024-05-16;FORNITURA DI SEI ANNI IN REGIME DI SERVICE DI BENI, SERVIZI E CORRELATI LAVORI, PER LA GESTIONE DELLE PROCEDURE CORONARICHE, NON-CORONARICHE E IMPIANTI PERCUTANEI DI VALVOLE CARDIACHE PER LA SC CARDIOLOGIA CLINICA E INTERVENTISTICA DELL'AZIENDA OSPEDALIERO UNIVERSITARIA DI SASSARI;63144042;PROCEDURA APERTA;VALVOLE CARDIACHE;DOTT. MARIO TICCA S.R.L.
974220303F;2023-05-30;MULTISERVIZIO TECNOLOGICO INTEGRATO ENERGIA PER LA SANITÀ - ED. 2 (MIES2) -- RINNOVO DEL CONTRATTO PER ANNI CINQUE ALLA RTI CARBOTERMO S.P.A. - ELETECNO ST S.R.L. AI SENSI DEL D. LGS 115/2008;37716682;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI E MECCANICI DI EDIFICI;ELETECNO ST S.P.A.
B584C901AC;2025-02-06;PROCEDURA APERTA DA ESPLETARSI MEDIANTE UTILIZZO DELLA PIATTAFORMA TELEMATICA SARDEGNACAT, AI SENSI DEGLI ARTICOLI 58 E 60 DEL D. LGS. N. 50/2016 PER L'APPALTO TRIENNALE DEL SERVIZIO DI SUPPORTO AI SERVIZI ASSISTENZIALI NEI PLESSI OSPEDALIERI DELLE 'CLINICHE DI SAN PIETRO' E DEL 'SS ANNUNZIATA' DELL;21107128;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI OSPEDALIERI E AFFINI;
B415D58C6A;2024-10-31;PROCEDURA TELEMATICA APERTA PER L'AFFIDAMENTO DELLA FORNITURA DI CLIP, COLLE E ALTRI DM DASUTURA E DEI SERVIZI CONNESSI DESTINATA ALLE AZIENDE DEL SERVIZIO SANITARIO EOSPEDALIERE DELLA REGIONE AUTONOMA DELLA SARDEGNA - AGGIUDICATARIO AREAMED SRL LOTTO N.26;18162560;AFFIDAMENTO DIRETTO;SUTURE CHIRURGICHE;AREAMED S.R.L.
95863889A1;2023-01-09;PROCEDURA APERTA INFORMATIZZATA PER L'AFFIDAMENTO DELLA FORNITURA DI AGHI E SIRINGHE DESTINATA ALLE AZIENDE SANITARIE E OSPEDALIERE DELLA REGIONE AUTONOMA DELLA SARDEGNA E DELLA REGIONE LAZIO - 2A EDIZIONE - ESCLUSIONE OFFERTE E AGGIUDICAZIONE LOTTO 21 AGGIUDICATARIO BECTON DICKINSON SPA;16500000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SIRINGHE;BECTON, DICKINSON ITALIA S.P.A.
9610405517;2023-02-16;SERVIZIO DI SORVEGLIANZA ATTIVA ANTINCENDIO E DI SICUREZZA PER I PRESIDI OSPEDALIERI DELL'AZIENDA OSPEDALIERO UNIVERSITARIA DI SASSARI - PER 36 MESI (2023 - 2025);14241668;PROCEDURA APERTA;SERVIZI DI VIGILANZA DI EDIFICI;EVOLVE CONSORZIO STABILE
B2620D7801;2024-07-08;APPALTO SPECIFICO INDETTO DALLA REGIONE AUTONOMA DELLA SARDEGNA – CENTRALE REGIONALE DI COMMITTENZA PER L'AFFIDAMENTODI MEDICINALI ED. 19 NELL'AMBITO SISTEMA DINAMICO DI ACQUISIZIONE DELLA PUBBLICA AMMINISTRAZIONE PER LA FORNITURA DI PRODOTTI FARMACEUTICI - CODICE APPALTO 4068547- AGGIUDICAZIONE ED ;12543670;AFFIDAMENTO DIRETTO;MEDICINALI VARI;GILEAD SCIENCES S.R.L.
B676271E05;2025-04-11;DDG N. 71 DEL 27.01.2025. AUTORIZZAZIONE ALL'EMISSIONE DELL'ORDINATIVO DI FORNITURA (48 MESI) SULLA PIATTAFORMA SARDEGNACAT PER L'ESECUZIONE DEL SERVIZIO DI TRASPORTO E CONFERIMENTO AD IMPIANTI DI SMALTIMENTO DI RIFIUTI PERICOLOSI E NON DERIVANTI DA ATTIVITÀ SANITARIE DELLE AZIENDE SANITARIE DELLA R;8576845;AFFIDAMENTO DIRETTO;;ECO TRAVEL S.R.L.
B2762A03A9;2024-07-15;APPALTO SPECIFICO INDETTO DALLA REGIONE AUTONOMA DELLA SARDEGNA – CENTRALE REGIONALE DI COMMITTENZA PER L'AFFIDAMENTODI MEDICINALI ED. 19 NELL'AMBITO SISTEMA DINAMICO DI ACQUISIZIONE DELLA PUBBLICA AMMINISTRAZIONE PER LA FORNITURA DI PRODOTTI FARMACEUTICI - CODICE APPALTO 4068547- AGGIUDICAZIONE ED ;8531693;AFFIDAMENTO DIRETTO;MEDICINALI VARI;Operatore individuale (persona fisica)
B80545D25F;2025-08-25;SASSARI- ORDINATIVO DI FORNITURA SULLA PIATTAFORMA SARDEGNA CAT PER L'ESECUZIONE DEL SERVIZIO DI PORTIERATO E SERVIZI AUSILIARI - LOTTO 12 - SARDEGNA NORD-AZIENDE SANITARIE DELLA RAS;8213772;AFFIDAMENTO DIRETTO;;SICURITALIA GROUP SERVICE - SOCIETA' CONSORTILE PER AZIONI - IN BREVE SGS - S.C.P.A.
